,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,null null,Q2 2020,Q1 2020,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '17 Mar 31, 2017"
0,Operating Revenue,25.47,39.47,565.05,436.57,9.23,3.41,518.34,352.76,15.16,12.81,490.04,334.03,5.06,14.48,436.65,310.79,-,-,421.52,297.99
1,Other Revenue,-0.04,0.04,-,0.17,-0.13,0.13,-,0.25,-0.13,0.13,-,0.1,-0.03,0.03,-,0.08,-,-,-,-
2,Revenue,25.43,39.51,565.05,436.74,9.11,3.54,518.34,353.02,15.03,12.93,490.04,334.14,5.02,14.51,436.65,310.88,-,19.9,421.52,297.99
3,Revenue Growth (YoY),179.26%,1016.26%,9.01%,23.72%,-39.40%,-72.63%,5.77%,5.65%,199.05%,-10.85%,12.23%,7.48%,-,-27.08%,3.59%,4.32%,-,-,-,-
4,"Selling, General & Admin",16.51,14.27,14.3,23.82,12.71,14.46,11.55,18.84,13.02,11.83,11.31,18.27,11.78,8.77,6.73,13.49,-,-,-,10.85
5,Provision for Bad Debts,-2.92,5.1,14.06,8.48,-1.19,-2.24,11.5,8.82,-2.1,-0.98,9.16,8.48,-2.35,-5.18,6.85,5.38,-,-,-,5.79
6,Other Operating Expenses,40.89,56.19,389.21,338.93,23.83,21.24,356.93,282.86,22.22,22.72,343.56,229.21,19.24,21.89,294.56,244.67,-,-,308.83,202.42
7,Total Operating Expenses,59.75,80.91,426.29,384.75,41.9,38.52,385.7,319.64,38.09,39.95,372.99,262.28,33.51,29.66,312.42,269.1,-,-,308.83,219.06
8,Operating Income,-34.32,-41.4,138.76,51.99,-32.79,-34.98,132.64,33.38,-23.06,-27.02,117.05,71.85,-28.49,-15.15,124.23,41.78,-,-,112.69,78.93
9,Interest Expense,-,0.37,-0.37,-0.12,-0.22,-0.19,-0.32,0.48,-0.3,-0.74,-,-0,-,-0.09,-0.14,-0.15,-,-,-,-0.21
10,Interest Income,2.63,1.03,2.73,5.46,4.67,3.76,3.85,5.3,6.11,2.51,4.25,5.5,1.57,0.74,1.84,2.46,-,-,-,0.25
11,Net Interest Expense,2.63,1.4,2.36,5.34,4.45,3.57,3.53,5.78,5.81,1.77,4.25,5.5,1.57,0.65,1.69,2.32,-,-,-,0.04
12,Income (Loss) on Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.68,-,-,-,1.32
13,Other Non-Operating Income (Expenses),0.28,-0.82,-0.28,-0.32,0.96,-6.62,5.69,-4.41,2.35,0.15,-0.34,-2.14,0.65,-0.01,1.77,-1.19,-,-,0.25,-0.12
14,EBT Excluding Unusual Items,-31.41,-40.82,140.84,57.01,-27.38,-38.03,141.85,34.75,-14.91,-25.09,120.97,75.21,-26.27,-14.51,127.7,42.23,-,-,112.94,80.17
15,Gain (Loss) on Sale of Investments,0.69,-0.56,-0.01,-119.09,-0.26,0.39,1.7,-0.44,1,-,0.5,0.37,0.83,-1.11,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0,-,0.12,0.48,0,0,-,0.06,-0.43,-,-,1.27,-,-,-0.03,1.36,-,-,-,-0.01
17,Asset Writedown,-0.89,-2.18,2.16,-0.24,0.04,-0.04,0.04,-0.25,-,-,-,-0.1,0.12,-0.12,-,-0.29,-,-,-,-
18,Other Unusual Items,0.25,0.29,2.87,1.55,0.06,-0.06,-,0.3,0.09,-0.09,-,0.08,-0,0,-,20.96,-,-,-,6.44
19,Pretax Income,-31.36,-43.26,145.96,-60.29,-27.54,-37.73,143.58,34.41,-14.25,-25.19,121.46,76.82,-25.32,-15.74,127.67,64.26,-,-,112.94,86.6
20,Income Tax Expense,-4.58,-6.89,20.39,-12.24,-3.24,-5.59,21.53,3.34,-2.13,-3.33,16.83,15.07,-4.32,-1.37,19.43,5.78,-,-,17.15,13.79
21,Earnings From Continuing Ops.,-26.78,-36.37,125.57,-48.04,-24.3,-32.14,122.05,31.07,-12.12,-21.85,104.64,61.76,-21,-14.37,108.24,58.48,-,-3.3,95.8,72.81
22,Net Income to Company,-26.78,-36.37,125.57,-48.04,-24.3,-32.14,122.05,31.07,-12.12,-21.85,104.64,61.76,-21,-14.37,108.24,58.48,-,-,95.8,72.81
23,Minority Interest in Earnings,1.66,1.24,-2.36,-2.36,1.4,0.75,-5.15,-2.65,1.44,2.04,-6.44,-1.76,0.45,0.35,-4.26,-1.88,-,-,-3.06,-1.45
24,Net Income,-25.12,-35.14,123.21,-50.4,-22.9,-31.39,116.91,28.43,-10.68,-19.82,98.2,60,-20.55,-14.01,103.98,56.6,-,-2.82,92.74,71.36
25,Net Income to Common,-25.12,-35.14,123.21,-50.4,-22.9,-31.39,116.91,28.43,-10.68,-19.82,98.2,60,-20.55,-14.01,103.98,56.6,-,-,92.74,71.36
26,Net Income Growth,-,-,5.39%,-,-,-,19.05%,-52.63%,-,-,-5.56%,6.01%,-,-,12.12%,-20.68%,-,-,-,-
27,Shares Outstanding (Basic),131,132,131,144,129,129,131,132,128,132,131,131,119,98,98,98,-,-,-,98
28,Shares Outstanding (Diluted),131,132,131,144,129,129,131,132,128,132,131,131,119,98,98,98,-,-,-,98
29,Shares Change (YoY),1.28%,2.12%,0.26%,9.12%,1.07%,-1.68%,-0.33%,1.27%,6.81%,33.64%,33.79%,32.86%,-,-,-,0.54%,-,-,-,-
30,EPS (Basic),-0.19,-0.27,0.94,-0.35,-0.18,-0.24,0.90,0.21,-0.08,-0.15,0.75,0.46,-0.17,-0.14,1.06,0.58,-,-,-,0.73
31,EPS (Diluted),-0.19,-0.27,0.94,-0.35,-0.18,-0.24,0.90,0.21,-0.08,-0.15,0.75,0.46,-0.17,-0.14,1.06,0.58,-,-0.03,-,0.73
32,EPS Growth,-,-,5.12%,-,-,-,19.44%,-53.22%,-,-,-29.41%,-20.21%,-,-,-,-21.10%,-,-,-,-
33,Free Cash Flow,9.21,-47.05,-175.04,310.44,-2.62,-48.46,-164.46,225.39,19.95,-14.99,-188.24,264.82,8.17,-33.67,-150.71,268.45,-,-,-,-95.45
34,Free Cash Flow Per Share,0.07,-0.36,-1.34,2.15,-0.02,-0.37,-1.26,1.70,0.16,-0.11,-1.44,2.03,0.07,-0.34,-1.54,2.73,-,-,-,-0.98
35,Dividend Per Share,-,0.100,-,0.042,-,-,-,0.042,-,-,-,0.382,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,0%,-,-,-,-89.08%,-,-,-,-,-,-,-,-,-,-,-,-
37,Profit Margin,-98.78%,-88.94%,21.81%,-11.54%,-251.46%,-886.71%,22.55%,8.05%,-71.07%,-153.22%,20.04%,17.96%,-408.89%,-96.59%,23.81%,18.21%,-,-,22.00%,23.95%
38,Free Cash Flow Margin,36.22%,-119.08%,-30.98%,71.08%,-28.82%,-1369.14%,-31.73%,63.85%,132.77%,-115.91%,-38.41%,79.25%,162.67%,-232.07%,-34.51%,86.35%,-,-,-,-32.03%
39,EBITDA,-16.8,-21.55,156.28,69.51,-14.09,-15.34,151.34,52.08,-5.66,-4.43,134.45,89.25,-10.78,5.68,141.94,59.48,-,14.27,130.48,80.93
40,EBITDA Margin,-66.09%,-54.53%,27.66%,15.91%,-154.73%,-,29.20%,14.75%,-37.68%,-34.21%,27.44%,26.71%,-214.52%,39.13%,32.51%,19.13%,-,71.72%,30.95%,27.16%
41,D&A For EBITDA,17.52,19.86,17.52,17.52,18.7,19.64,18.7,18.7,17.4,22.59,17.4,17.4,17.71,20.83,17.71,17.71,-,21.17,17.79,2
42,EBIT,-34.32,-41.4,138.76,51.99,-32.79,-34.98,132.64,33.38,-23.06,-27.02,117.05,71.85,-28.49,-15.15,124.23,41.78,-,-6.9,112.69,78.93
43,EBIT Margin,-134.97%,-104.79%,24.56%,11.90%,-,-,25.59%,9.45%,-153.47%,-208.88%,23.89%,21.50%,-,-104.44%,28.45%,13.44%,-,-34.69%,26.73%,26.49%
44,Effective Tax Rate,-,-,13.97%,-,-,-,14.99%,9.71%,-,-,13.85%,19.61%,-,-,15.22%,8.99%,-,-,15.18%,15.92%
45,Revenue as Reported,25.43,39.51,565.05,436.74,9.11,3.54,518.34,353.02,15.03,12.93,490.04,334.14,5.02,14.51,436.65,310.88,-,-,-,-
