,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,null null,Q2 2020,Q1 2020,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,388.41,356.99,459.85,774.7,313.63,363.77,495.83,687.93,456.37,375.05,522.38,849.15,674.42,-,-,396.29,-,-,-,119.24
1,Trading Asset Securities,252.7,272.57,222.57,82.58,361.67,332.44,331.3,300.91,322.35,415.35,282.58,180.09,120,-,-,-,-,-,-,-
2,Accounts Receivable,323.7,348.23,394.25,361.48,310.68,287.74,322.83,284.01,246.71,263.95,282.03,215.61,164.63,-,-,170.69,-,-,-,138.78
3,Other Receivables,12.1,10.83,6.97,7.13,15.17,13.75,9.31,8.43,9.59,9.87,9.51,9.16,10.58,-,-,9.99,-,-,-,14.21
4,Inventory,45.63,36.98,45.97,38.09,60.04,12.72,13.09,12.76,14.75,13.79,13.09,12.77,16.48,-,-,14.45,-,-,-,59.32
5,Prepaid Expenses,-,11.82,-,2.59,-,7.24,-,7.25,-,3.68,-,0.64,-,-,-,0.73,-,-,-,4.51
6,Other Current Assets,48.15,27.08,40.97,57.44,32.15,25.87,22.35,56.71,26,15.77,68.59,75.65,63.44,-,-,73.65,-,-,-,26.04
7,Total Current Assets,1071,1065,1171,1324,1093,1044,1195,1358,1076,1097,1178,1343,1050,-,-,665.8,-,-,-,362.1
8,"Property, Plant & Equipment",453.3,398.85,334.31,393.39,369.86,345.05,332.36,358.81,348.74,342.54,336.02,319.7,319.97,-,-,300.7,-,-,-,243.02
