,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,null null,Q2 2020,Q1 2020,Q1 2017
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '17 Mar 31, 2017"
0,Market Capitalization,1999,1734,1734,1702,2151,2252,2446,2160,2317,2014,2273,2490,3221,3222,-,-,-,-,-,-,-
1,Market Cap Growth,-23.00%,-23.00%,-29.10%,-21.19%,-7.17%,11.83%,7.59%,-13.27%,-28.06%,-37.49%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1442,1178,1123,1111,1560,1614,1716,1455,1612,1290,1539,1723,2454,3054,-,-,-,-,-,-,-
3,PE Ratio,163.91,-,-,91.86,-,-,-,18.81,24.10,-,-,20.14,24.88,-,-,-,-,-,-,-,-
4,PS Ratio,1.93,1.63,1.65,1.68,2.22,2.55,2.75,2.40,2.66,2.36,2.70,2.95,4.08,4.20,-,-,-,-,-,-,-
5,PB Ratio,1.58,1.29,1.26,1.21,1.67,1.69,1.84,1.50,1.75,1.56,1.75,1.81,2.58,2.72,-,-,-,-,-,-,-
6,P/FCF Ratio,20.49,17.77,-,-,22.66,-,-,-,55.02,24.70,-,-,36.35,34.92,-,-,-,-,-,-,-
7,P/OCF Ratio,7.79,7.79,-,-,10.72,19.32,-,-,14.80,9.60,-,-,16.63,17.74,-,-,-,-,-,-,-
8,EV/Sales Ratio,1.35,1.10,1.07,1.10,1.61,1.83,1.93,1.62,1.85,1.51,1.83,2.04,3.11,3.98,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,8.20,-,-,5.66,8.15,-,-,7.52,9.13,-,-,7.88,10.85,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,13.25,-,-,9.04,13.35,-,-,12.55,16.06,-,-,11.86,16.10,-,-,-,-,-,-,-,-
11,EV/FCF Ratio,14.78,12.07,-,-,16.44,-,-,-,38.28,15.82,-,-,27.69,33.11,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.00,-,-,0.03,0.03,-,-,0.00,0.14
13,Debt / EBITDA Ratio,0.01,-,-,0.00,0.01,-,-,0.06,0.14,-,-,0.02,0.01,-,-,0.03,0.06,-,-,0.00,0.18
14,Debt / FCF Ratio,0.02,0.02,-,-,0.02,-,-,-,0.71,0.24,-,-,0.03,-,-,-,0.06,-,-,-,-
15,Quick Ratio,3.19,3.19,4.60,3.98,2.13,3.85,5.56,5.36,2.45,3.93,4.86,4.93,2.72,4.55,-,-,1.31,-,-,-,1.32
16,Current Ratio,3.50,3.50,4.95,4.30,2.30,4.21,5.81,5.52,2.60,4.08,5.01,5.29,2.91,4.93,-,-,1.51,-,-,-,1.75
17,Asset Turnover,0.06,0.09,1.20,0.95,0.02,0.01,1.11,0.78,0.04,0.03,1.11,0.80,-,-,-,-,-,-,-,-,
18,Return on Equity (ROE),-7.87%,-10.44%,37.22%,-14.66%,-7.29%,-9.27%,35.33%,9.52%,-3.74%,-6.53%,31.93%,20.30%,-,-,78.94%,-,-,-,-,-,
19,Return on Assets (ROA),-4.94%,-5.93%,18.45%,7.04%,-4.90%,-5.15%,17.81%,4.60%,-3.49%,-4.03%,16.59%,10.78%,-,-,-,-,-,-,-,-,
20,Return on Capital (ROIC),-6.30%,-7.41%,25.66%,9.83%,-6.05%,-6.18%,23.44%,6.27%,-4.40%,-5.00%,22.19%,14.75%,-,-,55.12%,-,-,-,-,-,
21,Return on Capital Employed (ROCE),7.43%,-,-,8.11%,8.37%,-,-,7.47%,7.00%,-,-,9.75%,11.24%,-,-,-,21.80%,-,-,-,14.96%
22,Earnings Yield,0.63%,0.72%,0.85%,1.09%,0.57%,4.04%,4.22%,5.32%,4.15%,6.34%,5.18%,4.97%,4.02%,3.91%,-,-,-,-,-,-,-
23,Earnings Yield,0.63%,0.72%,0.85%,1.09%,0.57%,4.04%,4.22%,5.32%,4.15%,6.34%,5.18%,4.97%,4.02%,3.91%,-,-,-,-,-,-,-
24,FCF Yield,4.88%,5.63%,4.94%,4.95%,4.41%,0.44%,1.33%,3.05%,1.82%,4.05%,3.07%,2.05%,2.75%,2.86%,-,-,-,-,-,-,-
25,Dividend Yield,0.65%,-,1.08%,-,0.26%,-,-,-,0.24%,-,-,-,1.63%,-,-,-,-,-,-,-,-
26,Payout Ratio,146.86%,-,-,0.01%,-,-,-,0.05%,14.05%,-,-,0.16%,-,-,-,-,24.35%,-,-,-,1.13%
