,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1466010,927511,904564,948390,1072386,928558,870910,904975,1092692,1402459,1684207,1703209,2576477,1165668,1298557,1482385,1808197,1299219,489266,525626,Upgrade
1,Short-Term Investments,3090464,2278274,2149350,2627950,2204284,2579542,3315118,3375324,1242071,1531557,519988,429166,45330,126015,81569,114281,177199,67781,81237,74748,Upgrade
2,Trading Asset Securities,65370,14351,41710,3678,3678,-,165851,-,9774,180854,236082,303522,228205,108622,151939,98214,68112,67617,66800,0.03,Upgrade
3,Cash & Short-Term Investments,4621844,3220137,3095624,3580017,3280347,3508099,4351879,4280299,2344537,3114870,2440277,2435897,2850011,1400306,1532065,1694880,2053509,1434617,637302,600374,Upgrade
4,Cash Growth,40.89%,-8.21%,-28.87%,-16.36%,39.91%,12.62%,78.34%,75.72%,-17.74%,122.44%,59.28%,43.72%,38.79%,-2.39%,140.40%,182.30%,126.69%,55.86%,10.09%,-19.76%,Upgrade
5,Accounts Receivable,2121068,2663433,2167875,2203189,2048110,1746202,1867851,1682522,1711761,1961493,1492742,2013550,2159506,2158439,881855,1499437,1378795,1748958,1483501,1361443,Upgrade
6,Other Receivables,263199,283217,213233,830139,215035,196121,257434,281132,211408,320015,199411,209090,166360,185095,552443,294322,345307,228199,156050,175789,Upgrade
7,Receivables,2384266,2946651,2381108,3033328,2263145,1942323,2125285,1963654,1923169,2281508,1692153,2222640,2325866,2343534,1434298,1793760,1724102,1977157,1639551,1538173,Upgrade
8,Inventory,1734703,1265552,1911654,2048667,1902357,1652201,1450526,2155181,2418587,2288184,2086721,1963488,1447150,1083249,1045653,1206105,783792,1195890,1930846,1772482,Upgrade
