,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2507970,2684062,2876161,2881498,3094942,2945531,2954845,2717531,2004788,1657500,2910733,3377887,5650774,3283558,2407643,1826016,1913765,1349664,812305,696142,548313,Upgrade
1,Market Cap Growth,-8.88%,-8.88%,-2.66%,6.03%,54.38%,77.71%,1.52%,-19.55%,-64.52%,-49.52%,20.90%,84.99%,195.27%,143.29%,196.40%,162.30%,249.03%,108.90%,25.90%,6.77%,-29.82%,Upgrade
2,Enterprise Value,3761261,4249415,4460704,4582944,4929865,4135669,4801915,5072601,4509498,3249302,4578833,4459842,6580147,3984864,3341188,2679276,2695516,2284296,2187521,2050528,1296505,Upgrade
3,Last Close Price,23500.00,25150.00,26950.00,27000.00,29000.00,27600.00,27700.00,25462.96,18796.30,15530.30,27272.73,31649.83,52946.13,30765.99,22558.92,18392.26,18505.05,13050.51,7854.55,5998.05,4644.35,Upgrade
4,PE Ratio,14.51,15.53,20.01,20.98,27.00,27.24,53.54,41.15,27.09,-,12.47,14.31,21.00,13.08,13.88,10.90,13.18,10.53,6.35,6.57,5.30,Upgrade
5,Forward PE,-,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,Upgrade
6,PS Ratio,0.13,0.14,0.15,0.17,0.18,0.17,0.17,0.15,0.12,0.09,0.15,0.18,0.31,0.19,0.16,0.12,0.13,0.10,0.07,0.07,0.05,Upgrade
7,PB Ratio,1.15,1.14,1.25,1.27,1.42,1.35,1.40,1.30,0.97,0.80,1.42,1.67,2.79,1.69,1.29,1.10,1.10,0.81,0.49,0.43,0.33,Upgrade
8,P/TBV Ratio,1.34,1.34,1.50,1.50,1.66,1.59,1.64,1.52,1.14,0.94,1.70,1.99,3.30,2.00,1.49,1.30,1.30,0.95,0.57,0.51,0.39,Upgrade
