,Fiscal Quarter,H1 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019"
0,Revenue,251.76,128.73,133.39,68.75,59.43,68.24,52.51,54.2,69.7,84.37
1,Revenue Growth (YoY),88.74%,87.26%,124.44%,0.74%,13.18%,25.92%,-24.67%,-35.77%,-27.44%,-6.11%
2,Cost of Revenue,217.95,108.03,112.4,53.85,51.86,57.07,47.36,46.1,62.2,72.66
3,Gross Profit,33.82,20.71,20.99,14.9,7.57,11.17,5.15,8.1,7.51,11.72
4,"Selling, General & Admin",50.29,32.76,29.43,22.93,12.7,11.12,6.98,9.38,8.92,12.54
5,Other Operating Expenses,-2.91,-0.12,-0.96,-0.24,-0.08,-0.05,-0.12,-0.04,-0.04,-0.09
6,Operating Expenses,50.17,36.03,32.03,23.49,17.08,11.98,15.18,9.61,9.53,12.51
7,Operating Income,-16.35,-15.32,-11.04,-8.59,-9.5,-0.8,-10.03,-1.51,-2.03,-0.79
8,Interest Expense,-0.67,-0.85,-0.79,-0.35,-0.26,-0.38,-0.43,-0.64,-0.68,-0.34
9,Interest & Investment Income,0.41,0.13,0.14,0.04,0.03,0.02,0.63,0.03,0.44,0.02
10,Earnings From Equity Investments,-,-,-0.03,0.01,-0.01,-0.07,-0.39,-0.05,-0.21,0.06
11,EBT Excluding Unusual Items,-16.62,-16.04,-11.72,-8.9,-9.75,-1.23,-10.22,-2.18,-2.48,-1.05
12,Gain (Loss) on Sale of Investments,-,-,0.08,-,-,-,-,-,-,-
13,Gain (Loss) on Sale of Assets,0.22,-,-,-,0.13,-,-,-,-0.05,-
14,Other Unusual Items,-,-,-5.23,1.39,-,-,1.16,2.68,-,-
15,Pretax Income,-16.39,-16.04,-16.87,-7.51,-9.62,-1.23,-9.06,0.5,-2.53,-1.05
16,Income Tax Expense,0.82,0.21,2.77,0.58,-0.04,0.15,-0.66,0.34,0.98,0.19
17,Earnings From Continuing Operations,-17.22,-16.25,-19.64,-8.09,-9.58,-1.38,-8.41,0.16,-3.51,-1.24
18,Minority Interest in Earnings,-,-,-,-,-,0,-,0,0,0.01
19,Net Income,-17.22,-16.25,-19.64,-8.09,-9.58,-1.38,-8.41,0.17,-3.51,-1.23
20,Net Income to Common,-17.22,-16.25,-19.64,-8.09,-9.58,-1.38,-8.41,0.17,-3.51,-1.23
21,Shares Outstanding (Basic),1947,1746,1786,1521,1513,1322,1260,1260,1261,1280
22,Shares Outstanding (Diluted),1947,1746,1786,1521,1513,1322,1260,1260,1261,1280
23,Shares Change (YoY),9.00%,14.83%,18.04%,15.05%,20.07%,4.92%,-0.08%,-1.56%,-1.49%,-
24,EPS (Basic),-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.01,0.00,-0.00,-0.00
25,EPS (Diluted),-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.01,0.00,-0.00,-0.00
26,Free Cash Flow,-39.3,-29.3,-7.5,-15.16,-4.69,-5.01,3.84,6.41,-8.67,-0.47
27,Free Cash Flow Per Share,-0.02,-0.02,-0.00,-0.01,-0.00,-0.00,0.00,0.01,-0.01,-0.00
28,Operating Margin,-6.50%,-11.90%,-8.28%,-12.50%,-15.99%,-1.18%,-19.10%,-2.79%,-2.91%,-0.93%
29,Profit Margin,-6.84%,-12.63%,-14.72%,-11.77%,-16.12%,-2.01%,-16.01%,0.30%,-5.03%,-1.46%
30,Free Cash Flow Margin,-15.61%,-22.76%,-5.63%,-22.05%,-7.89%,-7.33%,7.32%,11.82%,-12.44%,-0.56%
31,EBITDA,-13.07,-11.73,-7.8,-6.52,-7.62,0.98,-8.3,0.15,-1.37,1.52
32,D&A For EBITDA,3.28,3.59,3.24,2.07,1.89,1.78,1.73,1.67,0.66,2.3
33,EBIT,-16.35,-15.32,-11.04,-8.59,-9.5,-0.8,-10.03,-1.51,-2.03,-0.79
