,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,118.73,237.89,301.34,270.94,334.71,238.63,262.41,270.94,-,-,-
1,Short-Term Investments,-,127.56,-,168.38,-,-,-,-,-,-,-
2,Trading Asset Securities,474.64,268.31,277.06,230.15,165.05,-,-,-,-,-,-
3,Cash & Short-Term Investments,593.37,633.76,578.4,669.47,499.77,238.63,262.41,270.94,-,-,261.27
4,Cash Growth,18.73%,165.59%,120.42%,147.09%,-,-,0.44%,-,-,-,-
5,Accounts Receivable,292.76,277.98,261.7,302.23,258.84,250.07,204.45,247.13,-,-,-
6,Other Receivables,14.52,6.47,6.63,11.65,19.83,15.15,16.22,23.34,-,-,-
7,Receivables,307.27,284.45,268.33,313.88,278.68,265.22,220.66,270.47,-,-,-
8,Prepaid Expenses,-,0,-,0,-,0,-,0,-,-,-
9,Other Current Assets,13.11,11.9,138.4,9.31,226.28,9.01,10.66,7.27,-,-,-
10,Total Current Assets,913.76,930.11,985.13,992.66,1005,512.86,493.74,548.69,-,-,-
11,"Property, Plant & Equipment",222.11,202.17,196.74,189.86,164.96,160.57,141.9,136.97,-,-,-
12,Long-Term Investments,7.98,4.99,4.98,4.91,4.91,4.91,4.92,4.92,-,-,-
13,Goodwill,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,-,-,-
14,Other Intangible Assets,47.28,47.8,48.11,48.62,22.52,22.39,22.5,22.71,-,-,-
15,Long-Term Deferred Tax Assets,33.76,33.05,28.59,28.78,25.88,25.18,23.29,23.85,-,-,-
16,Long-Term Deferred Charges,5.74,26.03,3.78,3.87,3.02,8.27,3.57,7.75,-,-,-
17,Other Long-Term Assets,74.6,54.59,67.88,67.2,16.95,12.7,21.29,14.25,-,-,-
18,Total Assets,1316,1310,1346,1347,1254,757.69,722,769.95,-,-,-
19,Accounts Payable,110.35,94.67,105.01,105.88,119.97,91.06,106.48,103.56,-,-,-
20,Accrued Expenses,34.26,50.98,27.18,67.99,37.53,52.94,24.56,62.22,-,-,-
21,Short-Term Debt,26.45,57.09,80,42.43,22.91,-,-,-,-,-,-
22,Current Portion of Leases,5.29,4.59,4.68,5.32,34.57,5.48,4.9,6.39,-,-,-
23,Current Income Taxes Payable,24.71,5.26,21.96,14.26,17.71,4.92,15.36,11.31,-,-,-
24,Current Unearned Revenue,15.49,16.71,23.35,21.29,18.8,17.13,24.6,27.42,-,-,-
25,Other Current Liabilities,21.93,22.11,10.06,44.89,20.86,40.69,18.7,47.96,-,-,-
26,Total Current Liabilities,238.48,251.42,272.24,302.07,272.36,212.23,194.6,258.85,-,-,-
27,Long-Term Debt,80.05,61.44,52.95,31.02,19.39,48.48,50.2,37.5,-,-,-
28,Long-Term Leases,11.29,9.5,9.5,6.27,7.85,8.23,8.07,8.23,-,-,-
29,Long-Term Deferred Tax Liabilities,2.61,1.98,2.11,1.49,1.82,1.82,1.91,1.98,-,-,-
30,Total Liabilities,332.43,324.34,336.8,340.84,301.42,270.76,254.78,306.56,-,-,-
31,Common Stock,88,88,88,88,88,66,66,66,-,-,-
32,Additional Paid-In Capital,591.64,591.64,591.64,591.64,591.64,114.68,114.68,114.68,-,-,-
33,Retained Earnings,300.13,301.71,325.64,322.22,269.43,302.92,283.27,279.37,-,-,-
34,Total Common Equity,979.77,981.35,1005,1002,949.07,483.59,463.95,460.05,-,-,413.36
35,Minority Interest,3.81,3.86,3.93,3.99,3.28,3.35,3.27,3.34,-,-,-
36,Shareholders' Equity,983.58,985.21,1009,1006,952.35,486.94,467.22,463.39,-,-,415.97
37,Total Liabilities & Equity,1316,1310,1346,1347,1254,757.69,722,769.95,-,-,-
38,Total Debt,123.08,132.63,147.12,85.05,84.72,62.2,63.17,52.12,-,-,22.63
39,Net Cash (Debt),470.29,501.13,431.28,584.42,415.05,176.43,199.24,218.83,-,-,238.65
40,Net Cash Growth,13.31%,184.04%,116.46%,167.07%,-,-,-16.51%,-,-,-,-
41,Net Cash Per Share,5.23,5.74,5.05,15.02,3.18,2.68,3.07,3.34,-,-,3.75
42,Filing Date Shares Outstanding,88,88,88,88,88,66,66,66,66.17,67.51,63.67
43,Total Common Shares Outstanding,88,88,88,88,88,66,66,66,66.17,67.51,63.67
44,Working Capital,675.27,678.69,712.89,690.59,732.36,300.63,299.14,289.84,-,-,-
45,Book Value Per Share,11.13,11.15,11.42,11.38,10.78,7.33,7.03,6.97,-,-,6.28
46,Tangible Book Value,921.69,922.74,946.37,942.45,915.75,450.4,430.65,426.53,-,-,379.27
47,Tangible Book Value Per Share,10.47,10.49,10.75,10.71,10.41,6.82,6.52,6.46,-,-,5.76
48,Buildings,-,41.46,-,41.46,-,18.56,-,18.56,-,-,-
49,Machinery,-,21.07,-,19.29,-,18.46,-,18.51,-,-,-
50,Construction In Progress,-,150.34,-,140.96,-,131.54,-,105.67,-,-,-
