,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2085,2337,2640,2492,3203,3707,-,-,-,-,-,-
1,Market Cap Growth,-36.94%,-36.94%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1618,1840,2213,2080,2791,3533,-,-,-,-,-,-
3,Last Close Price,23.69,26.52,29.96,27.88,35.83,41.46,-,-,-,-,-,-
4,PE Ratio,25.72,33.67,38.15,32.13,41.04,47.22,-,-,-,-,-,-
5,PS Ratio,4.90,6.41,7.18,6.49,8.20,9.34,-,-,-,-,-,-
6,PB Ratio,2.13,2.38,2.68,2.47,3.18,3.89,-,-,-,-,-,-
7,P/TBV Ratio,2.54,2.54,2.86,2.63,3.40,4.05,-,-,-,-,-,-
8,P/OCF Ratio,55.39,-,-,52.29,80.41,58.32,-,-,-,-,-,-
9,EV/Sales Ratio,4.44,5.05,6.02,5.42,7.14,8.91,-,-,-,-,-,-
10,EV/EBITDA Ratio,23.72,-,34.33,-,35.37,40.75,-,-,-,-,-,-
11,EV/EBIT Ratio,27.37,-,36.91,-,37.50,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.13,0.13,0.13,0.15,0.08,0.09,0.13,0.14,0.11,-,-,0.05
13,Debt / EBITDA Ratio,1.80,-,2.48,-,0.36,46.05,0.65,3.78,0.19,-,-,1.38
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,2.21,-,-,-
15,Asset Turnover,0.17,0.23,0.17,0.54,0.24,0.50,0.34,-,-,-,-,
16,Quick Ratio,3.78,3.78,3.65,3.11,3.26,2.86,2.37,2.48,2.09,-,-,-
17,Current Ratio,3.83,3.83,3.70,3.62,3.29,3.69,2.42,2.54,2.12,-,-,-
18,Return on Equity (ROE),0.77%,4.49%,1.33%,21.86%,0.92%,16.53%,3.30%,-,-,-,-,
19,Return on Assets (ROA),-0.29%,1.74%,-0.20%,10.10%,-0.18%,6.64%,1.00%,-,-,-,-,
20,Return on Capital (ROIC),-0.34%,2.03%,-0.24%,12.34%,-0.23%,9.10%,1.43%,-,-,-,-,
21,Return on Capital Employed (ROCE),5.49%,-,5.67%,-,7.13%,-,15.88%,16.46%,17.00%,-,-,-
22,Earnings Yield,3.33%,2.97%,2.62%,3.11%,2.44%,2.12%,-,-,-,-,-,-
23,FCF Yield,-3.24%,-2.89%,-1.87%,-1.91%,-1.42%,0.82%,-,-,-,-,-,-
24,Dividend Yield,3.32%,-,1.47%,-,2.23%,-,-,-,-,-,-,-
25,Payout Ratio,54.95%,136.93%,302.67%,22.74%,1.16%,2087.94%,2.94%,14.59%,0.86%,626.23%,2.75%,-
26,Buyback Yield / Dilution,7.78%,31.16%,-32.56%,-31.55%,40.69%,-97.22%,2.50%,-2.04%,-,-,-,-
27,Total Shareholder Return,11.10%,31.16%,-31.09%,-31.55%,42.93%,-97.22%,2.50%,-2.04%,-,-,-,-
