,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,57.69,74.88,56.69,174.06,60.95,91.37,63.4,179.95,76.37,86.8,60.2
1,Other Revenue,-0.55,0.55,-,1.04,-0.52,0.52,-,1.05,-0.5,0.5,-
2,Revenue,57.14,75.43,56.69,175.1,60.43,91.9,63.4,181,75.87,87.3,60.2
3,Revenue Growth (YoY),-5.44%,-17.92%,-10.58%,-3.26%,-20.35%,5.27%,5.31%,-,-,-,-
4,Cost of Revenue,37.98,37.93,43.17,75.11,38.79,50.25,45.52,87.39,44.15,48.8,44.37
5,Gross Profit,19.16,37.5,13.52,99.99,21.64,41.64,17.88,93.61,31.72,38.49,15.83
6,"Selling, General & Admin",13.21,11.49,13.25,14.31,13.81,12.73,12.27,14.14,12.45,12.4,12.15
7,Research & Development,4.89,4.9,4.61,13.09,5.69,4.79,4.37,10.03,6.75,3.88,3.71
8,Other Operating Expenses,0.17,0.64,0.64,0.93,-1.07,1.43,-0.1,1.15,0.36,0.1,-0.21
9,Operating Expenses,20.69,28.26,14.61,47.48,22.35,21.99,14.88,33.51,27.84,18.65,12.77
10,Operating Income,-1.53,9.24,-1.09,52.51,-0.71,19.65,3,60.1,3.88,19.84,3.06
11,Interest Expense,-0.39,-0.63,-0.56,-0.32,-0.12,-0.21,-0.09,-0.08,-0.15,-0.19,-0.15
12,Interest & Investment Income,2.76,4.17,4.83,3.57,3.15,1.59,1.43,1.33,1.19,1.54,1.54
13,Earnings From Equity Investments,-,-,-,0.01,-,-,-,0.02,-,-0.01,-0.01
14,Other Non Operating Income (Expenses),0.03,-0.08,-0.02,-1.12,0.93,0.1,-0.02,-0.42,0.12,-0.01,-0.02
15,EBT Excluding Unusual Items,0.88,12.7,3.15,54.64,3.25,21.13,4.32,60.95,5.03,21.16,4.42
