,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1467,1377,955,1806,1198,1216,1444,2103,2053,1252,1327,Upgrade
1,Market Cap Growth,-23.78%,-23.78%,-20.23%,48.50%,-17.09%,-42.17%,-29.64%,68.04%,54.72%,-76.85%,-80.37%,Upgrade
2,Enterprise Value,1892,2140,1600,2571,1993,2060,2126,2810,2833,1591,2015,Upgrade
3,Last Close Price,0.33,0.30,0.24,0.45,0.40,0.46,0.55,0.81,0.79,0.48,0.51,Upgrade
4,PE Ratio,-,-3.88,-,-,-,102.08,25.06,156.44,-,-1.36,-,Upgrade
5,Forward PE,-,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,Upgrade
6,PS Ratio,4.53,4.57,2.76,5.55,3.40,2.49,2.58,3.55,3.51,2.13,1.64,Upgrade
7,PB Ratio,0.46,0.43,0.30,0.52,0.37,0.37,0.42,0.63,0.63,0.42,0.44,Upgrade
8,P/TBV Ratio,0.58,0.58,0.41,0.69,0.50,0.50,0.57,0.86,0.88,0.59,0.62,Upgrade
9,P/FCF Ratio,-,-7.67,-,-,13.07,44.11,-,11.90,21.45,3.54,2.17,Upgrade
10,P/OCF Ratio,-,-8.45,-,-,12.24,35.01,-,11.85,19.94,3.47,2.16,Upgrade
11,EV/Sales Ratio,6.28,7.11,4.62,7.90,5.65,4.22,3.80,4.74,4.84,2.71,2.50,Upgrade
12,EV/EBITDA Ratio,-,-133.09,-,-41.13,-,22.45,15.93,13.71,15.95,8.58,6.21,Upgrade
13,EV/EBIT Ratio,-,-28.05,-,-,-,91.95,-,25.60,35.27,16.64,8.61,Upgrade
14,EV/FCF Ratio,-10.54,-11.93,-,-,21.75,74.73,-,15.90,29.61,4.50,3.30,Upgrade
15,Debt / Equity Ratio,0.15,0.15,0.27,0.20,0.27,0.30,0.27,0.29,0.34,0.38,0.37,Upgrade
16,Debt / FCF Ratio,-,-2.69,-,-,9.45,36.07,-,5.49,11.32,3.27,1.84,Upgrade
17,Return on Capital Employed (ROCE),-,-2.36%,-,-,-,0.61%,-,2.79%,2.36%,2.98%,7.25%,Upgrade
18,Earnings Yield,-24.20%,-25.79%,-40.70%,-7.40%,-9.67%,0.98%,3.99%,0.64%,0.98%,-73.78%,-62.83%,Upgrade
19,FCF Yield,-12.23%,-13.03%,-35.34%,-0.52%,7.65%,2.27%,6.47%,8.40%,4.66%,28.25%,46.09%,Upgrade
20,Buyback Yield / Dilution,-22.44%,-13.76%,-33.52%,-51.73%,-19.32%,15.98%,-0.96%,-20.47%,-,-,0.00%,Upgrade
21,Total Shareholder Return,-22.44%,-13.76%,-33.52%,-51.73%,-19.32%,15.98%,-0.96%,-20.47%,-,-,0.00%,Upgrade
