,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,23896303,20140028,24375827,20523716,27949520,27097029,25574724,23016823,18876231,16440588,21311879,21190478,23878315,35665412,21578771,9524445,6478343,6255625,2815032,2742050,2367217,Upgrade
1,Market Cap Growth,-25.67%,-25.67%,-4.69%,-10.83%,48.07%,64.82%,20.00%,8.62%,-20.95%,-53.90%,-1.24%,122.49%,268.59%,470.13%,666.56%,247.35%,173.67%,108.29%,-6.59%,-14.63%,-32.44%,Upgrade
2,Last Close Price,14950.00,12600.00,15250.00,15522.04,19342.05,18752.10,17698.61,15928.75,13063.26,11377.68,14748.84,14664.56,25186.87,21369.03,13290.50,11570.55,4856.57,4824.41,2170.98,2034.90,1756.36,Upgrade
3,PE Ratio,11.66,12.65,11.29,8.48,11.20,13.42,19.56,32.38,25.31,12.04,10.17,8.00,9.18,14.97,12.16,6.67,5.59,9.25,4.72,5.98,6.71,Upgrade
4,PS Ratio,4.31,4.40,4.60,3.69,5.05,5.22,5.04,4.75,3.59,2.76,3.43,3.22,3.91,6.42,5.22,3.08,2.66,3.58,1.89,2.09,2.04,Upgrade
5,PB Ratio,1.30,1.02,1.24,1.19,1.63,1.64,1.63,1.53,1.29,1.13,1.46,1.46,2.31,3.63,2.53,1.97,1.44,1.64,0.79,0.80,0.72,Upgrade
6,P/FCF Ratio,-,-,-,-,7.79,12.30,-5.86,-,-,-,-3.43,-1.26,-,-,-,-3.27,-,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-,-,7.67,11.93,-5.96,-,-,-,-3.46,-1.27,-,-,-,-3.30,-,-,-,-,-,Upgrade
8,Debt / Equity Ratio,1.16,1.16,1.16,1.29,1.11,1.29,1.48,1.59,1.35,1.45,1.32,1.55,2.45,2.21,1.88,2.54,2.71,2.66,2.62,2.45,2.34,Upgrade
9,Debt / FCF Ratio,-,-,-,-,5.31,9.65,-5.34,-,-,-,-3.09,-1.34,-,-,-,-4.21,-,-,-,-,-,Upgrade
10,Asset Turnover,0.09,0.10,0.11,0.12,0.17,0.13,0.12,0.09,0.16,0.11,0.14,0.16,0.23,0.24,0.21,0.24,0.14,0.15,0.15,0.12,Upgrade,
11,Quick Ratio,1.52,1.52,1.52,1.09,1.11,1.07,1.34,1.33,1.44,1.07,1.29,1.25,1.09,1.14,1.19,0.70,0.59,0.59,0.43,0.41,0.46,Upgrade
12,Current Ratio,1.53,1.53,1.53,1.58,1.67,1.63,1.56,1.53,1.65,1.64,1.57,1.54,1.40,1.39,1.48,1.09,1.00,1.11,1.04,1.22,1.31,Upgrade
13,Return on Equity (ROE),5.10%,8.18%,8.02%,14.68%,20.32%,16.60%,11.32%,3.86%,2.95%,1.16%,14.63%,30.16%,36.48%,35.62%,34.88%,52.28%,26.59%,28.49%,16.39%,7.25%,Upgrade,
14,Return on Assets (ROA),2.27%,3.38%,3.19%,5.94%,7.86%,6.11%,4.26%,1.48%,1.06%,0.39%,4.18%,7.63%,10.20%,9.32%,7.80%,12.72%,6.92%,7.82%,4.72%,2.06%,Upgrade,
15,Earnings Yield,7.19%,7.90%,8.86%,11.79%,8.93%,7.45%,5.11%,3.09%,3.95%,8.31%,9.84%,12.50%,10.89%,6.68%,8.30%,15.17%,18.16%,11.07%,21.19%,16.72%,14.90%,Upgrade
16,FCF Yield,-29.91%,-35.49%,-2.49%,9.47%,12.83%,8.13%,-17.08%,-1.40%,8.44%,-19.43%,-29.18%,-79.18%,-68.23%,-37.54%,-38.34%,-30.54%,-67.25%,-33.98%,-52.50%,-18.45%,9.20%,Upgrade
17,Dividend Yield,3.15%,-,-,-,-,2.54%,-,-,-,-,-,-,-,2.23%,-,-,-,-,-,-,-,Upgrade
18,Payout Ratio,44.29%,151.43%,100.62%,-,-,-,-,-,-,-,-,133.67%,-,-,-,26.38%,-,-,48.48%,-,-,Upgrade
19,Buyback Yield / Dilution,-4.82%,-33.70%,-9.68%,0.06%,-0.00%,1.58%,-0.65%,-52.57%,-145.13%,-59.31%,-68.57%,-137.35%,-15.64%,-106.90%,-91.21%,10.31%,-14.46%,-0.04%,0.10%,-0.14%,0.13%,Upgrade
20,Total Shareholder Return,-1.67%,-33.70%,-9.68%,0.06%,-0.00%,4.12%,-0.65%,-52.57%,-145.13%,-59.31%,-68.57%,-137.35%,-15.64%,-104.67%,-91.21%,10.31%,-14.46%,-0.04%,0.10%,-0.14%,0.13%,Upgrade
