,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,779,1020,1410,1578,3630,4093,2437,2785,2582,2582,3220,Upgrade
1,Market Cap Growth,-35.33%,-35.33%,-61.16%,-61.45%,48.95%,46.98%,-5.62%,7.87%,-19.82%,-43.31%,-47.39%,Upgrade
2,Enterprise Value,-3576,-3366,-2597,-2462,-80,4037,44,684,1041,1265,2874,Upgrade
3,Last Close Price,0.07,0.10,0.13,0.15,0.34,0.42,0.60,0.80,0.89,0.89,1.11,Upgrade
4,PE Ratio,14.23,18.59,26.27,-36.13,-,17.22,11.01,19.35,-,-2.13,-,Upgrade
5,PS Ratio,2.69,3.52,4.58,6.21,18.83,31.19,25.59,24.42,22.97,20.80,17.69,Upgrade
6,PB Ratio,0.08,0.10,0.14,0.16,0.36,0.42,0.44,0.54,0.57,0.57,0.78,Upgrade
7,P/TBV Ratio,0.10,0.10,0.14,0.16,0.36,0.42,0.44,0.54,0.57,0.57,0.78,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-80.55,-,-47.76,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,-85.63,-,-47.77,-,-,Upgrade
10,EV/Sales Ratio,-,-,-,-,-,30.76,0.46,6.00,9.26,10.19,15.79,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,45.36,0.46,4.37,9.29,-10.68,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,48.61,0.50,4.57,9.90,-10.09,-,Upgrade
13,EV/FCF Ratio,137.89,-,-,-,-,-,-1.45,-,-19.25,-,-,Upgrade
14,Debt / Equity Ratio,0.05,0.05,0.14,0.12,0.13,0.15,0.34,0.09,0.13,0.08,0.14,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-,-61.96,-,-10.69,-,-,Upgrade
16,Return on Capital Employed (ROCE),2.38%,2.38%,2.46%,1.95%,1.28%,0.86%,1.60%,2.92%,2.31%,-2.70%,-,Upgrade
17,Earnings Yield,7.05%,5.38%,3.81%,-2.77%,4.03%,5.81%,9.08%,5.17%,14.43%,-46.99%,-42.63%,Upgrade
18,FCF Yield,-3.33%,-2.54%,-3.51%,-3.35%,-2.75%,3.00%,-1.24%,-8.37%,-2.09%,-4.09%,-3.50%,Upgrade
19,Buyback Yield / Dilution,-4.15%,-,-8.67%,-60.35%,-149.28%,-119.44%,-33.87%,-3.06%,-,0.34%,2.52%,Upgrade
20,Total Shareholder Return,-4.15%,-,-8.67%,-60.35%,-149.28%,-119.44%,-33.87%,-3.06%,-,0.34%,2.52%,Upgrade
