,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 7, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2450,1900,1575,1675,1650,1725,1900,1900,2450,1575,1675
1,Market Cap Growth,13.43%,13.43%,-4.55%,-2.90%,-13.16%,-9.21%,-22.45%,20.63%,46.27%,-25.00%,-29.47%
2,Last Close Price,0.48,0.37,0.30,0.30,0.28,0.28,0.30,0.29,0.36,0.22,0.23
3,PE Ratio,17.68,13.71,10.31,10.21,11.01,16.27,4.07,3.30,11.49,10.44,11.99
4,PS Ratio,7.32,5.67,4.69,5.15,4.94,4.89,5.21,4.99,6.50,4.34,4.98
5,PB Ratio,0.56,0.44,0.36,0.39,0.38,0.40,0.44,0.43,0.61,0.40,0.43
6,P/FCF Ratio,6.12,4.74,4.54,1.75,1.80,5.51,2.05,1.36,12.13,-,5.85
7,P/OCF Ratio,4.73,4.73,4.52,1.74,1.80,5.22,2.01,1.36,11.93,-,5.85
8,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,-
9,Debt / FCF Ratio,0.04,0.04,0.05,0.00,0.01,0.03,0.02,0.01,0.01,-,-
10,Earnings Yield,5.66%,7.29%,9.69%,9.79%,9.08%,6.15%,24.57%,30.30%,8.70%,9.58%,8.34%
11,FCF Yield,16.35%,21.08%,22.04%,57.17%,55.47%,18.16%,48.76%,73.27%,8.24%,11.52%,17.10%
12,Dividend Yield,54.08%,-,20.28%,20.00%,21.15%,21.10%,19.95%,20.69%,16.63%,22.54%,21.78%
13,Total Shareholder Return,54.08%,-,20.28%,20.00%,21.15%,21.10%,19.95%,20.69%,16.63%,22.54%,21.78%
