,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2516,2875,3493,2748,3282,3158,3349,3237,2696,1778,1810,2324,3366,2929,2760,3872,-,-,-,-,-
1,Market Cap Growth,-8.97%,-8.97%,4.31%,-15.09%,21.72%,77.68%,85.06%,39.28%,-19.90%,-39.31%,-34.43%,-39.98%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2684,3043,3617,2776,3247,3124,3211,2998,2414,1495,1500,1967,2987,2550,2340,3735,-,-,-,-,-
3,Last Close Price,22.46,25.67,31.19,24.54,29.07,27.98,29.67,28.68,23.75,15.66,15.94,20.47,29.34,25.54,24.06,33.76,-,-,-,-,-
4,PE Ratio,45.84,-,37.77,38.19,45.09,44.90,55.56,49.05,41.98,27.57,31.62,41.59,52.68,47.81,44.97,73.48,-,-,-,-,-
5,PS Ratio,5.51,6.31,7.25,5.97,7.17,7.26,7.85,8.05,6.80,4.49,4.92,6.45,9.00,7.58,7.13,9.76,-,-,-,-,-
6,PB Ratio,2.74,3.13,3.80,3.11,3.66,3.59,3.98,3.91,3.21,2.15,2.26,2.98,4.21,3.73,3.60,5.18,-,-,-,-,-
7,P/TBV Ratio,3.25,3.25,3.95,3.24,3.81,3.74,4.16,4.09,3.35,2.25,2.37,3.12,4.41,3.91,3.71,5.34,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-1633.09,-248.05,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,43.33,29.20,41.22,37.25,37.62,-,32.37,18.59,29.49,32.46,58.67,55.88,57.83,-,-,-,-,-,-
10,EV/Sales Ratio,5.89,6.68,7.51,6.03,7.10,7.18,7.53,7.46,6.09,3.78,4.08,5.46,7.99,6.60,6.05,9.42,-,-,-,-,-
11,EV/EBITDA Ratio,29.61,-,27.34,26.48,29.88,29.75,33.26,31.84,26.76,17.45,19.51,25.42,32.14,29.30,29.04,51.21,-,-,-,-,-
12,EV/EBIT Ratio,41.96,-,34.45,35.47,39.14,39.03,44.41,42.00,35.42,22.99,26.00,35.97,43.96,38.80,39.34,72.02,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-1449.15,-215.95,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.43,0.43,0.43,0.44,0.32,0.30,0.32,0.31,0.28,0.12,0.17,0.07,0.05,0.04,-,-,-,-,-,0.00,0.00
15,Debt / EBITDA Ratio,4.40,-,1.71,10.19,2.49,1.77,2.16,4.80,2.30,0.90,1.17,1.44,0.52,0.43,-,-,-,-,-,0.00,0.01
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-20.74,-2.79,-,-,-,-,-,-,0.02
17,Asset Turnover,-,0.37,0.27,0.31,0.44,0.37,0.29,0.28,0.49,0.36,0.35,0.33,0.46,0.37,0.53,0.62,-,-,-,-,
18,Inventory Turnover,-,-,0.86,0.88,0.77,1.15,0.95,0.82,0.79,1.50,1.09,1.15,0.98,1.54,0.84,1.14,0.82,-,-,-,-
19,Quick Ratio,-,-,0.77,0.85,1.20,1.64,1.88,2.54,2.65,2.29,1.98,2.28,2.76,3.28,3.72,3.26,1.60,1.63,-,1.57,-
20,Current Ratio,-,-,1.39,1.48,1.95,2.53,2.77,3.52,3.41,2.96,2.51,2.99,3.47,4.01,4.68,3.98,2.33,2.32,-,2.28,-
21,Return on Equity (ROE),-0.91%,15.59%,2.37%,7.41%,16.51%,7.02%,2.93%,6.73%,12.52%,10.30%,2.20%,7.21%,9.39%,10.05%,8.26%,10.51%,-,-,21.62%,-,
22,Return on Assets (ROA),-,8.62%,0.32%,4.15%,5.61%,4.85%,1.30%,4.07%,4.95%,5.75%,0.83%,4.15%,3.85%,5.72%,5.41%,5.80%,-,-,-,-,
23,Return on Capital (ROIC),-2.20%,9.95%,0.37%,4.77%,6.54%,5.66%,1.51%,4.81%,5.82%,6.76%,0.98%,4.87%,4.52%,6.90%,6.91%,7.85%,-,-,15.42%,-,
24,Return on Capital Employed (ROCE),-,-,9.90%,7.54%,7.88%,7.45%,6.76%,6.75%,6.63%,7.37%,7.14%,6.94%,8.41%,8.27%,7.64%,6.85%,12.96%,12.91%,-,8.69%,-
25,Earnings Yield,2.18%,1.90%,2.65%,2.62%,2.22%,2.23%,1.80%,2.04%,2.38%,3.63%,3.16%,2.40%,1.90%,2.09%,2.22%,1.36%,-,-,-,-,-
