,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,117.51,139.07,94.71,104.06,140.1,119.41,90.3,81.52,126.44,98.51,81.18,80.74,90.18,97.37,88.47,93.28,105.41,95.31,104.1,71.5
1,Other Revenue,-,-0.17,0.17,-,3.7,-2.02,2.02,-,8.84,-5.59,5.59,-,17.23,-11.88,11.88,-,2.46,-0.13,0.13,-
2,Revenue,117.51,138.9,94.88,104.06,143.79,117.39,92.32,81.52,135.28,92.92,86.77,80.74,107.41,85.48,100.36,93.28,107.87,95.18,104.22,71.5
3,Revenue Growth (YoY),-18.28%,18.32%,2.78%,27.65%,6.29%,26.33%,6.40%,0.96%,25.95%,8.70%,-13.54%,-13.44%,-0.42%,-10.19%,-3.71%,30.47%,-,-,-,-
4,Cost of Revenue,-138.54,52.5,47.67,38.37,55.62,44.05,34.69,29.03,48.64,33.55,33.82,26.38,40.28,22.38,28.79,19.24,31.15,12.12,24.42,17.18
5,Gross Profit,256.05,86.4,47.21,65.68,88.18,73.35,57.63,52.49,86.65,59.38,52.95,54.36,67.13,63.11,71.57,74.05,76.72,83.06,79.8,54.32
6,"Selling, General & Admin",-94.63,29.49,29.35,35.79,40.56,41.38,42.73,36.34,54.11,32.03,38.09,33.58,40.67,41.29,53.5,55.28,56.19,64.35,52.43,39.42
7,Research & Development,-28.58,4.75,14.42,9.42,8.67,7.2,8.32,4.86,4.45,2.82,10.9,5.11,4.83,1.66,2.25,5.01,6.31,5.65,3.36,2.93
8,Other Operating Expenses,391.81,-1.94,1.78,-0.28,9.81,0.34,-0.47,-8.45,4.49,0.21,0.08,-0.06,6.11,0.05,-1.8,0.45,5.5,-0.2,0.56,-1.62
9,Operating Expenses,267.66,34.82,45.4,43.5,58.77,48.51,51.11,33.22,64.95,35.47,49.66,38.2,52.79,42.2,55.04,60.11,68.61,69.77,55.57,42.12
10,Operating Income,-11.61,51.58,1.81,22.19,29.41,24.84,6.52,19.26,21.7,23.9,3.28,16.16,14.34,20.91,16.53,13.93,8.1,13.29,24.23,12.2
11,Interest Expense,-2.33,-3.69,-2.33,-2.94,-2.25,-2.49,-2.36,-1.99,-0.96,-1.21,-0.63,-0.45,-0.15,-0.03,-,-,-,-0,-0.01,-0.01
12,Interest & Investment Income,8.96,0.4,0.79,1.14,1.19,0.72,1.28,0.73,1.77,0.81,0.89,1.1,1.61,1.94,0.27,0.38,0.07,1.26,0.17,0.03
13,Currency Exchange Gain (Loss),-,-0.48,0.48,-,0.5,-0.35,0.35,-,3,-1.49,1.49,-,-0.67,0.35,-0.35,-,-0.12,-0.4,0.4,-
14,Other Non Operating Income (Expenses),-0.2,-0.62,0.54,-0.23,-2.73,-0.34,0.94,-0.9,-4.73,3.41,-1,0.77,2.63,-3.16,0.65,-0.62,0.92,-0.4,-0.46,-0.18
15,EBT Excluding Unusual Items,-5.18,47.19,1.3,20.15,26.13,22.38,6.74,17.11,20.77,25.43,4.04,17.58,17.76,20,17.11,13.7,8.98,13.76,24.32,12.04
16,Gain (Loss) on Sale of Investments,-,-,-,-,-0.52,-0.5,0.15,-0.56,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0,0.53,-0.53,0,-0.91,0.69,-0.69,-0,-0.38,0.2,-0.2,-0.01,-4.89,2.35,-2.35,-,-0.32,0.12,-0.12,-
18,Asset Writedown,4.72,-4.72,0.87,-0.87,4.26,-4.26,0.22,-0.22,0.92,-0.92,0.01,-0.01,0.29,-0.29,0.38,-0.38,2.26,-2.26,-0.02,0.02
19,Other Unusual Items,-,-2.38,2.36,0.02,10.09,-0.02,0.02,-,4.93,-,-,-,6.8,-,-,-,10.11,-0.02,0.02,-
20,Pretax Income,-0.46,40.62,4,19.3,39.06,18.28,6.45,16.33,26.25,24.7,3.85,17.56,19.96,22.06,15.14,13.32,21.02,11.6,24.2,12.05
21,Income Tax Expense,1.62,5.52,-1.27,2.85,3.53,3.63,0.34,2.3,0.78,4.34,-0.5,3.27,1.74,3.04,2.79,1.66,2.68,1.26,2.99,1.95
22,Earnings From Continuing Operations,-2.08,35.1,5.27,16.45,35.53,14.65,6.12,14.03,25.48,20.37,4.35,14.29,18.22,19.02,12.36,11.65,18.34,10.35,21.21,10.1
23,Minority Interest in Earnings,-0.13,0.06,0.05,0.02,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,-2.21,35.16,5.32,16.47,35.54,14.65,6.12,14.03,25.48,20.37,4.35,14.29,18.22,19.02,12.36,11.65,18.34,10.35,21.21,10.1
25,Net Income to Common,-2.21,35.16,5.32,16.47,35.54,14.65,6.12,14.03,25.48,20.37,4.35,14.29,18.22,19.02,12.36,11.65,18.34,10.35,21.21,10.1
26,Net Income Growth,-,140.02%,-13.08%,17.38%,39.49%,-28.07%,40.66%,-1.82%,39.85%,7.05%,-64.81%,22.64%,-0.67%,83.90%,-41.75%,15.39%,-,-,-,-
27,Shares Outstanding (Basic),112,106,120,110,110,113,116,108,110,115,108,111,112,115,91,86,82,85,85,83
