,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,149.56,236.02,165.24,219.13,225.71,345.55,340.59,372.12,225.17,294.51,269.43,211.56,379.08,420.19,137.01,129.53,-,122.42,-
1,Trading Asset Securities,-,81.06,30.7,95,50,75,50,130,-,190,70,130,200,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,230.62,230.62,266.72,260.24,269.13,300.71,395.55,470.59,372.12,415.17,364.51,399.43,411.56,379.08,420.19,137.01,129.53,-,122.42,104.22
3,Cash Growth,-14.31%,-23.31%,-32.57%,-44.70%,-27.68%,-27.57%,8.52%,17.82%,-9.58%,9.52%,-13.25%,191.54%,217.74%,-,243.24%,31.46%,-,-,-,-
4,Accounts Receivable,-,121.9,87.03,91.71,115.89,124.36,103.55,109.31,119.16,104.38,98.4,99.91,111.73,98.87,112.65,100.79,106.08,-,98.5,-
5,Other Receivables,-,7.72,8.49,10.65,10.27,15.81,15.63,25.71,23.63,24.24,10.5,10.11,9.49,1.22,0.74,0.44,0.38,-,1.1,-
6,Receivables,-,129.62,95.53,102.36,126.16,140.18,119.18,135.02,142.79,128.61,108.9,110.01,121.22,100.1,113.4,101.22,106.46,-,99.6,-
7,Inventory,-,255.72,232.98,201.89,194.33,192.14,179.74,159.83,135.43,123.85,122.05,113.31,101.36,108.5,105.03,96.87,90.01,-,95.41,-
8,Prepaid Expenses,-,-,-,-,0.22,-,-,-,-,-,-,-,-,-,-,-,3.13,-,-,-
9,Other Current Assets,-,35.45,34.43,24.42,19.47,16.46,17.47,14.91,15.54,21.53,24.86,17.51,17.85,15.31,13.03,10.79,6.96,-,5.42,-
10,Total Current Assets,-,651.41,629.67,588.92,609.3,649.49,711.94,780.36,665.89,689.17,620.31,640.26,652.01,602.98,651.65,345.89,336.09,-,322.86,-
11,"Property, Plant & Equipment",-,581.59,578.05,492.78,483.86,366.46,335.95,301.27,285.1,263.08,255.63,241.06,238.06,212.15,203.62,203.56,200.47,-,182.95,-
12,Long-Term Investments,-,79.34,101.99,102.33,94.43,96.75,80.28,55.05,55.69,56.04,51.29,49.21,9.9,9.9,-,-,-,-,-,-
