,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,17822,19378,17556,17956,18667,19422,19600,19822,19200,18889,21822,23333,26933,27511,-,-,-,-,-,-
1,Market Cap Growth,-0.23%,-0.23%,-10.43%,-9.42%,-2.78%,2.82%,-10.18%,-15.05%,-28.71%,-31.34%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12796,14160,11927,12297,13008,14618,14895,14651,14029,13884,16914,17866,21466,24292,-,-,-,-,-,-
3,Last Close Price,4.01,4.36,3.95,3.98,4.14,4.31,4.35,4.36,4.22,4.15,4.80,5.11,5.89,6.02,-,-,-,-,-,-
4,PE Ratio,28.79,31.73,23.63,23.80,29.77,37.35,44.60,45.07,-,34.62,42.51,62.80,68.93,91.94,-,-,-,-,-,-
5,PS Ratio,1.61,1.78,1.61,1.66,1.75,1.92,1.97,2.03,2.03,1.98,2.48,2.67,3.05,2.99,-,-,-,-,-,-
6,PB Ratio,0.94,1.02,0.93,0.95,1.00,1.04,1.06,1.07,1.05,1.03,1.20,1.29,1.50,1.53,-,-,-,-,-,-
7,P/TBV Ratio,1.04,1.04,0.95,0.96,1.02,1.06,1.08,1.09,1.07,1.04,1.22,1.31,1.52,1.56,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,17.48,-,27.71,410.02,-,-,-110.71,129.17,890.85,-,32.44,-,-,-,-,-,-
9,P/OCF Ratio,98.55,-,-,10.16,13.87,13.90,24.45,-,23.97,51.15,27.27,36.55,-,23.18,-,-,-,-,-,-
10,EV/Sales Ratio,1.17,1.30,1.09,1.14,1.22,1.44,1.50,1.50,1.48,1.46,1.92,2.05,2.43,2.64,-,-,-,-,-,-
11,EV/EBITDA Ratio,8.70,10.79,8.28,8.63,10.07,13.06,14.33,14.35,13.96,11.77,15.47,18.49,21.76,24.72,-,-,-,-,-,-
12,EV/EBIT Ratio,19.14,21.44,15.00,15.63,19.68,29.49,35.33,35.77,-,24.00,34.04,47.41,53.42,60.29,-,-,-,-,-,-
13,EV/FCF Ratio,-28.31,-,-,11.97,-,20.85,311.59,-,-,-81.38,100.11,682.12,-,28.64,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-,-,-,-,-
15,Debt / EBITDA Ratio,0.15,0.18,0.13,0.17,0.23,0.19,0.20,0.32,0.76,0.25,0.21,0.32,0.31,0.38,0.35,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,0.28,-,0.47,7.36,-,-,-2.05,2.02,13.51,-,0.48,0.57,-,-,-,-,-
17,Asset Turnover,0.53,0.50,0.49,0.58,0.54,0.49,0.47,0.49,0.53,0.46,0.43,0.52,0.41,-,-,-,-,-,-,
18,Inventory Turnover,195.97,218.51,201.55,190.86,227.17,195.05,181.09,178.68,208.74,204.27,177.80,171.88,213.81,154.99,-,-,-,-,-,-
19,Quick Ratio,4.14,4.14,4.40,6.25,5.65,4.11,5.20,5.93,6.10,6.44,5.51,5.92,6.10,6.70,5.02,-,5.13,-,-,-
