,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,5246,5472,5913,5554,5991,5157,5078,5197,5522,5345,5262,5202,5873,3620,-,3459,-,-,-
1,Cash & Short-Term Investments,5246,5472,5913,5554,5991,5157,5078,5197,5522,5345,5262,5202,5873,3620,3459,3459,-,-,2484
2,Cash Growth,-12.44%,6.11%,16.43%,6.88%,8.50%,-3.53%,-3.50%,-0.11%,-5.98%,47.65%,52.16%,50.42%,-,-,39.22%,-,-,-,-
3,Accounts Receivable,3295,2536,2412,2476,2595,2895,2874,2518,2619,2589,2475,2180,1704,2124,-,1821,-,-,-
4,Other Receivables,467.83,555.47,318.72,279.31,370.13,398.21,454.05,273.47,371.78,445.28,211.73,222.62,225.55,196.23,-,286.38,-,-,-
5,Receivables,3763,3091,2731,2756,2966,3293,3328,2791,2991,3034,2687,2403,1930,2321,-,2107,-,-,-
6,Inventory,47.59,47.22,43.82,48.07,54.28,47.65,49.69,48.9,48.07,45.06,45.9,44.07,46.73,42.81,-,37.79,-,-,-
7,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.64,-,-,-,-,-
8,Other Current Assets,606.93,612.78,494.86,519.71,667.87,511.64,416,496.89,533.88,414.91,406.04,363.51,384.22,409.48,-,380.2,-,-,-
9,Total Current Assets,9663,9223,9182,8877,9679,9009,8872,8534,9095,8839,8402,8012,8234,6394,-,5983,-,-,-
10,"Property, Plant & Equipment",10969,11037,10624,10788,10785,10673,10627,10729,10009,10112,10265,10422,10411,10394,-,10192,-,-,-
11,Long-Term Investments,183.06,223.6,219.78,209.77,207.23,192.02,181.55,182.02,204.48,193.75,189.2,182.56,186.51,178.74,-,163.7,-,-,-
12,Other Intangible Assets,321.63,318.68,318.17,320.93,305.51,308.07,310.28,312.71,301.19,302.94,305.11,306.31,288.96,290.61,-,292.8,-,-,-
13,Long-Term Deferred Tax Assets,89.9,100.14,108.18,111.71,122.69,127.51,135.01,130.18,44.91,44.95,45.03,45.08,44.38,44.47,-,44.51,-,-,-
14,Long-Term Deferred Charges,66.13,72.52,77.51,82.34,68.29,70.12,73.6,67.58,11.33,10.88,11.24,12.8,13.92,13.88,-,7.83,-,-,-
15,Other Long-Term Assets,1.34,8.77,0.02,11.91,0.07,33.5,29.67,31.29,331.02,494.73,518.83,546.96,246.09,247.82,-,247.29,-,-,-
16,Total Assets,21294,20984,20530,20403,21168,20413,20229,19987,19996,19998,19736,19528,19424,17564,-,16931,-,-,-
17,Accounts Payable,1694,1492,918.69,1010,1672,1112,970.42,883.86,895.53,1111,911.06,901.2,809.14,888.17,-,816.35,-,-,-
18,Accrued Expenses,83.61,125.81,88.27,130.39,92.96,158.71,88.97,130.88,79.7,109.18,69.45,112.67,66.18,88.06,-,115.39,-,-,-
19,Current Portion of Leases,128.99,133.94,140.09,128.42,123.33,120.96,115.61,111.85,100.87,98.01,94.37,89.07,100.01,93.32,-,-,-,-,-
20,Current Income Taxes Payable,27.87,23.45,24.37,1.23,60.23,29.01,22.87,-,76,44.4,46.51,18.86,29.13,9.16,-,73.46,-,-,-
21,Current Unearned Revenue,107.31,80.27,97.56,62.52,82.55,81.09,71.39,57.5,67.07,60.92,91.27,62.36,73.2,41.98,-,27.57,-,-,-
22,Other Current Liabilities,135.39,90.58,114.4,138.75,148.04,124.6,147.7,125.2,103.39,96.62,131.16,62.29,87.37,63.38,-,51.14,-,-,-
23,Total Current Liabilities,2177,1946,1383,1471,2179,1626,1417,1309,1323,1521,1344,1246,1165,1184,-,1084,-,-,-
24,Long-Term Leases,90.83,119.91,143.85,169.68,209.28,231.1,257.59,250.9,249.54,242.77,259.53,279.79,305.72,307.5,-,-,-,-,-
25,Long-Term Deferred Tax Liabilities,51.73,60.07,67.97,73.2,80.19,86.57,95.23,89.57,2.79,2.79,2.77,2.75,2.72,2.65,-,2.64,-,-,-
26,Other Long-Term Liabilities,5.42,5.42,5.42,5.42,9.57,9.57,9.57,5.42,15.11,15.11,15.11,15.11,10.98,10.98,-,10.98,-,-,-
27,Total Liabilities,2329,2136,1604,1723,2478,1953,1779,1659,1590,1781,1621,1544,1484,1505,-,1098,-,-,-
