,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3187,2174,2506,2284,3228,2053,2377,1823,2957,1939,2099,2066,2081,2003,2219,2605,2231,1661,1661
1,Other Revenue,-399.25,399.25,-,740.38,-415.61,415.61,-,647.46,-330.71,330.71,-,475.32,-184.81,184.81,-,300.08,-113.22,56.61,56.61
2,Revenue,2788,2574,2506,3024,2812,2469,2377,2470,2627,2270,2099,2541,1896,2188,2219,2905,2118,1718,1718
3,Revenue Growth (YoY),-0.86%,4.25%,5.43%,22.41%,7.06%,8.76%,13.25%,-2.78%,38.53%,3.76%,-5.43%,-12.52%,-10.47%,27.36%,29.20%,-,-,-,-
4,Cost of Revenue,2590,2294,2192,2906,2485,2203,2202,2530,2378,2022,1933,2427,1735,2067,2031,2794,1869,1589,1589
5,Gross Profit,198.18,279.7,313.64,117.7,326.88,265.25,174.83,-60.08,248.71,248.46,165.81,114.48,161.32,121.03,188.07,111.07,249.15,128.4,128.4
6,"Selling, General & Admin",49.86,49.47,44.09,82.8,46.77,46.34,41.83,72.06,44.27,42.4,35.32,64.94,37.66,33.89,33.44,58.45,30.97,28.21,28.21
7,Research & Development,0.38,0.87,0.27,1.93,0.08,-,1.04,-,-,-,-,-,-,-,-,-0.08,0.08,-,-
8,Other Operating Expenses,5.25,4.6,4.67,6.2,1.21,2.91,-7.23,5.92,0.27,1.39,2.68,7.07,1.6,2.52,1.94,9.1,-0.78,2.16,2.16
9,Operating Expenses,54.79,54.8,49.18,89.96,49.03,48.75,36.09,77.4,44.84,44.04,38.06,71.94,39.18,36.58,35.38,67.42,30.09,30.48,30.48
