,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,71,84,131,176,354,215,315,275,300,720,520
1,Market Cap Growth,-52.38%,-52.38%,-63.05%,-17.95%,12.38%,-21.82%,5.00%,-61.81%,-42.31%,26.32%,-
2,Enterprise Value,42,55,112,192,411,243,374,332,329,761,488
3,Last Close Price,0.06,0.07,0.11,0.15,0.29,0.21,0.32,0.28,0.30,0.72,0.52
4,PE Ratio,-,-,120.22,-,-759.66,-,-,66.86,-,-43.02,-
5,PS Ratio,0.25,0.29,0.45,0.48,0.90,1.15,-,1.65,-,2.16,1.71
6,PB Ratio,0.54,0.64,0.96,1.34,2.64,2.18,3.01,2.45,2.78,5.74,4.27
7,P/TBV Ratio,0.70,0.70,1.03,1.46,2.85,2.44,3.35,3.61,4.36,8.05,6.33
8,P/FCF Ratio,-,-11.94,-,37.38,435.42,-,-,148.81,-,-35.74,-
9,P/OCF Ratio,-,-16.47,-,30.30,233.82,-,-,91.06,-,-37.38,-
10,EV/Sales Ratio,0.15,0.19,0.38,0.53,1.04,1.30,-,2.00,-,2.28,1.60
11,EV/EBITDA Ratio,-,-,-,-,161.49,502.15,-,33.64,-,-361.32,-
12,EV/EBIT Ratio,-,-,-,-,1058.84,-,-,40.92,-,-64.26,-
13,EV/FCF Ratio,-5.99,-7.84,-,40.79,505.32,-,-,179.92,-,-37.75,-
14,Debt / Equity Ratio,0.35,0.35,0.31,0.32,0.51,0.78,0.35,0.74,0.80,0.74,0.80
15,Debt / FCF Ratio,-,-6.42,-,8.77,84.73,-,-,44.93,-,-4.62,-
16,Return on Capital Employed (ROCE),-,-,-,-,0.28%,-,-,6.69%,-,-9.00%,-
17,Earnings Yield,-2.78%,-2.34%,0.83%,1.00%,-0.13%,-2.29%,-,1.50%,-,-2.32%,-5.67%
18,FCF Yield,-9.94%,-8.38%,-4.48%,2.68%,0.23%,-0.75%,-,0.67%,-,-2.80%,-9.04%
19,Buyback Yield / Dilution,-7.64%,-,-16.55%,-20.00%,-,-,-,-,-,-20.21%,-20.76%
20,Total Shareholder Return,-7.64%,-,-16.55%,-20.00%,-,-,-,-,-,-20.21%,-20.76%
