,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,57.23,51.62,33.12,45.58,20.21,9.42,23.72,28.44,63.82,56.48
1,Trading Asset Securities,16.58,20.19,27.02,7.21,-,-,-,-,-,-
2,Cash & Short-Term Investments,73.81,71.8,60.14,52.8,20.21,9.42,23.72,28.44,63.82,56.48
3,Cash Growth,22.73%,36.00%,197.60%,460.76%,-14.81%,-66.89%,-62.84%,-49.65%,-36.31%,220.34%
4,Accounts Receivable,56.96,56.71,49.73,60.96,65.71,60.02,78.22,56.38,96.5,91.84
5,Other Receivables,0.29,0.36,-,-,-,28.98,-,0.39,1.03,0.49
6,Receivables,57.25,57.07,49.73,60.96,65.71,88.99,78.22,56.77,97.53,92.34
7,Inventory,22.09,27.97,19.66,27.85,13,15.81,35.4,52.31,40.4,42.77
8,Prepaid Expenses,9.11,4.06,19.63,6.62,40.99,3.32,26.11,9.15,35.42,7.2
9,Other Current Assets,14.4,22.31,12.63,55.04,51.61,64.6,48.8,65.49,53.29,52.98
10,Total Current Assets,176.65,183.21,161.78,203.26,191.52,182.14,212.24,212.15,290.46,251.77
11,"Property, Plant & Equipment",21.13,21.37,22.36,24.39,22.7,25.86,27.95,29.03,31.7,36.47
12,Long-Term Investments,7.11,7.11,34.36,8,25.91,-,-,-,-,-
13,Goodwill,-,8.91,-,8.91,-,8.91,-,14.88,-,14.47
14,Other Intangible Assets,9.61,0.89,10.01,1.32,10.48,1.76,36.08,24.16,35.91,25.31
15,Long-Term Deferred Tax Assets,3.66,3.07,2.23,2.33,3.01,1.82,6.87,6.39,3.59,3.72
16,Other Long-Term Assets,28.76,28.35,1.4,27.67,1.4,8.4,8.4,8.4,8.4,8.4
17,Total Assets,246.92,252.91,232.14,275.88,255.02,228.88,291.53,295.02,370.06,340.14
18,Accounts Payable,56.16,60.82,38.55,48.06,67.77,75.96,59.8,67.1,101.21,79.34
19,Accrued Expenses,-,9.26,-,16.89,-,10.31,4.93,20.4,8.69,25.73
20,Short-Term Debt,40.79,37.28,37.38,63.74,74.27,32.37,76.62,78.96,84.62,84.93
21,Current Portion of Leases,2.56,2.64,1.7,1.96,2.1,3.38,4.49,4.31,6.88,7.13
22,Current Income Taxes Payable,-,-,0.12,2.02,1.37,0.74,0.6,1.6,5.35,6.96
23,Current Unearned Revenue,5.76,3.4,4.25,5.8,0.38,0.19,9.89,3.67,3.78,1.96
24,Other Current Liabilities,9.42,-,16.67,-,9.9,-,13.71,-,27.94,-
25,Total Current Liabilities,114.7,113.4,98.67,138.46,155.78,122.95,170.05,176.03,238.48,206.04
26,Long-Term Leases,1.81,3.03,2.31,3.18,0.67,1.21,1.93,2.66,1.61,5
27,Other Long-Term Liabilities,-,-,-,-,-,-,7.38,8.42,4.62,7.19
28,Total Liabilities,116.51,116.43,100.98,141.64,156.45,124.15,179.35,187.12,244.72,218.23
29,Common Stock,12,12,12,12,10,10,10,10,10,10
30,Additional Paid-In Capital,91.45,91.45,91.45,91.45,61.93,61.93,61.93,61.93,61.93,61.93
31,Retained Earnings,65.34,71.09,67.3,70,65.54,70.47,77.59,73.48,91.39,87.95
32,Comprehensive Income & Other,-38.37,-38.06,-39.58,-39.22,-38.9,-37.67,-37.34,-37.5,-37.98,-37.97
33,Shareholders' Equity,130.41,136.48,131.17,134.23,98.57,104.73,112.18,107.9,125.34,121.91
34,Total Liabilities & Equity,246.92,252.91,232.14,275.88,255.02,228.88,291.53,295.02,370.06,340.14
35,Total Debt,45.16,42.95,41.39,68.88,77.04,36.95,83.04,85.93,93.12,97.06
36,Net Cash (Debt),28.64,28.85,18.75,-16.09,-56.83,-27.54,-59.32,-57.49,-29.29,-40.58
37,Net Cash Growth,52.80%,-,-,-,-,-,-,-,-,-
38,Net Cash Per Share,0.02,0.02,0.02,-0.02,-0.06,-,-0.06,-,-0.03,-0.04
39,Filing Date Shares Outstanding,1200,1200,1200,1200,1000,1000,1000,1000,1000,1000
40,Total Common Shares Outstanding,1200,1200,1200,1200,1000,1000,1000,1000,1000,1000
41,Working Capital,61.95,69.81,63.11,64.8,35.74,59.19,42.19,36.12,51.97,45.73
42,Book Value Per Share,0.11,0.11,0.11,0.11,0.10,0.10,0.11,0.11,0.13,0.12
43,Tangible Book Value,120.8,126.68,121.16,124.01,88.09,94.07,76.11,68.86,89.44,82.13
44,Tangible Book Value Per Share,0.10,0.11,0.10,0.10,0.09,0.09,0.08,0.07,0.09,0.08
45,Land,-,28.36,-,30.62,-,32.4,-,32.4,-,32.4
46,Machinery,-,26.98,-,32.82,-,36.29,-,36.27,-,45.36
47,Leasehold Improvements,-,5.79,-,5.76,-,11.32,-,10.18,-,9.81
