,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,658.57,610.72,600.2,569.09,553.18,611.11,508.76,444.5,330.87
1,Revenue Growth (YoY),9.72%,7.31%,8.50%,-6.88%,8.73%,37.48%,53.76%,-,-
2,Cost of Revenue,477.7,475.3,430.96,447.27,414.11,446.58,337.92,289.83,218.03
3,Gross Profit,180.87,135.42,169.24,121.82,139.07,164.52,170.84,154.67,112.85
4,"Selling, General & Admin",94.02,99.9,93.02,87.77,96.26,122.8,81.95,67.69,67.02
5,Operating Expenses,130.99,115.65,120.98,109.09,115.89,228.36,89.52,77.93,67.02
6,Operating Income,49.88,19.77,48.27,12.73,23.18,-63.84,81.32,76.74,45.83
7,Interest Expense,-0.08,-,-0.17,-,-1.07,-0.44,-0.02,-0.02,-0.22
8,Interest & Investment Income,3.78,3.74,2.66,3.05,1.69,1.98,2.54,0.84,5.02
9,Earnings From Equity Investments,-0.38,-0.44,-0.41,-0.44,0.04,-0.23,-0.3,-0.91,0.27
10,Other Non Operating Income (Expenses),6.16,9.23,4.24,5.5,8.29,7.07,8.58,10.28,7.15
11,EBT Excluding Unusual Items,59.36,32.3,54.6,20.84,32.13,-55.45,92.13,86.92,58.05
12,Impairment of Goodwill,-,-1.86,-,-,-,-,-,-,-
13,Gain (Loss) on Sale of Investments,1.33,1.42,1.2,0.91,1.03,1.74,1.03,1.48,1.96
14,Gain (Loss) on Sale of Assets,-0.02,-0.08,-0.57,0.11,0,0.02,-,-,-0.17
15,Asset Writedown,0.31,-0.26,0.05,0.67,0.02,0.16,0.07,0.11,0.13
16,Other Unusual Items,-,1.79,-,7.18,-,-0.42,-,-13.13,-13.67
17,Pretax Income,60.98,33.32,55.29,29.71,33.19,-53.94,93.23,75.38,46.29
18,Income Tax Expense,13.65,7.6,10.86,4.31,8.04,-15.8,21.48,9.98,12.09
19,Earnings From Continuing Operations,47.33,25.72,44.43,25.4,25.15,-38.14,71.75,65.4,34.2
20,Minority Interest in Earnings,-10.05,-5.57,-7.45,-4.77,-4.44,8.37,-6.52,-5.31,-1.72
21,Net Income,37.28,20.15,36.98,20.63,20.71,-29.77,65.24,60.09,32.49
22,Net Income to Common,37.28,20.15,36.98,20.63,20.71,-29.77,65.24,60.09,32.49
23,Net Income Growth,0.83%,-2.32%,78.56%,-,-68.26%,-,100.80%,-,-
24,Shares Outstanding (Basic),1031,958,985,984,995,992,1000,847,750
25,Shares Outstanding (Diluted),1031,958,985,984,995,992,1000,847,750
26,Shares Change (YoY),4.71%,-2.65%,-1.02%,-0.85%,-0.49%,17.18%,33.29%,-,-
27,EPS (Basic),0.04,0.02,0.04,0.02,0.02,-0.03,0.07,0.07,0.04
28,EPS (Diluted),0.04,0.02,0.04,0.02,0.02,-0.03,0.07,0.07,0.04
29,EPS Growth,-3.70%,0.34%,80.40%,-,-68.10%,-,50.65%,-,-
30,Free Cash Flow,-31.13,92.73,-5.74,44.34,-64.14,-4.13,-0.86,95.12,-12.14
31,Free Cash Flow Per Share,-0.03,0.10,-0.01,0.05,-0.06,-0.00,-0.00,0.11,-0.02
32,Operating Margin,7.57%,3.24%,8.04%,2.24%,4.19%,-10.45%,15.98%,17.26%,13.85%
33,Profit Margin,5.66%,3.30%,6.16%,3.63%,3.74%,-4.87%,12.82%,13.52%,9.82%
34,Free Cash Flow Margin,-4.73%,15.18%,-0.96%,7.79%,-11.59%,-0.68%,-0.17%,21.40%,-3.67%
35,EBITDA,55.69,23.51,53.13,16.3,27.52,-59.47,84.2,77.53,47.66
36,D&A For EBITDA,5.81,3.74,4.86,3.57,4.34,4.37,2.88,0.8,1.83
37,EBIT,49.88,19.77,48.27,12.73,23.18,-63.84,81.32,76.74,45.83
