,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,330.88,509.83,360.21,396.07,510.5,495.83,548.47,734.04,-
1,Short-Term Investments,13.3,39.37,30.3,34.81,35.53,34.9,21.1,19.42,-
2,Trading Asset Securities,405.91,56.07,143.46,107.62,8.37,97.59,83.39,89.1,-
3,Cash & Short-Term Investments,750.09,605.27,533.96,538.5,554.39,628.31,652.96,842.55,-
4,Cash Growth,40.48%,12.40%,-3.69%,-14.29%,-15.10%,-25.43%,-,-,-
5,Accounts Receivable,507.16,441.46,478.82,434.94,429.11,365.97,413.24,287.14,-
6,Other Receivables,40.5,42.37,35.35,33.93,15.95,22.25,21.99,15.48,-
7,Receivables,547.66,483.82,514.16,468.87,445.06,388.22,435.23,302.62,-
8,Inventory,1.84,1.61,0.81,0.81,0.84,0.81,0.8,0.8,-
9,Prepaid Expenses,31.19,-,-,-,-,-,-,-,-
10,Restricted Cash,13.19,24.61,22.21,24.28,28.06,21.87,22.93,2.45,-
11,Other Current Assets,47.24,51.08,38.89,37.36,37.86,30.24,16.7,13.75,-
12,Total Current Assets,1391,1166,1110,1070,1066,1069,1129,1162,-
13,"Property, Plant & Equipment",29.32,18.78,14.93,14.95,12.63,11.62,9.34,7.81,-
14,Long-Term Investments,7.71,8.74,8.09,8.81,5.66,5.54,9.56,9.55,-
15,Goodwill,179.84,179.84,181.7,181.7,181.7,181.7,186.51,-,-
16,Other Intangible Assets,33.32,36.22,37.44,39.66,41.68,40.51,41.96,7.02,-
17,Long-Term Deferred Tax Assets,52.15,44.73,44.28,38.81,37.86,34.2,14.34,12.57,-
18,Other Long-Term Assets,23.05,17.24,15.61,15.56,14.89,14.87,14.71,14.64,-
19,Total Assets,1717,1472,1412,1369,1361,1358,1405,1214,-
20,Accounts Payable,164.24,156.45,143.45,143.89,129.36,118.8,119.39,92.75,-
21,Accrued Expenses,64.04,78.23,56.71,69.25,53.6,62.11,51.66,46.34,-
22,Short-Term Debt,-,-,-,-,0.14,20.51,22.08,-,-
23,Current Portion of Leases,0.07,-,-,-,-,-,-,-,-
24,Current Income Taxes Payable,12.62,11.11,10.86,7.05,7,16.96,17.51,4.3,-
25,Current Unearned Revenue,292.14,302.98,270.56,279.65,243.71,274.86,259.96,278.33,-
26,Other Current Liabilities,450.1,200.46,230.32,166.86,234.54,148.57,177.03,117.62,-
27,Total Current Liabilities,983.2,749.22,711.89,666.69,668.35,641.81,647.63,539.34,-
28,Long-Term Leases,0.87,-,-,-,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,9.39,8.85,7.12,7.56,8.42,8.84,10.05,1,-
30,Other Long-Term Liabilities,-,-,-,20.66,34.31,33.7,32.08,-,-
31,Total Liabilities,993.46,758.07,719.01,694.9,711.07,684.35,689.76,540.34,-
32,Common Stock,0,0,0,0,0,0,0,0,-
33,Additional Paid-In Capital,433.65,471.49,471.49,498.29,589.13,589.13,589.13,589.13,-
34,Retained Earnings,302.54,265.26,245.11,208.13,96.66,133.6,163.37,131.33,-
35,Comprehensive Income & Other,-78.63,-79.26,-75.33,-77.14,-76.45,-85.26,-78.85,-67.6,-
36,Total Common Equity,657.57,657.49,641.26,629.28,609.34,637.48,673.66,652.86,-
37,Minority Interest,65.55,56.38,51.8,45.13,40.2,36.04,41.63,20.56,-
38,Shareholders' Equity,723.11,713.87,693.07,674.41,649.54,673.52,715.28,673.42,-
39,Total Liabilities & Equity,1717,1472,1412,1369,1361,1358,1405,1214,-
40,Total Debt,0.94,-,-,-,0.14,20.51,22.08,-,-
41,Net Cash (Debt),749.16,605.27,533.96,538.5,554.26,607.8,630.88,842.55,-
42,Net Cash Growth,40.30%,12.40%,-3.66%,-11.40%,-12.15%,-27.86%,-,-,-
43,Net Cash Per Share,0.73,0.63,0.54,0.55,0.56,0.61,0.63,0.99,-
44,Filing Date Shares Outstanding,1264,1000,1000,1000,1000,1000,1000,1000,750
45,Total Common Shares Outstanding,1264,1000,1000,1000,1000,1000,1000,1000,750
46,Working Capital,408,417.17,398.14,403.14,397.86,427.64,480.99,622.82,-
47,Book Value Per Share,0.52,0.66,0.64,0.63,0.61,0.64,0.67,0.65,-
48,Tangible Book Value,444.42,441.43,422.12,407.92,385.97,415.28,445.18,645.84,-
49,Tangible Book Value Per Share,0.35,0.44,0.42,0.41,0.39,0.42,0.45,0.65,-
50,Buildings,-,2.49,-,-,-,-,-,-,-
51,Machinery,-,29.6,-,25.28,-,21.43,-,16.03,-
52,Construction In Progress,-,3.95,-,4.13,-,1.63,-,-,-
