,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,379,392,219,560,560,840,1300,990,1060,-
1,Market Cap Growth,-30.03%,-30.03%,-60.89%,-33.33%,-56.92%,-15.15%,22.64%,-,-,-
2,Enterprise Value,-355,-213,-302,2,-42,138,591,17,812,-
3,Last Close Price,0.30,0.31,0.20,0.51,0.48,0.72,1.03,0.79,0.81,-
4,PE Ratio,4.83,6.35,3.48,9.00,11.98,-79.13,-,6.57,9.64,-
5,PS Ratio,0.22,0.29,0.16,0.44,0.44,0.62,0.95,0.86,1.15,-
6,PB Ratio,0.54,0.50,0.28,0.75,0.73,1.10,1.57,1.15,1.33,-
7,P/TBV Ratio,0.82,0.82,0.45,1.23,1.21,1.86,2.55,1.85,1.38,-
8,P/FCF Ratio,5.73,-,2.28,-,-25.02,-,-,-,10.76,-
9,P/OCF Ratio,5.11,-,2.13,-,-39.92,-,856.16,8.42,10.39,-
10,EV/Sales Ratio,-,-,-,0.00,-,0.10,0.43,0.01,0.88,-
11,EV/EBITDA Ratio,-,-,-,0.03,-,-3.69,-,0.09,5.46,-
12,EV/EBIT Ratio,-,-,-,0.03,-,-2.90,-,0.09,5.58,-
13,EV/FCF Ratio,-5.37,-,-,-,-,-,-,-,8.24,-
14,Debt / Equity Ratio,0.00,0.00,-,-,-,0.00,0.03,0.03,-,-
15,Return on Capital Employed (ROCE),9.50%,9.50%,9.41%,8.71%,5.11%,-5.87%,-,20.87%,18.17%,-
16,Earnings Yield,16.27%,15.75%,28.74%,11.12%,8.35%,-1.26%,3.35%,15.23%,10.37%,-
17,FCF Yield,17.46%,16.89%,43.76%,7.45%,-4.00%,-9.52%,-0.47%,11.45%,9.30%,-
18,Buyback Yield / Dilution,-1.03%,-4.71%,2.65%,1.02%,0.85%,0.49%,-17.18%,-33.29%,-,-
19,Total Shareholder Return,9.97%,-4.71%,2.65%,1.02%,0.85%,0.49%,-17.18%,-33.29%,-,-
