,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,54587,59747,54111,51719,58332,51881,41232,40074,31543,34839,Upgrade
1,Revenue Growth (YoY),0.88%,15.52%,-7.24%,-0.31%,41.47%,29.46%,30.72%,15.03%,-10.75%,1.96%,Upgrade
2,"Selling, General & Admin",2580,2707,2608,2965,2476,2657,2190,2354,1827,2257,Upgrade
3,Other Operating Expenses,48122,52566,46954,42857,51438,44867,34190,33344,25941,29172,Upgrade
4,Total Operating Expenses,50702,55273,49562,45822,53914,47524,36380,35698,27768,31429,Upgrade
5,Operating Income,3885,4474,4549,5897,4418,4357,4852,4376,3775,3410,Upgrade
6,Interest Expense,-399,-390,-339,-302,-352,-248,-280,-259,-302,-352,Upgrade
7,Interest Income,212,106,160,115,208,174,229,156,122,204,Upgrade
8,Net Interest Expense,-187,-284,-179,-187,-144,-74,-51,-103,-180,-148,Upgrade
9,Income (Loss) on Equity Investments,423,267,211,82,-57,232,467,350,432,441,Upgrade
10,Currency Exchange Gain (Loss),-53,26,-267,-542,-490,150,39,742,-134,-212,Upgrade
11,Other Non-Operating Income (Expenses),16,541,794,-706,1118,927,546,280,319,398,Upgrade
12,EBT Excluding Unusual Items,4084,5024,5108,4544,4845,5592,5853,5645,4212,3889,Upgrade
13,Impairment of Goodwill,-,-16,-,-,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Investments,-11,-16,23,-53,-16,-6,-22,-36,-5,4,Upgrade
15,Gain (Loss) on Sale of Assets,-8,-148,-11,-108,-9,68,-49,-87,-85,-54,Upgrade
16,Asset Writedown,-120,-121,-65,-134,-17,-43,-,-29,-48,-1,Upgrade
17,Other Unusual Items,35,227,-,-,-,1,-1,-9,-,-,Upgrade
18,Pretax Income,3980,4950,5055,4249,4803,5612,5781,5484,4074,3838,Upgrade
19,Income Tax Expense,978,1002,1271,1085,1301,1047,1351,1318,909,922,Upgrade
20,Earnings From Continuing Ops.,3002,3948,3784,3164,3502,4565,4430,4166,3165,2916,Upgrade
21,Minority Interest in Earnings,-429,-465,-451,-402,-397,-575,-665,-581,-472,-608,Upgrade
22,Net Income,2573,3483,3333,2762,3105,3990,3765,3585,2693,2308,Upgrade
23,Net Income to Common,2573,3483,3333,2762,3105,3990,3765,3585,2693,2308,Upgrade
24,Net Income Growth,-22.80%,26.10%,7.34%,-30.78%,-17.53%,11.30%,39.81%,55.33%,-19.90%,122.78%,Upgrade
25,Shares Outstanding (Basic),1123,1127,1128,1128,1127,1125,1129,1124,1123,1123,Upgrade
26,Shares Outstanding (Diluted),1123,1127,1131,1131,1130,1129,1133,1127,1125,1125,Upgrade
27,Shares Change (YoY),-0.68%,-0.33%,0.05%,0.15%,-0.21%,0.16%,0.66%,0.17%,-0.06%,0.66%,Upgrade
28,EPS (Basic),2.29,3.09,2.95,2.45,2.75,3.55,3.34,3.19,2.40,2.06,Upgrade
29,EPS (Diluted),2.29,3.09,2.95,2.44,2.75,3.54,3.32,3.18,2.39,2.05,Upgrade
30,EPS Growth,-22.37%,26.64%,7.27%,-31.08%,-17.17%,11.35%,38.91%,55.12%,-20.07%,120.59%,Upgrade
31,Free Cash Flow,961,2169,948,3187,674,2267,1946,3205,976,2939,Upgrade
32,Free Cash Flow Per Share,0.86,1.92,0.84,2.82,0.60,2.01,1.72,2.84,0.87,2.61,Upgrade
33,Dividend Per Share,0.590,2.096,0.590,2.050,0.550,1.720,0.490,-,-,-,Upgrade
34,Dividend Growth,0%,2.25%,7.27%,19.19%,12.24%,-,-,-,-,-,Upgrade
35,Profit Margin,4.71%,5.83%,6.16%,5.34%,5.32%,7.69%,9.13%,8.95%,8.54%,6.62%,Upgrade
36,Free Cash Flow Margin,1.76%,3.63%,1.75%,6.16%,1.16%,4.37%,4.72%,8.00%,3.09%,8.44%,Upgrade
37,EBITDA,5272,5675,5882,7103,5600,5425,5866,5320,4714,4259,Upgrade
38,D&A For EBITDA,1387,1201,1333,1206,1182,1068,1014,944,939,849,Upgrade
39,EBIT,3885,4474,4549,5897,4418,4357,4852,4376,3775,3410,Upgrade
