,Fiscal Quarter,Q4 2024,Q1 2025,Q4 2023,Q1 2024,Q3 2020,Q1 2020,Q3 2019,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019"
0,Revenue,39269,5356,96631,47615,88311,47547,55982,35969
1,Revenue Growth (YoY),-55.53%,-88.73%,72.61%,32.38%,-,-,-,-
2,Cost of Revenue,32258,3363,82850,43097,76379,40222,45397,31969
3,Gross Profit,7012,1994,13782,4518,11932,7325,10585,4000
4,"Selling, General & Admin",1481,2083,6495,1258,9126,10637,8495,10054
5,Operating Expenses,1481,2083,6495,1258,9126,10637,8495,10054
6,Operating Income,5530,-89.63,7287,3260,2806,-3313,2091,-6054
7,Interest Expense,-575.61,-592.03,-3293,-1466,-645.19,-1123,-1092,-809.85
8,Interest & Investment Income,21.82,2.08,68.19,48.16,2.25,19.2,1.74,33.29
9,Other Non Operating Income (Expenses),-1224,-1419,-2228,-22.24,-147.9,-37.91,40.68,-64.96
10,Pretax Income,3753,-2099,1834,1820,2015,-4455,1041,-6896
11,Income Tax Expense,284.7,-,302.09,-,-,-,-,-
12,Net Income,3468,-2099,1532,1820,2015,-4455,1041,-6896
13,Net Income to Common,3468,-2099,1532,1820,2015,-4455,1041,-6896
14,Net Income Growth,72.09%,-,47.11%,-,-,-,-,-
15,Shares Outstanding (Basic),5,5,5,5,5,5,5,5
16,Shares Outstanding (Diluted),5,5,5,5,5,5,5,5
17,Shares Change (YoY),0.16%,0.01%,-0.07%,-0.08%,-,-,-,-
18,EPS (Basic),634.00,-384.00,280.34,333.00,369.00,-815.00,190.42,-1261.00
19,EPS (Diluted),634.00,-384.00,280.34,333.00,369.00,-815.00,190.42,-1261.00
20,EPS Growth,71.82%,-,47.22%,-,-,-,-,-
21,Free Cash Flow,6915,-,-2536,-,-,19209,-,4449
22,Free Cash Flow Per Share,1264.14,-,-464.11,-,-,3514.50,-,813.65
23,Gross Margin,17.85%,37.22%,14.26%,9.49%,13.51%,15.40%,18.91%,11.12%
24,Operating Margin,14.08%,-1.67%,7.54%,6.85%,3.18%,-6.97%,3.73%,-16.83%
25,Profit Margin,8.83%,-39.19%,1.59%,3.82%,2.28%,-9.37%,1.86%,-19.17%
26,Free Cash Flow Margin,17.61%,-,-2.62%,-,-,40.40%,-,12.37%
27,EBIT,5530,-89.63,7287,3260,2806,-3313,2091,-6054
28,EBIT Margin,14.08%,-1.67%,7.54%,6.85%,3.18%,-6.97%,3.73%,-16.83%
29,Effective Tax Rate,7.59%,-,16.47%,-,-,-,-,-
30,Revenue as Reported,39269,5356,96631,47615,88311,47547,55982,35969
