,Fiscal Quarter,Current,Q4 2024,Q1 2025,Q4 2023,Q1 2024,Q3 2020,Q1 2020,Q3 2019,Q1 2019
,Period Ending,"Feb '25 Feb 27, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019"
0,Market Capitalization,32258,31164,29524,31164,34992,38819,84745,168397,150901
1,Market Cap Growth,-,-19.72%,-65.16%,-81.49%,-76.81%,-,-,-,-
2,Enterprise Value,56453,66808,41374,43014,46841,106223,-,-,-
3,Last Close Price,5900.00,5700.00,5400.00,5700.00,6400.00,7100.00,13676.47,26299.81,23567.36
4,PE Ratio,21.06,6.60,-,34.17,83.02,-4.68,-,-28.76,-
5,PS Ratio,0.33,0.17,0.12,0.11,0.15,0.17,0.61,1.83,4.20
6,PB Ratio,0.46,0.45,-,0.46,-,0.61,1.23,-,-
7,P/TBV Ratio,0.47,0.47,-,0.48,-,0.66,1.31,-,-
8,P/FCF Ratio,1.12,7.12,-,-,-,-,3.58,-,33.92
9,P/OCF Ratio,1.08,7.12,-,-,-,-,3.31,-,24.62
10,EV/Sales Ratio,0.58,0.35,0.17,0.15,0.20,0.47,-,-,-
11,EV/EBIT Ratio,7.75,4.18,-,4.28,9.67,-23.76,-,-,-
12,EV/FCF Ratio,1.96,15.26,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.42,0.42,-,0.95,-,0.37,1.02,-,-
14,Debt / FCF Ratio,1.03,6.76,-,-,-,-,2.98,-,-
15,Quick Ratio,1.55,1.55,-,0.85,-,0.48,0.58,-,-
16,Current Ratio,2.02,2.02,-,1.39,-,1.19,1.33,-,-
17,Return on Capital Employed (ROCE),9.12%,20.00%,-,12.31%,-,-7.06%,-,-,-
18,Earnings Yield,4.75%,15.15%,11.07%,2.93%,1.20%,-21.36%,-12.16%,-3.48%,-4.57%
19,FCF Yield,89.09%,14.05%,-,53.50%,-,-,27.92%,-,2.95%
20,Buyback Yield / Dilution,-0.16%,-0.01%,0.07%,0.08%,-,-,-,-,
21,Total Shareholder Return,-0.16%,-0.01%,0.07%,0.08%,-,-,-,-,
