,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,14.47,-,-,12.98,2.96,-,-,6.57,3.76
1,Cost of Revenue,0.35,-,-,0.2,0.79,-,-,1.76,0.84
2,Gross Profit,14.12,-,-,12.78,2.17,-,-,4.82,2.92
3,"Selling, General & Admin",38.55,52.59,72.64,70.16,147.11,161.42,144.54,147.78,93.66
4,Research & Development,100.41,269.62,215.38,288.74,295.14,341.19,271.53,348.78,347.8
5,Other Operating Expenses,-4.01,7.14,-1.64,3.6,-4.58,-12.62,-21.86,-61.78,89.86
6,Operating Expenses,134.95,329.35,286.38,362.5,437.67,489.99,394.21,434.78,531.32
7,Operating Income,-120.83,-329.35,-286.38,-349.72,-435.5,-489.99,-394.21,-429.96,-528.4
8,Interest Expense,-8.98,-0.23,-0.66,-1.13,-1.73,-,-19.73,-,-9.06
9,Interest & Investment Income,11.49,9.38,20.29,0.14,27.97,33.65,7.45,6.62,0.62
10,Currency Exchange Gain (Loss),-,5.07,-,25.2,-,-28.32,-,-131.34,-
11,Other Non Operating Income (Expenses),-,-0.15,-,-0.16,-,-0.25,-,-0.12,-
12,EBT Excluding Unusual Items,-118.31,-315.27,-266.76,-325.67,-409.25,-484.9,-406.49,-554.81,-536.84
13,Gain (Loss) on Sale of Assets,-,-16.96,-,-2.46,-,-0.21,-,-0.51,-0.04
14,Asset Writedown,-9.28,-69.89,-9.4,-,-,-,-,-,-
15,Other Unusual Items,0.03,0.78,-,4.95,-,25.3,-,-1944,-0.4
16,Pretax Income,-127.57,-401.34,-276.16,-323.17,-409.25,-459.81,-406.49,-2499,-537.28
17,Income Tax Expense,-1.28,-1.16,-1.12,0.61,-2.63,3.02,-3.95,-3.12,-2.69
18,Earnings From Continuing Operations,-126.29,-400.17,-275.04,-323.78,-406.62,-462.83,-402.54,-2496,-534.59
19,Minority Interest in Earnings,0.59,0.36,0.49,-0.81,0.99,-1.5,1.65,2.2,1.2
20,Net Income,-125.7,-399.81,-274.55,-324.58,-405.63,-464.33,-400.89,-2494,-533.39
21,Net Income to Common,-125.7,-399.81,-274.55,-324.58,-405.63,-464.33,-400.89,-2494,-533.39
22,Shares Outstanding (Basic),510,507,506,509,499,499,491,253,237
23,Shares Outstanding (Diluted),510,507,506,509,500,501,491,253,237
24,Shares Change (YoY),0.78%,-0.52%,1.10%,1.67%,1.80%,97.94%,107.63%,-,-
25,EPS (Basic),-0.25,-0.79,-0.54,-0.64,-0.81,-0.93,-0.82,-9.85,-2.25
26,EPS (Diluted),-0.25,-0.79,-0.54,-0.64,-0.82,-0.95,-0.82,-9.85,-2.25
27,Free Cash Flow,-147.8,-193.68,-232.48,-264.98,-321.67,-336.95,-333.26,-380.68,-434.35
28,Free Cash Flow Per Share,-0.29,-0.38,-0.46,-0.52,-0.64,-0.67,-0.68,-1.50,-1.84
29,Operating Margin,-835.00%,-,-,-2695.11%,-14732.71%,-,-,-6540.37%,-14064.31%
30,Profit Margin,-868.66%,-,-,-2501.41%,-13722.29%,-,-,-37933.02%,-14197.10%
31,Free Cash Flow Margin,-1021.42%,-,-,-2042.05%,-10881.97%,-,-,-5790.72%,-11561.09%
32,EBITDA,-111.57,-287.91,-262.53,-333.57,-414.98,-468.86,-371.33,-416.33,-505.59
33,D&A For EBITDA,9.26,41.43,23.85,16.14,20.52,21.13,22.88,13.64,22.81
34,EBIT,-120.83,-329.35,-286.38,-349.72,-435.5,-489.99,-394.21,-429.96,-528.4
