,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1085,582,599,955,1327,2154,3553,9245,9821,-
1,Market Cap Growth,-39.06%,-39.06%,-54.84%,-55.68%,-62.64%,-76.70%,-63.82%,-,-,-
2,Enterprise Value,-13,-692,-834,-806,-783,-473,492,5806,9656,-
3,Last Close Price,2.10,1.14,1.19,1.90,2.66,4.28,7.10,18.80,20.00,-
4,PS Ratio,68.64,37.41,-,-,73.70,622.06,-,-,800.44,-
5,PB Ratio,0.94,0.51,0.46,0.56,0.65,0.87,1.16,2.63,2.55,-
6,P/TBV Ratio,0.57,0.57,0.50,0.62,0.72,0.94,1.25,2.79,2.69,-
7,EV/Sales Ratio,-,-,-,-,-,-,-,-,787.00,-
8,Debt / Equity Ratio,0.00,0.00,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.28
9,Earnings Yield,-52.05%,-97.07%,-123.94%,-67.82%,-62.19%,-47.31%,-29.89%,-37.66%,-36.61%,-
10,FCF Yield,-33.82%,-63.07%,-78.32%,-56.31%,-49.96%,-35.82%,-23.15%,-9.29%,-9.86%,-
11,Buyback Yield / Dilution,-0.13%,-0.78%,0.52%,-1.10%,-1.67%,-1.80%,-97.94%,-107.63%,-,-
12,Total Shareholder Return,-0.13%,-0.78%,0.52%,-1.10%,-1.67%,-1.80%,-97.94%,-107.63%,-,-
