,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1027,1165,1362,1589,1858,2201,2579,2930,-
1,Cash & Short-Term Investments,1027,1165,1362,1589,1858,2201,2579,2930,196.84
2,Cash Growth,-24.63%,-26.64%,-26.70%,-27.81%,-27.95%,-24.89%,1210.30%,-,-
3,Other Receivables,58.79,68.63,68.31,82.7,90.98,132.53,112.9,136.44,-
4,Receivables,58.79,68.63,68.31,82.7,90.98,132.53,112.9,136.44,-
5,Inventory,5.5,5.67,33.64,47.4,46.5,49.65,43.68,31.47,-
6,Other Current Assets,1.34,1.34,1.34,1.34,1.34,3.76,3.76,3.76,-
7,Total Current Assets,1092,1241,1465,1720,1997,2387,2739,3101,-
8,"Property, Plant & Equipment",41.9,60.14,193.95,205.22,243.77,223.37,217.68,229.16,-
9,Goodwill,17.82,17.82,17.82,21.75,-,21.75,21.75,21.75,-
10,Other Intangible Assets,86.64,92.28,127.21,141.46,166.49,149.29,149.59,135.18,-
11,Long-Term Deferred Tax Assets,8.63,8.35,7.61,6.91,7.94,5.73,9.17,5.64,-
12,Other Long-Term Assets,27.14,27.17,22.65,19.6,12.54,76.12,136.44,80.3,-
13,Total Assets,1274,1447,1834,2115,2428,2863,3274,3573,-
14,Accounts Payable,138.74,152.21,127.89,156.77,95.1,153.48,104.54,108.75,-
15,Accrued Expenses,6.63,21.86,26.71,40.86,59.25,58.66,36.42,42.24,-
16,Short-Term Debt,-,-,-,-,-,29.7,-,-,-
17,Current Portion of Leases,1.11,3.23,9.87,6.76,14.78,7.6,14.86,15.05,-
18,Current Income Taxes Payable,1.65,1.84,2.27,2.24,2.78,3.51,1.54,2.35,-
19,Current Unearned Revenue,3.89,8.59,8.59,8.59,8.59,9.34,9.34,8.59,-
20,Other Current Liabilities,37.63,41.79,44.47,45.18,53.64,50.9,95.96,71.75,-
21,Total Current Liabilities,189.64,229.53,219.79,260.4,234.13,313.19,262.66,248.73,-
22,Long-Term Leases,2.04,3.92,23.69,21.82,40.03,20.11,17.38,16.01,-
23,Long-Term Unearned Revenue,8.18,10.57,12.14,13.98,15.83,18.15,20.94,22.66,-
24,Long-Term Deferred Tax Liabilities,10.59,11.6,12.02,12.44,12.86,13.28,13.7,14.13,-
25,Other Long-Term Liabilities,0.54,0.56,0.91,1.23,3.36,5,32.7,34.8,-
26,Total Liabilities,210.98,256.18,268.55,309.87,306.21,369.73,347.38,336.32,-
27,Common Stock,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-
28,Additional Paid-In Capital,9472,9398,9390,9376,9371,9291,9229,9188,-
29,Retained Earnings,-6916,-6790,-6391,-6116,-5791,-5386,-4921,-4521,-
30,Treasury Stock,-0.75,-5.2,-5.2,-5.2,-10.08,-5.2,-6.81,-6.81,-
31,Comprehensive Income & Other,-1493,-1414,-1430,-1452,-1450,-1410,-1375,-1426,-
32,Total Common Equity,1062,1189,1564,1802,2120,2490,2925,3234,139.86
33,Minority Interest,1.3,1.89,2.25,2.74,1.94,2.92,1.42,3.07,-
34,Shareholders' Equity,1063,1191,1566,1805,2122,2493,2927,3237,145.78
35,Total Liabilities & Equity,1274,1447,1834,2115,2428,2863,3274,3573,-
36,Total Debt,3.15,7.16,33.56,28.59,54.81,57.41,32.24,31.06,40.23
37,Net Cash (Debt),1023,1158,1328,1560,1803,2143,2547,2899,156.6
38,Net Cash Growth,-22.96%,-25.75%,-26.34%,-27.21%,-29.19%,-26.06%,1526.34%,-,-
39,Net Cash Per Share,2.01,2.29,2.63,3.06,3.60,4.28,5.18,11.45,0.66
40,Filing Date Shares Outstanding,509.68,504.07,505.75,501.93,497.73,495.84,491.73,489.03,192.86
41,Total Common Shares Outstanding,509.68,503.73,505.75,501.45,497.73,495.84,491.73,489.03,192.86
42,Working Capital,902.56,1012,1245,1460,1763,2073,2477,2853,-
43,Book Value Per Share,2.08,2.36,3.09,3.59,4.26,5.02,5.95,6.61,0.50
44,Tangible Book Value,957.59,1079,1419,1639,1953,2319,2754,3077,44.04
45,Tangible Book Value Per Share,1.88,2.14,2.81,3.27,3.92,4.68,5.60,6.29,0.16
46,Machinery,-,202.09,-,287.56,-,288.38,-,266.42,-
47,Construction In Progress,-,6.43,-,9.68,-,13.73,-,3.81,-
48,Leasehold Improvements,-,85.18,-,84.4,-,84.4,-,82.46,-
