,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,294073,297261,259217,268158,291393,249211,260127,275891,342516,318274,268571,250821,200631,220597,262442,262551,300565,244398,262534,358146,Upgrade
1,Revenue Growth (YoY),0.92%,19.28%,-0.35%,-2.80%,-14.93%,-21.70%,-3.14%,10.00%,70.72%,44.28%,2.34%,-4.47%,-33.25%,-9.74%,-0.04%,-26.69%,-18.50%,-37.04%,-33.18%,-2.33%,Upgrade
2,Cost of Revenue,230689,231902,196849,204022,209167,203849,227862,237919,258148,253853,242018,230040,167487,209330,223006,216446,225955,202130,229230,316145,Upgrade
3,Gross Profit,63384,65359,62368,64136,82226,45362,32265,37972,84368,64421,26553,20781,33145,11266,39435,46105,74610,42267,33305,42001,Upgrade
4,"Selling, General & Admin",32000,38676,24311,25108,29338,24755,21184,20703,27349,25162,18219,16666,15607,13816,19243,20594,26463,17987,16095,20251,Upgrade
5,Operating Expenses,32000,38676,24311,25108,29338,24755,21184,20703,27349,25162,18219,16666,15607,13816,19243,20594,26463,17987,16095,20251,Upgrade
6,Operating Income,31384,26683,38058,39028,52888,20607,11081,17269,57018,39259,8334,4115,17538,-2549,20192,25511,48146,24280,17210,21750,Upgrade
7,Interest Expense,-3627,-3905,-4193,-4651,-5379,-6123,-6778,-6464,-6704,-6931,-7140,-5305,-5549,-5793,-6100,-6471,-7040,-7577,-8255,-8909,Upgrade
8,Interest & Investment Income,8227,3861,5150,4162,6343,6904,9584,6862,5200,1685,4087,4287,3726,3563,2298,2857,2838,2518,1594,3224,Upgrade
9,Currency Exchange Gain (Loss),-2030,2616,-1727,-2096,502.75,-3188,-306.51,895.34,1475,-3434,-3121,-146.92,-591.25,2448,559.68,556.09,564.38,434.16,4298,-5406,Upgrade
10,Other Non Operating Income (Expenses),14025,-3683,-142.35,154.41,-4236,670.48,351.07,-184.21,-4587,378.79,1687,-47.19,5071,57.38,53.39,6.48,-103.66,208.2,135.54,118.68,Upgrade
11,EBT Excluding Unusual Items,47979,25572,37146,36598,50119,18870,13932,18378,52402,30957,3847,2903,20195,-2273,17003,22459,44405,19864,14982,10777,Upgrade
12,Gain (Loss) on Sale of Investments,-5935,-,-19.76,-775.3,-,-,-6000,29.43,5,-609.38,-11.5,417.7,-,-,-,-,-34.5,-,-,-,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,162.34,-,199.73,-,-,-,-,-,93288,-,-,13480,-,-,-,-,Upgrade
14,Pretax Income,42044,25572,37126,35822,53430,18870,8131,18408,57090,30347,3835,3320,113626,-2273,17003,35939,44883,19864,14982,10777,Upgrade
15,Income Tax Expense,9146,6152,8168,7716,12204,4330,2186,4519,11991,6524,1315,1415,23465,-174.34,4298,7399,9898,4297,4025,2324,Upgrade
16,Net Income,32898,19421,28958,28106,41226,14540,5945,13888,45099,23823,2520,1905,90161,-2099,12705,28540,34985,15567,10957,8453,Upgrade
17,Preferred Dividends & Other Adjustments,-,-,-,-,19210,-,-,-,18000,-,-,-,18000,-,-,-,18000,-,-,-,Upgrade
18,Net Income to Common,32898,19421,28958,28106,22017,14540,5945,13888,27099,23823,2520,1905,72161,-2099,12705,28540,16985,15567,10957,8453,Upgrade
