,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,890556,848377,788940,780236,740621,697519,628233,622673,530996,427807,446399,509533,566311,492655,454718,358339,348426,282609,282012,183029,Upgrade
1,Short-Term Investments,32,32,-,32,-,32,32,32,-,32,-,-,-,32,32,32,-,-,-,32,Upgrade
2,Cash & Short-Term Investments,890588,848409,788940,780268,740621,697551,628265,622705,530996,427839,446399,509533,566311,492687,454750,358371,348426,282609,282012,183061,Upgrade
3,Cash Growth,20.25%,21.63%,25.57%,25.30%,39.48%,63.04%,40.74%,22.21%,-6.24%,-13.16%,-1.84%,42.18%,62.53%,74.33%,61.25%,95.77%,31.57%,26.65%,119.76%,-15.53%,Upgrade
4,Accounts Receivable,66592,77394,50670,63239,82311,82765,68615,63976,91985,77804,102326,110978,48784,77886,29392,69506,43307,21121,37997,88290,Upgrade
5,Other Receivables,16844,15315,2368,15076,1457,15885,15104,15018,3142,36252,25344,17901,20077,19803,29970,20009,24530,7205,10758,9851,Upgrade
6,Receivables,83437,92709,53038,78315,83768,98650,83719,78994,95127,114055,127670,128879,68861,97689,59362,89515,67837,28326,48754,98142,Upgrade
7,Inventory,91784,91150,90008,88852,91849,91302,92162,97400,101481,109692,119613,98067,85234,95025,96315,94805,102447,90894,100067,109856,Upgrade
8,Prepaid Expenses,1355,1108,1097,1081,1043,1030,1092,74.82,1147,844.64,1075,1385,1591,279.9,371.98,983.66,494.73,994.46,493.87,1459,Upgrade
9,Other Current Assets,18580,22115,31989,14377,24827,14265,10658,10562,24979,34573,34096,51362,28826,29983,20665,31599,16596,17628,29913,30094,Upgrade
10,Total Current Assets,1085743,1055491,965074,962893,942109,902798,815896,809735,753730,687004,728854,789226,750822,715664,631465,575273,535800,420451,461241,422612,Upgrade
11,"Property, Plant & Equipment",486803,557684,590884,624097,657310,703063,759353,823182,888915,954669,1020503,909966,954282,1015420,1082298,1137823,1199037,1306493,1337291,1375679,Upgrade
12,Long-Term Investments,10741,10676,10676,10696,11471,11471,17471,17471,17442,17437,18046,18058,17640,17640,17640,17640,17640,17675,17675,17675,Upgrade
13,Other Intangible Assets,21508,21661,21814,21968,22121,22274,22427,22581,22734,22887,23040,23194,23347,23500,23653,23807,23960,24113,24266,24420,Upgrade
14,Long-Term Deferred Tax Assets,10752,10765,10765,10761,10606,10606,9406,9406,9412,9413,9291,9288,9372,9377,9383,9389,9396,10230,10236,10242,Upgrade
15,Other Long-Term Assets,265.5,265.5,265.5,265.5,233.5,233.5,233.5,233.5,233.5,323.82,414.14,594.77,592.77,235.06,235.06,235.06,234.56,11009,4431,5750,Upgrade
