,Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q1 2019,Q1 2018,Q1 2017,Q1 2016,Q4 2015,Q4 2014,Q4 2013,Q4 2012,Q4 2011
,Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018","Mar '17 Mar 31, 2017","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011"
0,Interest and Dividend Income,-,-,-,-,-,-,-,-,-,3038,-,-,-,15599,-,2299,12,216.11
1,Total Interest Expense,1329,1010,828.9,1879,9282,-,1428,2544,-,-,-,-,-,-,-,-,-,-
2,Net Interest Income,-1329,-1010,-828.9,-1879,-9282,-,-1428,-2544,-,3038,-,-,-,15599,-,2299,12,216.11
3,Brokerage Commission,2222,1349,1566,881.6,920.12,2279,5769,14753,21596,216.67,406.82,154.27,996.76,10123,415.76,228.97,45.08,332.96
4,Asset Management Fee,855,743.18,-50,50,1100,2500,2035,4615,-,-,-,-,-,-,-,-,-,-
5,Underwriting & Investment Banking Fee,3230,-,260,-,-,150,50,3120,-,-,-,56.95,29.39,-,-,-,-,-
6,Gain on Sale of Investments (Rev),55660,33345,130400,45422,1869,25752,12999,78996,2647,-,802.4,-,-,-,-,-,-,-
7,Other Revenue,7110,2526,3898,3826,-628.02,5406,7436,15366,34038,449.27,662.76,1094,613.73,1537,962.25,2142,1597,1596
8,Revenue,67749,36954,135245,48300,-6021,36086,26861,114307,58282,3704,1872,1305,1640,27259,1378,4670,1654,2145
9,Revenue Growth (YoY),-,2.40%,403.50%,-57.75%,-,874.18%,1334.91%,8658.54%,3454.01%,-86.41%,35.85%,-72.05%,-0.88%,1170.88%,-,-,-,-
10,Cost of Services Provided,6474,5082,4355,5577,1366,9473,7988,8239,6223,1467,1616,1509,1626,1689,-5858,1804,5401,35344
11,Other Operating Expenses,-,-,6284,-,-122.74,-,1368,-,-,-,-,-,-,-,-,-,-,-
12,Total Operating Expenses,6474,5082,10639,5577,1244,9473,9356,8239,6223,1467,1616,1509,1626,1689,-5858,1804,5401,35344
13,Operating Income,61275,31872,124607,42723,-7264,26613,17506,106068,52059,2237,255.94,-204.14,13.79,25570,7236,2866,-3746,-33199
14,Other Non-Operating Income (Expenses),116.19,-96.74,12.69,6231,6709,-10.8,-1206,1454,55.95,-,2.14,-,-,71.95,-,-,-274.16,-39.51
15,EBT Excluding Unusual Items,61391,31775,124619,48954,-554.89,26602,16299,107523,52115,2237,258.07,-204.14,13.79,25642,7236,2866,-4021,-33239
16,Gain (Loss) on Sale of Investments,-23189,-39811,-31014,-5066,-180731,-75606,-123003,-,-,-16.86,-247.1,-,-,-,-,-,-,-
17,Pretax Income,38202,-8036,93606,43888,-181286,-49003,-106704,107523,52115,2220,10.97,-204.14,13.79,25642,7236,2866,-4021,-33239
