,Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q1 2019,Q1 2018,Q1 2017,Q1 2016,Q4 2015,Q4 2014,Q4 2013,Q4 2012,Q4 2011
,Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018","Mar '17 Mar 31, 2017","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011"
0,Cash & Equivalents,122391,1687,6798,6761,177221,17710,-,-,-,5072,-,41160,-,46080,-,68820,27372,3031
1,Trading Asset Securities,480394,528445,513881,860422,329819,430918,-,-,-,230742,-,34104,-,-,-,-,-,-
2,Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,43927,-,43801,44170,56585
3,Other Receivables,172000,105854,127684,105278,106971,240161,-,-,-,62206,-,68934,-,1349,-,1251,1980,2075
4,"Property, Plant & Equipment",1779,1991,2161,2121,2319,2517,-,-,-,345.22,-,177.16,-,638.62,-,2035,3455,4699
5,Other Intangible Assets,3520,3701,3719,3891,4064,4086,-,-,-,-,-,134.78,-,481.29,-,1054,1315,1183
6,Investments in Debt & Equity Securities,1016430,1104330,1078180,471150,917150,343070,-,-,-,1083,-,1055,-,39713,-,13805,19805,29529
7,Other Current Assets,2746,1376,1182,140890,23234,782734,-,-,-,55184,-,476.79,-,20056,-,17027,553.54,1147
8,Long-Term Deferred Tax Assets,-,-,8661,37854,39248,44765,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Long-Term Assets,6124,6129,6129,5769,4383,4362,-,-,-,2057,-,1908,-,1806,-,1623,1520,2794
10,Total Assets,1805385,1753513,1748394,1634136,1604407,1870322,-,-,-,356689,-,147949,-,154052,-,149416,100169,101041
11,Accounts Payable,15429,369.33,111.4,-,307.04,68452,-,-,-,-,-,-,-,-,-,-,-,-
12,Accrued Expenses,2100,2179,3851,4668,4724,2276,-,-,-,74.64,-,158.05,-,177.01,-,96.1,214.89,192.45
13,Short-Term Debt,36310,36310,36310,36310,48810,63600,-,-,-,-,-,-,-,-,-,5799,-,841.55
14,Other Current Liabilities,1319,1052,51296,1038,1012,1283,-,-,-,968.77,-,11326,-,16366,-,-,350.1,924.55
15,Long-Term Deferred Tax Liabilities,6985,10160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Total Liabilities,63126,50868,92046,42201,54966,179007,-,-,-,3985,-,11756,-,17779,-,45294,799.27,2140
17,Common Stock,1536219,1536219,1463066,1463066,1463066,1463066,-,-,-,340289,-,135000,-,135289,-,135289,135289,135289
18,Retained Earnings,206159,166545,193401,128988,86494,228368,-,-,-,12415,-,903.83,-,983.97,-,-31167,-35920,-36387
19,Comprehensive Income & Other,-119.13,-119.13,-119.13,-119.13,-119.13,-119.13,-,-,-,-,-,-,-,-,-,-,-,-
20,Total Common Equity,1742260,1702645,1656348,1591935,1549441,1691315,-,-,-,352704,-,135904,136273,136273,-,104122,99369,98902
21,Shareholders' Equity,1742260,1702645,1656348,1591935,1549441,1691315,-,-,-,352704,-,136193,136273,136273,-,104122,99369,98902
22,Total Liabilities & Equity,1805385,1753513,1748394,1634136,1604407,1870322,-,-,-,356689,-,147949,-,154052,-,149416,100169,101041
23,Total Debt,36310,36310,36310,36310,48810,63600,-,-,-,-,-,-,-,-,-,5799,-,841.55
24,Net Cash (Debt),566475,493822,484369,830873,458230,385028,-,-,-,235814,-,75263,46080,46080,-,63021,27372,2189
25,Net Cash Growth,23.62%,28.26%,-,-,-,63.28%,-,-,-,411.75%,-,19.42%,68.35%,2005.03%,-,-,-,-
26,Net Cash Per Share,3789.43,3303.20,3310.65,5670.24,3523.74,2632.16,-,-,-,15146.96,-,4808.85,2906.76,-,-,-,-,-
27,Filing Date Shares Outstanding,153.62,149.5,146.31,146.53,146.31,146.28,146.31,146.36,73.19,15.57,-,15.65,15.85,-,-,-,-,-
28,Total Common Shares Outstanding,153.62,149.5,146.31,146.53,146.31,146.28,146.31,146.36,73.19,15.57,-,15.65,15.85,-,-,-,-,-
29,Working Capital,721391,596654,557499,1071151,582279,1292516,-,-,-,349219,-,132918,-,93634,-,85606,73276,60697
30,Book Value Per Share,11341.22,11389.06,11321.12,10864.06,10590.37,11562.30,-,-,-,22655.10,-,8683.41,-,-,-,-,-,-
31,Tangible Book Value,1738739,1698944,1652630,1588044,1545377,1687230,-,-,-,352704,-,135769,135792,135792,-,103068,98055,97719
32,Tangible Book Value Per Share,11318.30,11364.31,11295.70,10837.51,10562.59,11534.36,-,-,-,22655.10,-,8674.80,-,-,-,-,-,-
