,Fiscal Quarter,Current,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q1 2019,Q1 2018,Q1 2017,Q1 2016,Q4 2015,Q4 2014,Q4 2013,Q4 2012,Q4 2011
,Period Ending,"Feb '25 Feb 13, 2025","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018","Mar '17 Mar 31, 2017","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011"
0,Market Capitalization,2216093,1866507,1436365,1103152,1025609,914416,895396,914416,2318960,1367967,309663,75221,81038,77115,60880,68997,56821,33822,35175
1,Market Cap Growth,5206.32%,104.12%,60.42%,20.64%,-55.77%,-33.16%,189.15%,1115.64%,2761.57%,1673.94%,408.64%,9.02%,42.62%,128.00%,73.08%,-,-,-,-
2,Last Close Price,9910.00,12150.00,9350.00,7540.00,7010.00,6250.00,6120.00,6250.00,15850.00,12988.08,5066.99,3095.87,3064.14,2915.79,2301.94,2608.87,2148.48,1278.86,1330.01
3,PE Ratio,10.76,13.19,-,-13.36,-4.54,-,-,-,18.54,29.17,151.74,2.95,-,2.16,1.92,-2.54,-1.65,-,-
4,PS Ratio,5.28,6.48,6.70,5.16,9.75,5.34,3.80,4.50,13.02,20.99,36.34,2.35,2.57,2.21,1.74,7.01,6.71,8.90,16.40
5,PB Ratio,0.87,1.07,0.84,0.67,0.64,0.59,0.53,-,-,-,0.88,-,0.60,0.57,0.45,-,0.55,0.34,0.36
6,P/FCF Ratio,-,-18.68,-,-6.98,-,-,-,-1.90,-,-,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,-,-18.86,-,-6.99,-,-,-,-1.90,-,-,-,-,-,-,-,-,-,-,-
8,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.03,0.04,-,-,-,-,-,-,-,-,-,0.06,-,0.01
9,Debt / FCF Ratio,-,-0.36,-,-0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Asset Turnover,0.15,0.08,0.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,Quick Ratio,13.80,13.80,15.62,7.04,23.04,11.17,3.85,-,-,-,74.79,-,12.27,-,5.14,-,2.51,91.99,28.83
12,Current Ratio,13.85,13.85,15.66,7.06,26.38,11.59,8.22,-,-,-,88.64,-,12.31,-,6.27,-,2.89,92.68,29.37
13,Return on Equity (ROE),9.20%,-1.53%,16.21%,-,-35.02%,-,-,-,-,-,-,-,0.04%,-,-,-,-,-,
14,Return on Assets (ROA),8.90%,-1.47%,15.56%,-,-32.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,
15,Earnings Yield,6.38%,7.58%,-2.78%,-7.49%,-22.01%,-20.80%,-0.39%,5.22%,5.39%,3.43%,0.66%,33.85%,40.34%,46.37%,52.11%,-39.36%,-60.53%,-110.16%,-94.49%
16,FCF Yield,-4.51%,-5.35%,-15.96%,-14.32%,-1.67%,-,-,-52.73%,-27.54%,-,-5.70%,-22.44%,-1.59%,-1.52%,-,-,-,-,-
17,Buyback Yield / Dilution,-14.95%,-2.20%,0.00%,-0.12%,-77.68%,-839.59%,-,-835.15%,-361.68%,-,-,-,-,-,-,-,-,-,
18,Total Shareholder Return,-14.95%,-2.20%,0.00%,-0.12%,-77.68%,-839.59%,-,-835.15%,-361.68%,-,-,-,-,-,-,-,-,-,
