,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,"Selling, General & Admin",35.29,68.17,82.14,179.16,40.53,48.53,189.98
1,Research & Development,82.23,150.55,137.6,207.04,84.54,80.73,184.61
2,Operating Expenses,117.52,218.72,219.74,386.2,125.08,129.26,374.59
3,Operating Income,-117.52,-218.72,-219.74,-386.2,-125.08,-129.26,-374.59
4,Interest Expense,-0.14,-0.07,-0.07,-0.06,-0.05,-0.07,-0.06
5,Interest & Investment Income,7.67,8.56,10.77,6.91,1.45,1.45,0.32
6,Earnings From Equity Investments,-,11.13,7.82,2.62,13.55,0.72,0.63
7,Currency Exchange Gain (Loss),2.67,-5.6,8.77,9.08,25.54,-7.82,0.98
8,Other Non Operating Income (Expenses),-3.38,5.94,12.3,2.06,8.56,0.42,0.12
9,EBT Excluding Unusual Items,-110.7,-198.77,-180.15,-365.6,-76.03,-134.57,-372.59
10,Gain (Loss) on Sale of Investments,4.99,-2.16,1.99,-1.79,2.51,2.54,3.95
11,Gain (Loss) on Sale of Assets,-0.05,-0.01,-,-,-0.01,-,-
12,Pretax Income,-105.77,-200.94,-178.16,-367.39,-73.53,-132.04,-368.64
13,Earnings From Continuing Operations,-105.77,-200.94,-178.16,-367.39,-73.53,-132.04,-368.64
14,Minority Interest in Earnings,3.5,4.95,2.41,0.93,0.68,0.16,-
15,Net Income,-102.26,-195.98,-175.75,-366.46,-72.85,-131.88,-368.64
16,Net Income to Common,-102.26,-195.98,-175.75,-366.46,-72.85,-131.88,-368.64
17,Shares Outstanding (Basic),413,417,417,368,363,364,313
18,Shares Outstanding (Diluted),413,417,417,368,363,364,313
19,Shares Change (YoY),-1.00%,13.38%,14.98%,0.98%,16.08%,-,-
20,EPS (Basic),-0.25,-0.47,-0.42,-1.00,-0.20,-0.36,-1.18
21,EPS (Diluted),-0.25,-0.47,-0.42,-1.00,-0.20,-0.36,-1.18
22,Free Cash Flow,-128.6,-166.22,-134.42,-109.42,-70.72,-95.5,-59.67
23,Free Cash Flow Per Share,-0.31,-0.40,-0.32,-0.30,-0.19,-0.26,-0.19
24,EBITDA,-112.69,-214.44,-215.24,-382.65,-122.18,-127.29,-373.14
25,D&A For EBITDA,4.84,4.28,4.5,3.56,2.9,1.96,1.44
26,EBIT,-117.52,-218.72,-219.74,-386.2,-125.08,-129.26,-374.59
