,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,714.32,927.83,701.14,727.36,731.24,800.59,-
1,Short-Term Investments,-,9.85,-,1.94,-,1.85,-
2,Trading Asset Securities,108.11,166.44,43.74,97.75,-,-,-
3,Cash & Short-Term Investments,822.43,1104,744.88,827.05,731.24,802.44,-
4,Cash Growth,10.41%,33.50%,1.86%,3.07%,-,-,-
5,Accounts Receivable,-,-,-,0.68,-,0.53,-
6,Other Receivables,-,-,-,-,1.03,-,-
7,Receivables,-,-,-,0.68,1.03,0.53,-
8,Inventory,26.32,28.13,17.63,9.89,8.14,4.67,-
9,Other Current Assets,34.35,22.67,29.73,17.73,19.34,21.17,-
10,Total Current Assets,883.1,1155,792.23,855.36,759.75,828.81,-
11,"Property, Plant & Equipment",152.86,138.55,108.46,71.89,54.97,20.46,-
12,Long-Term Investments,-,-,494.61,483.73,481.11,467.56,-
13,Other Intangible Assets,4.23,4.14,4.04,4.19,2.74,2.39,-
14,Other Long-Term Assets,136.32,29.49,18.32,16.16,10.58,22.14,-
15,Total Assets,1177,1327,1418,1431,1309,1341,-
16,Accounts Payable,14.85,16.94,13.46,11.75,8.97,8.66,-
17,Accrued Expenses,-,18.73,-,15.94,11.94,11.58,-
18,Short-Term Debt,1,-,-,-,-,-,-
19,Current Portion of Leases,2.65,1.92,2.23,2.31,0.99,1.34,-
20,Current Unearned Revenue,-,11.88,-,11.68,10.75,11.48,-
21,Other Current Liabilities,33.23,9.22,36.28,15.06,13.45,16.65,-
22,Total Current Liabilities,51.73,58.68,51.97,56.74,46.1,49.7,-
23,Long-Term Debt,51.22,40.75,10.71,-,-,-,-
24,Long-Term Leases,3.09,1.41,0.85,1.57,0.62,1.07,-
25,Total Liabilities,106.04,100.84,63.53,58.3,46.71,50.77,-
26,Common Stock,417.17,417.17,417.17,417.17,409.09,409.09,-
27,Additional Paid-In Capital,1238,1238,1238,1215,1034,1034,-
28,Retained Earnings,-1408,-1306,-1110,-934.18,-567.72,-494.86,-
29,Treasury Stock,-67.22,-5.04,-,-,-,-,-
30,Comprehensive Income & Other,901.16,888.99,810.53,675.52,387.97,343.02,-
31,Total Common Equity,1081,1233,1355,1373,1263,1291,-
32,Minority Interest,-10.12,-6.62,-1.3,-0.26,-0.83,-0.16,-
33,Shareholders' Equity,1070,1226,1354,1373,1262,1291,-
34,Total Liabilities & Equity,1177,1327,1418,1431,1309,1341,-
35,Total Debt,57.96,44.08,13.79,3.87,1.61,2.41,-
36,Net Cash (Debt),764.47,1060,731.09,823.18,729.64,800.03,-
37,Net Cash Growth,4.57%,28.77%,0.20%,2.89%,-,-,-
38,Net Cash Per Share,1.85,2.54,1.75,2.24,2.01,2.20,-
39,Filing Date Shares Outstanding,417.17,417.17,417.17,417.17,417.17,364.35,312.55
40,Total Common Shares Outstanding,417.17,417.17,417.17,417.17,417.17,364.35,312.55
41,Working Capital,831.37,1096,740.27,798.62,713.65,779.11,-
42,Book Value Per Share,2.59,2.96,3.25,3.29,3.03,3.54,-
43,Tangible Book Value,1076,1229,1351,1369,1261,1288,-
44,Tangible Book Value Per Share,2.58,2.95,3.24,3.28,3.02,3.54,-
45,Machinery,-,41.84,-,34.94,28.24,16.82,-
46,Construction In Progress,-,80.86,-,12.42,0.62,1.01,-
47,Leasehold Improvements,-,13.8,-,12.92,12.68,11.08,-
