,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,1635,1664,9261,13224,27575,-,-,-
1,Market Cap Growth,-87.41%,-87.41%,-66.41%,-,-,-,-,-
2,Enterprise Value,803,489,8470,12293,26719,-,-,-
3,Last Close Price,3.92,3.99,22.20,31.70,66.10,-,-,-
4,PB Ratio,1.41,1.45,6.86,9.04,17.76,-,-,-
5,P/TBV Ratio,1.44,1.44,6.84,9.06,17.82,-,-,-
6,Debt / Equity Ratio,0.05,0.05,0.04,0.01,0.00,0.00,0.00,-
7,Earnings Yield,-19.60%,-19.25%,-4.42%,-4.43%,-1.80%,-,-,-
8,FCF Yield,-19.37%,-19.03%,-3.58%,-1.99%,-0.74%,-,-,-
9,Buyback Yield / Dilution,-5.74%,1.00%,-13.38%,-14.98%,-0.98%,-16.08%,-,-
10,Total Shareholder Return,-5.74%,1.00%,-13.38%,-14.98%,-0.98%,-16.08%,-,-
