,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters
0,Cash & Equivalents,22081,9683,7683,16403,-,-,15756,-,24326,-,17894,14908,16328,12991,21227,19342,19880,-,15507,27441,Upgrade
1,Short-Term Investments,51914,70019,73473,68424,-,-,52924,-,57540,-,56274,57733,59461,49844,36047,32047,26870,-,30952,28290,Upgrade
2,Cash & Short-Term Investments,73996,79702,81156,84827,-,-,68680,-,81867,74168,74168,72641,75788,62835,57274,51388,46750,-,46459,55731,Upgrade
3,Cash Growth,-,-,18.17%,-,-,-,-7.40%,-,8.02%,18.04%,29.50%,41.36%,62.11%,-,23.28%,-7.79%,-16.11%,-,-16.28%,-8.47%,Upgrade
4,Accounts Receivable,91737,53531,38647,39731,-,-,51539,-,38236,-,19134,30251,33346,27638,35029,34604,37061,-,30759,24657,Upgrade
5,Other Receivables,384.02,209.5,256.36,489.35,-,-,661.66,-,2547,-,3018,1253,1306,2764,2963,2760,3561,-,7230,3254,Upgrade
6,Receivables,92121,53740,38903,40220,-,-,52201,-,40783,-,22152,31503,34652,30402,37991,37364,40622,-,37990,27911,Upgrade
7,Inventory,51508,40223,38625,38110,-,-,28422,-,34747,-,41665,24417,30778,29224,29021,32031,38085,-,47294,39536,Upgrade
8,Prepaid Expenses,1497,42.7,44.9,86.59,-,-,63.11,-,430.25,-,128.54,2704,4076,4375,1206,533.35,513.05,-,1094,523.87,Upgrade
9,Other Current Assets,14908,16552,17368,16513,-,-,19797,-,18208,-,26667,32351,16779,11749,9717,7273,6869,-,9768,6573,Upgrade
10,Total Current Assets,234030,190260,176097,179757,-,-,169163,-,176034,-,164782,163617,162073,138585,135210,128589,132839,-,142604,130275,Upgrade
11,"Property, Plant & Equipment",69205,67886,60663,60391,-,-,62114,-,67782,-,72408,75759,49035,46019,45573,50326,53467,-,45737,41523,Upgrade
12,Long-Term Investments,25492,24535,24387,24788,-,-,23749,-,20103,-,20860,20169,19482,19431,19227,18411,18308,-,17736,17238,Upgrade
13,Other Intangible Assets,3698,3511,3548,3586,-,-,3735,-,3847,-,3922,3959,3997,4034,4075,4117,4159,-,4244,4329,Upgrade
14,Other Long-Term Assets,34606,47334,45474,29529,-,-,31676,-,31033,-,30915,30683,33636,34666,36463,38196,38913,-,41229,39795,Upgrade
15,Total Assets,367031,333524,310400,298051,-,-,290437,-,306799,-,298386,299687,275723,250935,245347,244439,250186,-,254051,235660,Upgrade
16,Accounts Payable,67271,39101,27939,19950,-,-,25682,-,24938,-,27807,18406,23528,17526,21583,12623,18405,-,18116,16139,Upgrade
17,Accrued Expenses,11637,10191,9473,11039,-,-,9773,-,8363,-,6095,6571,4426,5075,4787,5251,4932,-,3559,3125,Upgrade
18,Short-Term Debt,31943,37007,25284,21960,-,-,20749,-,28810,-,5922,20634,17545,6381,65.63,2769,4405,-,12204,2587,Upgrade
19,Current Income Taxes Payable,2956,1463,1928,2075,-,-,1339,-,2171,-,817.27,998.65,564.47,264.35,824.41,2880,2570,-,1627,914.03,Upgrade
20,Current Unearned Revenue,1092,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Other Current Liabilities,34128,22751,18800,16320,-,-,13728,-,17954,-,22820,38405,20974,13835,7252,5644,5825,-,6013,4277,Upgrade
22,Total Current Liabilities,149028,110514,83424,71345,-,-,71271,-,82236,-,63462,85015,67037,43081,34512,29168,36137,-,41519,27042,Upgrade
23,Long-Term Debt,103.54,281.03,325.4,369.77,-,-,547.26,-,4616,-,16818,813.5,857.87,-,-,-,-,-,-,-,Upgrade
24,Long-Term Deferred Tax Liabilities,644.11,590.34,790.97,790.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Total Liabilities,149775,111385,84540,72505,-,-,71818,-,86852,-,80281,85828,67895,43081,34512,29168,36137,-,41519,27042,Upgrade
26,Common Stock,61725,61725,61725,61725,-,-,61725,-,61725,-,61725,61725,61725,61725,61725,61725,61725,-,61725,61725,Upgrade
27,Additional Paid-In Capital,137662,137662,137662,137662,-,-,137662,-,137662,-,137662,137662,137662,137662,137662,137662,137662,-,137662,137662,Upgrade
28,Retained Earnings,27394,32278,35998,35683,-,-,28757,-,30085,-,28244,23997,17966,17992,20973,25410,24188,-,22670,18756,Upgrade
29,Treasury Stock,-11667,-11667,-11667,-11667,-,-,-11667,-,-11667,-,-11667,-11667,-11667,-11667,-11667,-11667,-11667,-,-11667,-,Upgrade
30,Comprehensive Income & Other,2141,2141,2141,2141,-,-,2141,-,2141,-,2141,2141,2141,2141,2141,2141,2141,-,2141,-9526,Upgrade
31,Total Common Equity,217255,222140,225860,225545,-,-,218618,-,219947,218106,218106,213858,207828,207854,210835,215272,214049,-,212532,208618,Upgrade
32,Shareholders' Equity,217255,222140,225860,225545,-,-,218618,-,219947,218106,218106,213858,207828,207854,210835,215272,214049,-,212532,208618,Upgrade
33,Total Liabilities & Equity,367031,333524,310400,298051,-,-,290437,-,306799,-,298386,299687,275723,250935,245347,244439,250186,-,254051,235660,Upgrade
34,Total Debt,32047,37288,25609,22330,-,-,21296,-,33426,22740,22740,21447,18402,6381,65.63,2769,4405,-,12204,2587,Upgrade
