,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,700.5,442.39,610.1,667.34,1260,1069,1715,152.26,-,195.4,-
1,Trading Asset Securities,-,380.56,380.83,380.44,-,400,-,0.87,-,-,-
2,Cash & Short-Term Investments,700.5,822.95,990.93,1048,1260,1469,1715,153.13,-,195.4,137.58
3,Cash Growth,-44.41%,-43.97%,-42.24%,584.26%,-,651.71%,1146.85%,-,-,-,-
4,Accounts Receivable,1185,1171,1173,1412,1295,1168,1134,1140,-,723.88,-
5,Other Receivables,2.91,57.12,15.95,59.21,6.93,26.84,19.79,32.74,-,14.64,-
6,Receivables,1188,1228,1189,1471,1302,1195,1154,1173,-,738.51,-
7,Inventory,782.64,655.89,644.45,566.48,583.34,645.54,598.13,608.43,-,513.47,-
8,Prepaid Expenses,-,3.17,-,0.62,-,-,-,5.99,-,4.82,-
9,Other Current Assets,128.36,49.42,97.38,61.26,91.74,81.76,101.18,42.7,-,43.63,-
10,Total Current Assets,2799,2760,2922,3147,3237,3391,3569,1983,-,1496,-
11,"Property, Plant & Equipment",2114,1930,1772,1743,1482,1304,1232,1165,-,1013,-
12,Goodwill,-,-,-,-,4.99,-,-,-,-,-,-
13,Other Intangible Assets,267.45,269.45,269.28,225.53,195.04,196.57,183.92,183.95,-,161.9,-
14,Long-Term Deferred Tax Assets,60.59,49.04,45.52,42.51,25.16,23.21,33.86,21.88,-,13.36,-
15,Long-Term Deferred Charges,25.67,30.75,45.81,45.15,40.64,44.36,54.47,60.44,-,55.8,-
16,Other Long-Term Assets,257.26,260.31,185.39,205.85,265.73,246.52,81.9,115.1,-,57.34,-
17,Total Assets,5525,5300,5240,5410,5251,5205,5155,3529,-,2797,-
18,Accounts Payable,861.64,772.19,638.92,822.78,728.95,816.47,677.65,796.47,-,650.74,-
19,Accrued Expenses,13.83,44.59,13.28,70.88,12.66,50.89,11.61,64.02,-,39.98,-
20,Short-Term Debt,-,-,-,-,60.06,60.06,209.73,387.02,-,364.9,-
21,Current Portion of Long-Term Debt,-,-,8.25,5.05,9.01,5.04,10.2,7.3,-,0.03,-
22,Current Portion of Leases,8.44,7.74,-,7.57,-,4.37,-,5.62,-,6.64,-
23,Current Income Taxes Payable,64.44,18.21,57.12,51.06,66.04,33.94,68.71,48.6,-,18.06,-
24,Current Unearned Revenue,7.04,11.42,9.72,12.02,40.47,31.61,15.64,13.88,-,8.49,-
25,Other Current Liabilities,23.88,21.69,44.72,44.08,43.63,50.18,34.22,43.17,-,20.15,-
26,Total Current Liabilities,979.26,875.85,772.01,1013,960.81,1053,1028,1366,-,1109,-
27,Long-Term Debt,-,-,-,40,42.5,42.5,45,230.72,-,25.69,-
28,Long-Term Leases,39.28,40.76,41.64,43.97,45.71,46.58,47.05,47.82,-,50.13,-
29,Long-Term Unearned Revenue,30.53,29.79,25.83,26.28,26.23,26.02,26.79,20.36,-,11.95,-
30,Long-Term Deferred Tax Liabilities,0.49,0.55,0.63,0.67,0.62,1.02,11.94,0.75,-,0.69,-
31,Total Liabilities,1050,946.95,840.11,1124,1076,1169,1159,1666,-,1197,-
32,Common Stock,238.85,238.85,183.73,183.73,183.73,183.73,141.33,106,-,106,-
33,Additional Paid-In Capital,-,2110,2165,2165,2165,2165,2207,215.77,-,215.77,-
34,Retained Earnings,2129,2006,2053,1938,1827,1688,1648,1542,-,1278,-
35,Comprehensive Income & Other,2110,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,4477,4355,4401,4286,4176,4036,3996,1863,-,1600,1416
37,Minority Interest,-2.31,-1.84,-1.29,-0.84,-0.32,-,-,-,-,-,-
38,Shareholders' Equity,4475,4353,4400,4285,4175,4036,3996,1863,-,1600,1416
39,Total Liabilities & Equity,5525,5300,5240,5410,5251,5205,5155,3529,-,2797,-
40,Total Debt,47.72,48.51,49.89,96.59,157.28,158.56,311.98,678.48,-,447.4,441.64
41,Net Cash (Debt),652.78,774.44,941.04,951.2,1103,1310,1403,-525.36,-,-252,-304.06
42,Net Cash Growth,-40.82%,-40.89%,-32.95%,-,-,-,-,-,-,-,-
43,Net Cash Per Share,2.71,3.24,3.97,3.97,4.62,5.30,7.01,-2.94,-,-1.42,-1.69
44,Filing Date Shares Outstanding,238.85,238.85,238.85,238.85,238.85,238.85,238.85,179.14,180.02,179.14,179.57
45,Total Common Shares Outstanding,238.85,238.85,238.85,238.85,238.85,238.85,238.85,179.14,180.02,179.14,179.57
46,Working Capital,1820,1884,2150,2134,2277,2338,2541,617,-,386.83,-
47,Book Value Per Share,18.75,18.23,18.43,17.95,17.48,16.90,16.73,10.40,-,8.93,7.90
48,Tangible Book Value,4210,4085,4132,4061,3976,3840,3812,1679,-,1438,1253
49,Tangible Book Value Per Share,17.63,17.10,17.30,17.00,16.64,16.08,15.96,9.37,-,8.03,6.99
50,Buildings,-,903.51,-,844.84,-,589.5,-,589.49,-,531.97,-
51,Machinery,-,1637,-,1347,-,1107,-,1038,-,834.21,-
52,Construction In Progress,-,142.68,-,216.28,-,205.76,-,73.17,-,147.23,-
