,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,1048,659.49,780.41,947.56,1101,819.42,826.06,779.87,1098,557.93,735
1,Other Revenue,-92.98,92.98,-,218.92,-88.47,88.47,-,184.1,-87.79,87.79,-
2,Revenue,954.61,752.47,780.41,1166,1012,907.89,826.06,963.97,1010,645.72,735
3,Revenue Growth (YoY),-5.68%,-17.12%,-5.53%,21.01%,0.18%,40.60%,12.39%,-,-,-,-
4,Cost of Revenue,740.29,597.27,599.72,943.54,757.66,680.58,639.54,714.61,769.34,512.53,550.86
5,Gross Profit,214.32,155.2,180.69,222.94,254.45,227.31,186.51,249.36,240.98,133.19,184.14
6,"Selling, General & Admin",32.95,29.08,32,33.01,25.66,29.41,24.85,32.14,23.88,16.83,18.44
7,Research & Development,29.68,22.87,17.46,18.24,44.77,38.21,28.13,47.21,28.51,21.05,27.41
8,Other Operating Expenses,-9.2,-5.77,3.18,5.66,4.38,3.23,4.47,10.73,3.46,2.63,3.79
9,Operating Expenses,58.93,41.04,40,104.16,81.47,71.97,58.73,94.56,73.1,34.6,47.42
10,Operating Income,155.39,114.17,140.69,118.78,172.98,155.34,127.78,154.8,167.88,98.59,136.72
11,Interest Expense,-4.99,-,-4.87,-1.93,-3.18,-1.99,-4.87,-7.19,-2.5,-4.14,-4
12,Interest & Investment Income,-,7.49,5.66,8.11,-,3.06,1.77,0.14,0.34,0.31,0.17
13,Currency Exchange Gain (Loss),-0.82,0.82,-,3.27,-6.86,6.86,-,3.82,-2.89,2.89,-
14,Other Non Operating Income (Expenses),8.74,-5.41,4.98,-5.36,17.04,2.02,6.33,-2.83,4.19,-2.18,0.54
15,EBT Excluding Unusual Items,158.32,117.07,146.46,122.87,179.98,165.29,131.01,148.74,167.02,95.47,133.43
16,Impairment of Goodwill,-,-,-,-5.14,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-0.12,0.12,-,0.44,-1.83,1.83,-,0.87,-,-0.21,-0.96
18,Gain (Loss) on Sale of Assets,0.26,-0.13,0.03,0.3,0.01,0,-,0.07,1.63,-,-
19,Asset Writedown,-19.01,9.96,-9.96,-2.12,-9.06,1.69,-1.69,7.72,-7.98,7.75,-7.92
20,Other Unusual Items,0.82,-0.99,1.87,22.2,-1.41,1.41,-,3.72,-1.22,1.22,-
21,Pretax Income,140.27,126.02,138.41,138.55,167.69,170.22,129.32,161.12,159.45,104.23,124.55
22,Income Tax Expense,17.99,22.48,23.93,29.44,28.9,28.99,22.74,28.89,28.6,22.14,22.56
23,Earnings From Continuing Operations,122.28,103.54,114.48,109.12,138.8,141.23,106.58,132.23,130.84,82.09,102
24,Minority Interest in Earnings,0.47,0.54,0.45,0.52,0.32,-,-,-,-,-,-
25,Net Income,122.75,104.08,114.93,109.63,139.12,141.23,106.58,132.23,130.84,82.09,102
26,Net Income to Common,122.75,104.08,114.93,109.63,139.12,141.23,106.58,132.23,130.84,82.09,102
27,Net Income Growth,-11.77%,-26.30%,7.83%,-17.09%,6.33%,72.04%,4.50%,-,-,-,-
28,Shares Outstanding (Basic),241,239,237,240,238,247,200,179,180,178,180
29,Shares Outstanding (Diluted),241,239,237,240,238,247,200,179,180,178,180
30,Shares Change (YoY),1.00%,-3.37%,18.49%,34.07%,32.48%,38.91%,11.46%,-,-,-,-
31,EPS (Basic),0.51,0.44,0.48,0.46,0.58,0.57,0.53,0.74,0.73,0.46,0.57
32,EPS (Diluted),0.51,0.44,0.48,0.46,0.58,0.57,0.53,0.74,0.73,0.46,0.57
33,EPS Growth,-12.64%,-23.73%,-9.00%,-38.16%,-19.74%,23.85%,-6.25%,-,-,-,-
34,Free Cash Flow,-120.28,-6.62,-12.35,-140.87,-189.57,-10.63,-90.57,-120.48,-149.86,121.3,-57.69
35,Free Cash Flow Per Share,-0.50,-0.03,-0.05,-0.59,-0.79,-0.04,-0.45,-0.67,-0.83,0.68,-0.32
36,Dividend Per Share,-,-,-,0.631,-,-,-,0.420,-,-,-
37,Dividend Growth,-,-,-,50.12%,-,-,-,-,-,-,-
38,Gross Margin,22.45%,20.63%,23.15%,19.11%,25.14%,25.04%,22.58%,25.87%,23.85%,20.63%,25.05%
39,Operating Margin,16.28%,15.17%,18.03%,10.18%,17.09%,17.11%,15.47%,16.06%,16.62%,15.27%,18.60%
40,Profit Margin,12.86%,13.83%,14.73%,9.40%,13.75%,15.56%,12.90%,13.72%,12.95%,12.71%,13.88%
41,Free Cash Flow Margin,-12.60%,-0.88%,-1.58%,-12.08%,-18.73%,-1.17%,-10.96%,-12.50%,-14.83%,18.79%,-7.85%
42,EBITDA,188.35,158.45,173.65,151.74,199.69,186.7,154.49,181.51,189.81,123.68,158.65
43,EBITDA Margin,19.73%,21.06%,22.25%,13.01%,19.73%,20.56%,18.70%,18.83%,18.79%,19.15%,21.58%
44,D&A For EBITDA,32.96,44.29,32.96,32.96,26.71,31.36,26.71,26.71,21.93,25.1,21.93
45,EBIT,155.39,114.17,140.69,118.78,172.98,155.34,127.78,154.8,167.88,98.59,136.72
