,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7352,6096,5775,6936,9097,9538,10552,13352,-,-,-,-
1,Market Cap Growth,-36.09%,-36.09%,-45.27%,-48.05%,-,-,-,-,-,-,-,-
2,Enterprise Value,6697,5319,4833,5833,7993,8227,9148,13604,-,-,-,-
3,Last Close Price,30.78,25.52,24.18,28.37,37.21,39.02,43.17,54.11,-,-,-,-
4,PE Ratio,16.31,13.50,12.35,13.74,18.32,18.37,20.65,29.56,-,-,-,-
5,Forward PE,14.56,10.95,9.44,9.89,13.67,15.14,-,-,-,-,-,-
6,PS Ratio,2.01,1.67,1.56,1.79,2.32,2.57,2.85,3.87,-,-,-,-
7,PB Ratio,1.64,1.36,1.33,1.58,2.12,2.28,2.61,3.34,-,-,-,-
8,P/TBV Ratio,1.45,1.45,1.41,1.68,2.24,2.40,2.75,3.50,-,-,-,-
9,P/OCF Ratio,8.17,8.17,8.24,10.65,17.81,37.71,51.34,-,-,-,-,-
10,EV/Sales Ratio,1.83,1.46,1.30,1.51,2.04,2.22,2.47,3.95,-,-,-,-
11,EV/EBITDA Ratio,9.84,7.91,7.07,8.19,11.54,11.39,12.84,20.94,-,-,-,-
12,EV/EBIT Ratio,12.79,10.05,8.84,9.92,13.90,13.47,15.10,24.78,-,-,-,-
13,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.02,0.04,0.04,0.08,0.36,-,0.28,0.31
14,Debt / EBITDA Ratio,0.07,0.06,0.07,0.07,0.15,0.20,0.21,0.50,0.90,-,0.88,0.70
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,7.03,-
16,Asset Turnover,0.71,0.57,0.59,0.88,0.77,0.70,0.76,-,-,-,-,
17,Inventory Turnover,4.22,4.12,3.67,3.96,6.56,4.93,4.38,4.24,-,-,-,-
18,Quick Ratio,1.93,1.93,2.34,2.82,2.49,2.67,2.53,2.79,0.97,-,0.84,-
19,Current Ratio,2.86,2.86,3.15,3.78,3.11,3.37,3.22,3.47,1.45,-,1.35,-
20,Return on Equity (ROE),11.08%,9.46%,10.54%,10.32%,13.52%,14.07%,14.55%,-,-,21.78%,-,
21,Return on Assets (ROA),7.18%,5.42%,6.61%,5.57%,8.27%,7.50%,7.36%,-,-,-,-,
22,Return on Capital (ROIC),8.71%,6.45%,7.96%,6.81%,10.14%,9.13%,9.33%,-,-,12.62%,-,
23,Return on Capital Employed (ROCE),11.52%,11.64%,12.36%,13.16%,13.08%,14.24%,14.59%,13.30%,25.80%,-,13.94%,-
24,Earnings Yield,6.14%,7.41%,8.10%,7.28%,5.46%,5.44%,4.84%,3.38%,-,-,-,-
25,FCF Yield,-3.81%,-4.60%,-6.05%,-5.10%,-4.74%,-4.31%,-3.52%,-1.79%,-,-,-,-
26,Dividend Yield,1.98%,-,-,-,1.70%,-,-,-,-,-,-,-
27,Payout Ratio,35.52%,0.01%,144.93%,0.04%,8.62%,0.39%,66.83%,4.39%,3.27%,2.82%,4.37%,3.23%
28,Buyback Yield / Dilution,-10.63%,-1.00%,3.37%,-18.49%,-34.07%,-32.48%,-38.91%,-11.46%,-,-,-,-
29,Total Shareholder Return,-8.65%,-1.00%,3.37%,-18.49%,-32.37%,-32.48%,-38.91%,-11.46%,-,-,-,-
