,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2501,2019,1926,1881,2415,2382,2250,2215,1858,1815,2162,2514,2884,2729,3296,-,-,-,-,-
1,Market Cap Growth,-15.25%,-15.25%,-14.41%,-15.10%,29.96%,31.25%,4.07%,-11.89%,-35.56%,-33.48%,-34.39%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2150,1666,1581,1430,1964,2019,1887,1826,1411,1350,1687,2006,2367,2156,3294,-,-,-,-,-
3,Last Close Price,22.61,18.24,17.46,16.42,21.08,20.80,19.65,19.03,15.96,15.59,18.57,21.59,24.77,23.10,27.90,-,-,-,-,-
4,PE Ratio,34.98,27.84,22.83,20.35,28.11,30.03,32.07,33.53,27.63,29.05,34.07,43.03,42.39,33.15,35.92,-,-,-,-,-
5,PS Ratio,2.56,2.05,1.99,1.97,2.73,2.75,2.71,2.77,2.25,2.23,2.70,3.22,3.76,3.75,4.70,-,-,-,-,-
6,PB Ratio,2.33,1.81,1.74,1.66,2.12,2.16,2.18,2.13,1.81,1.80,2.18,2.59,3.01,2.91,3.43,-,-,-,-,-
7,P/TBV Ratio,1.96,1.96,1.89,1.76,2.26,2.31,2.34,2.28,1.93,1.92,2.33,2.68,3.12,3.00,3.54,-,-,-,-,-
8,P/FCF Ratio,-,-26.72,-28.16,-,-,-268.61,-37.40,-,-,-,-,-,-60.72,-,153.94,-,-,-,-,-
