,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,260.32,227.45,219.47,268.12,245.95,214.24,148.28,251.46,210.88,182.98,173.79,239.75,192.95,165.46,161.64,201.99,164.76,116.53,87.49
1,Other Revenue,-2.13,2.13,-,7.94,-2.71,2.71,-,7.31,-5.67,5.67,-,8.03,-3.06,3.06,-,6.24,-1.86,1.03,0.83
2,Revenue,258.19,229.59,219.47,276.06,243.24,216.95,148.28,258.77,205.21,188.65,173.79,247.78,189.89,168.51,161.64,208.23,162.9,117.56,88.32
3,Revenue Growth (YoY),6.15%,5.82%,48.01%,6.68%,18.53%,15.00%,-14.68%,4.43%,8.07%,11.95%,7.52%,19.00%,16.57%,43.34%,83.02%,-,-,-,-
4,Cost of Revenue,214.26,190.18,176.86,216.29,194.11,175.66,122.02,207.81,169.04,157.27,145.09,209.13,155.14,138.98,120.65,154.53,116.22,87.42,66.9
5,Gross Profit,43.93,39.4,42.61,59.77,49.13,41.3,26.26,50.95,36.17,31.37,28.7,38.65,34.75,29.53,40.99,53.7,46.68,30.14,21.42
6,"Selling, General & Admin",19.47,18.4,15.42,14.66,14.12,12.41,13.08,14.64,12.35,11.65,12.05,11.33,13.63,11.24,10.87,11.18,10.93,8.35,8.13
7,Research & Development,10.24,12.01,9.77,11.24,8.74,11.49,8.69,10.18,9.32,8.44,6.26,10.15,7.08,8.4,6.2,6.81,4.75,4.86,3.99
8,Other Operating Expenses,-0.32,-0.36,-1.65,-5.56,-1.28,-1.65,-2.11,11.96,-1.09,-4.88,-0.93,9.13,-2.78,-1.27,-2.45,7.35,-2.82,0.51,-1.74
9,Operating Expenses,28.14,28.46,25.66,25.79,22.9,17.56,17.72,37.99,22.09,14.86,18.02,33.22,18.53,18.33,16.31,27.25,14.75,12.89,9.46
10,Operating Income,15.79,10.95,16.95,33.98,26.23,23.74,8.53,12.97,14.09,16.51,10.68,5.43,16.22,11.2,24.68,26.45,31.93,17.25,11.96
11,Interest Expense,-4.33,-4.27,-4.34,-4.79,-2.87,-0.8,-0.84,-0.63,-0.73,-0.36,-0.4,-0.5,-0.5,-0.52,-0.39,-0.37,-0.45,-0.51,-0.62
12,Interest & Investment Income,2.03,1.73,4.13,4.36,2.55,1.8,3.26,2.25,2.68,2.74,2.69,3.54,3.63,1.33,0.12,0.1,0.14,0.07,0.04
13,Currency Exchange Gain (Loss),-0.43,0.43,-,0.72,-1.11,1.11,-,1.79,-,-,-,-0.35,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-1.26,0.78,-0.15,0.26,3.1,-1.59,-0.41,-5.39,0.59,0.62,-0.26,0.02,-1.34,1.09,0.12,-2.04,-0.23,0.13,-0.11
