,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,148285226,133188734,135878060,117373266,134291935,97242668,96460555,91586520,82745247,77531163,90679723,91435387,124495703,109193499,105226261,121326240,78063912,63693862,47625678,40029684,32674832,Upgrade
1,Market Cap Growth,36.97%,36.97%,40.86%,28.16%,62.30%,25.42%,6.37%,0.17%,-33.54%,-29.00%,-13.82%,-24.64%,59.48%,71.43%,120.94%,203.09%,138.91%,31.67%,-8.48%,-9.37%,-30.98%,Upgrade
2,Last Close Price,24300.00,21826.09,22347.83,19304.35,21610.94,15867.88,15740.25,14944.92,13169.65,12339.78,14432.49,14552.76,19814.61,17379.13,16747.70,19310.14,12539.34,10245.29,7650.07,6429.93,5248.53,Upgrade
3,PE Ratio,6.52,5.88,6.37,5.51,7.24,5.11,5.99,6.03,5.00,4.82,5.43,6.16,9.71,9.23,10.02,12.33,8.21,8.31,6.17,5.31,4.54,Upgrade
4,PS Ratio,3.22,3.02,3.32,2.90,3.46,2.43,2.53,2.44,2.17,2.07,2.30,2.51,3.91,3.78,4.28,5.16,3.34,3.00,2.28,1.99,1.68,Upgrade
5,PB Ratio,1.32,1.14,1.23,1.13,1.33,1.01,1.05,1.06,0.98,0.97,1.19,1.29,1.86,1.75,1.79,2.17,1.45,1.27,0.99,0.87,0.74,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-0.93,-,-,-,-,-1.74,-,-,-,-,-,-,-,-,3.22,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-0.95,-,-,-,-,-1.78,-,-,-,-,-,-,-,-,2.96,Upgrade
8,Debt / Equity Ratio,1.39,1.39,1.44,1.30,1.36,1.66,1.67,1.65,1.65,1.64,1.82,1.88,1.78,1.83,1.47,1.47,1.41,1.54,1.20,1.17,1.23,Upgrade
9,Debt / FCF Ratio,-,-,-,-,-,-,-1.47,-,-,-,-,-2.54,-,-,-,-,-,-,-,-,5.33,Upgrade
10,Return on Equity (ROE),22.48%,21.82%,23.75%,18.68%,21.41%,26.18%,23.33%,25.33%,18.52%,27.43%,27.80%,29.19%,24.41%,21.76%,19.92%,28.25%,16.35%,20.61%,21.29%,17.01%,Upgrade,
11,Return on Assets (ROA),2.37%,2.32%,2.58%,2.00%,2.29%,2.87%,2.54%,2.80%,2.08%,3.06%,2.93%,3.01%,2.55%,2.31%,2.11%,2.92%,1.74%,2.28%,2.31%,1.74%,Upgrade,
12,Earnings Yield,15.26%,16.99%,15.70%,18.16%,15.03%,21.26%,19.83%,19.91%,21.71%,22.55%,19.38%,17.19%,11.00%,11.63%,10.55%,8.60%,12.94%,12.97%,17.22%,20.04%,23.49%,Upgrade
13,FCF Yield,-119.51%,-133.06%,-129.49%,-94.07%,-57.53%,-122.36%,-108.01%,-140.32%,-79.11%,-82.99%,-49.87%,-57.41%,-74.31%,-72.76%,-62.65%,-54.80%,-83.94%,-39.09%,-42.33%,8.70%,31.01%,Upgrade
14,Dividend Yield,1.77%,-,-,-,-,2.74%,-,-,-,3.06%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Payout Ratio,11.68%,-,-,43.86%,-,-,39.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Buyback Yield / Dilution,-1.30%,-1.30%,-0.77%,-1.09%,-0.45%,0.00%,0.00%,0.00%,0.00%,-0.03%,-0.04%,-0.02%,-0.06%,-1.35%,-1.58%,-1.24%,-1.92%,-10.35%,-4.43%,-4.60%,-3.87%,Upgrade
17,Total Shareholder Return,0.47%,-1.30%,-0.77%,-1.09%,-0.45%,2.74%,0.00%,0.00%,0.00%,3.03%,-0.04%,-0.02%,-0.06%,-1.35%,-1.58%,-1.24%,-1.92%,-10.35%,-4.43%,-4.60%,-3.87%,Upgrade
