,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,18452076,17396620,16952930,16260267,16996661,17322406,17440908,17383068,15303670,13038154,12480118,11663870,10227821,9588708,9635316,9013087,8735808,8159461,7791831,8080293,Upgrade
1,Total Interest Income,18452076,17396620,16952930,16260267,16996661,17322406,17440908,17383068,15303670,13038154,12480118,11663870,10227821,9588708,9635316,9013087,8735808,8159461,7791831,8080293,Upgrade
2,Interest Paid on Deposits,7309898,6979985,6421817,7197974,7833169,7510613,7959538,7155875,5674068,3999525,3510712,3278385,3058033,3073514,3072780,3061051,2941898,2994784,3167834,3385082,Upgrade
3,Net Interest Income,11142178,10416635,10531113,9062293,9163492,9811793,9481370,10227193,9629602,9038629,8969406,8385485,7169788,6515194,6562536,5952036,5793910,5164677,4623997,4695211,Upgrade
4,Net Interest Income Growth (YoY),21.59%,6.16%,11.07%,-11.39%,-4.84%,8.55%,5.71%,21.96%,34.31%,38.73%,36.68%,40.88%,23.75%,26.15%,41.92%,26.77%,18.52%,12.73%,5.21%,13.55%,Upgrade
5,Income From Trading Activities,2530533,53578,793271,1181745,417539,366515,231408,171987,213508,169412,-50577,1124033,239491,407889,329032,690537,80652,155794,216651,497858,Upgrade
6,Gain (Loss) on Sale of Investments,-,-,-,-,-345479,-,-,-,-135510,1472,134038,-,-,-,-,-,-,-,-,-,Upgrade
7,Other Non-Interest Income,2890800,2233552,2286214,532658,2514808,1886842,1465282,789006,2043829,1776737,3003087,1289474,4715240,1777094,1639569,936092,1839749,1414967,2367231,511476,Upgrade
8,Total Non-Interest Income,5421333,2287130,3079485,1714403,2586868,2253357,1696690,960993,2121827,1947621,3086548,2413507,4954731,2184983,1968601,1626629,1920401,1570761,2583882,1009334,Upgrade
9,Non-Interest Income Growth (YoY),109.57%,1.50%,81.50%,78.40%,21.92%,15.70%,-45.03%,-60.18%,-57.18%,-10.86%,56.79%,48.37%,158.01%,39.10%,-23.81%,61.16%,6.43%,-10.95%,8.61%,43.52%,Upgrade
10,Revenues Before Loan Losses,16563511,12703765,13610598,10776696,11750360,12065150,11178060,11188186,11751429,10986250,12055954,10798992,12124519,8700177,8531137,7578665,7714311,6735438,7207879,5704545,Upgrade
11,Provision for Loan Losses,3223836,1639970,2005743,2707095,1587177,1447404,1202803,1849648,3585386,961967,1374812,2125512,2011426,1778158,2431410,1809057,1925236,883677,1216902,2092625,Upgrade
12,Revenue,13339675,11063795,11604855,8069601,10163183,10617746,9975257,9338538,8166043,10024283,10681142,8673480,10113093,6922019,6099727,5769608,5789075,5851761,5990977,3611920,Upgrade
13,Revenue Growth (YoY),31.25%,4.20%,16.34%,-13.59%,24.46%,5.92%,-6.61%,7.67%,-19.25%,44.82%,75.11%,50.33%,74.69%,18.29%,1.82%,59.74%,5.66%,16.26%,11.48%,-6.76%,Upgrade
