,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,45.84,42.47,44.83,26.15,30.74,42.64,68.7,74.15,52.97,56.02
1,Short-Term Investments,2.84,4.14,11.14,2,3.88,1.78,12.31,4.06,11.13,4.61
2,Trading Asset Securities,94.8,69.28,54.38,70.58,-,-,-,-,-,-
3,Cash & Short-Term Investments,143.48,115.89,110.35,98.73,34.62,44.43,81.02,78.21,64.1,60.63
4,Cash Growth,30.02%,17.37%,218.78%,122.25%,-57.27%,-43.20%,26.40%,29.00%,72.00%,10.29%
5,Accounts Receivable,73.75,62.47,84.83,87.8,110.55,119.34,116.82,99.44,86.81,109.81
6,Other Receivables,2.07,1.41,2.66,6.77,19.28,22.08,1.04,2.27,2.85,3.04
7,Receivables,75.82,63.88,87.48,94.56,129.83,141.42,117.86,101.7,89.66,112.84
8,Inventory,26.94,29,38.92,44.89,60.91,49.64,28.38,28.02,28.46,30.85
9,Prepaid Expenses,2.8,6.54,6.46,11.83,5.72,4.06,3.16,3.76,7.66,11.64
10,Other Current Assets,-,-,-,11.19,-,-,3,7.35,9.43,15.28
11,Total Current Assets,249.04,215.31,243.21,261.21,231.08,239.55,233.4,219.04,199.3,231.23
12,"Property, Plant & Equipment",38.81,42.8,53.73,51.76,79.57,97.38,120.8,129.45,156.82,149.81
13,Other Intangible Assets,0.83,0.88,0.89,1.01,1.15,1.24,2.36,2.43,2.32,2.52
14,Long-Term Accounts Receivable,-,-,-,-,-,-,0.25,0.48,0.64,0.84
15,Long-Term Deferred Tax Assets,19.58,20.18,15.75,17.67,11.32,14.26,11.56,14.26,4.99,5.09
16,Other Long-Term Assets,-,0.03,0.91,1.77,1.82,1.2,2.2,4.69,5.49,20.55
17,Total Assets,308.26,279.2,314.49,333.42,324.94,353.63,370.58,370.34,369.56,410.04
18,Accounts Payable,50.64,47.94,66.45,59.13,89.19,97.12,64.59,46.13,56.28,70.24
19,Accrued Expenses,16.88,17.61,14.78,11.68,23.4,22.79,19.54,17.64,14.22,15.82
20,Short-Term Debt,49.15,49.93,58.51,66.9,-,-,-,-,35.68,34.78
21,Current Portion of Long-Term Debt,-,-,0.49,0.47,9.03,-,29.92,37.33,-,-
22,Current Portion of Leases,2.68,2.74,2.39,1.4,3.02,2.34,3.1,3.11,3.32,2.54
23,Current Income Taxes Payable,0.03,0.03,0.03,0.03,-,-,-,-,0.24,-
24,Current Unearned Revenue,0.37,0.39,0.39,5.44,10.89,0.8,0.86,0.72,0.39,0.3
25,Other Current Liabilities,1.51,5.54,1.89,5.31,1.07,0.27,3.85,0.82,54.64,56.96
26,Total Current Liabilities,121.28,124.2,144.93,150.37,136.6,123.32,121.86,105.75,164.77,180.63
27,Long-Term Debt,112.41,83.35,80.82,77.26,52.31,80.11,70.33,68,-,-
28,Long-Term Leases,1.8,2.76,3.47,1.41,1.63,2.48,3.49,4.69,2.2,2.31
29,Long-Term Unearned Revenue,1.12,1.7,1.86,2.52,2.88,5.09,5.75,4.93,2.63,1.8
30,Long-Term Deferred Tax Liabilities,0.43,0.44,0.26,0.27,0.28,0.31,0.33,0.34,0.36,0.41
31,Total Liabilities,237.03,212.43,231.35,231.84,193.71,211.31,201.76,183.7,169.95,185.16
32,Common Stock,8,8,8,8,8,8,8,8,8,8
33,Additional Paid-In Capital,104.1,104.1,104.1,104.1,104.1,104.1,104.1,104.1,104.1,104.1
34,Retained Earnings,-75.31,-75.97,-68.96,-41.85,7.97,15.76,47.95,67.32,104.57,126.07
35,Comprehensive Income & Other,34.44,30.63,40,31.33,11.17,14.46,8.76,7.23,-17.06,-13.29
36,Total Common Equity,71.23,66.76,83.14,101.58,131.24,142.32,168.81,186.64,199.61,224.88
37,Shareholders' Equity,71.23,66.76,83.14,101.58,131.24,142.32,168.81,186.64,199.61,224.88
38,Total Liabilities & Equity,308.26,279.2,314.49,333.42,324.94,353.63,370.58,370.34,369.56,410.04
39,Total Debt,166.05,138.78,145.69,147.44,65.99,84.93,106.84,113.13,41.19,39.62
40,Net Cash (Debt),-22.57,-22.9,-35.34,-48.71,-31.38,-40.5,-25.83,-34.91,22.91,21.01
41,Net Cash Growth,-,-,-,-,-,-,-,-,10.83%,-61.00%
42,Net Cash Per Share,-0.03,-0.03,-0.04,-0.06,-0.04,-0.05,-0.03,-0.04,0.03,0.03
43,Filing Date Shares Outstanding,800,800,800,800,800,800,800,800,800,800
44,Total Common Shares Outstanding,800,800,800,800,800,800,800,800,800,800
45,Working Capital,127.77,91.11,98.28,110.83,94.48,116.23,111.54,113.29,34.53,50.6
46,Book Value Per Share,0.09,0.08,0.10,0.13,0.16,0.18,0.21,0.23,0.25,0.28
47,Tangible Book Value,70.4,65.88,82.25,100.57,130.09,141.09,166.45,184.21,197.29,222.37
48,Tangible Book Value Per Share,0.09,0.08,0.10,0.13,0.16,0.18,0.21,0.23,0.25,0.28
49,Machinery,-,132.13,-,148.13,-,186.5,-,188.39,-,158.8
50,Construction In Progress,-,4.96,-,4.73,-,7.19,-,6.19,-,7.82
51,Leasehold Improvements,-,15.11,-,13.22,-,14.32,-,13.92,-,12.93
