,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,176,97,74,98,111,158,141,160,232,260,308
1,Market Cap Growth,-1.63%,-1.63%,-33.09%,-37.88%,-21.02%,-1.00%,-39.31%,-38.46%,-24.68%,-15.58%,-59.47%
2,Enterprise Value,199,120,110,147,143,199,167,193,209,239,287
3,Last Close Price,0.22,0.12,0.09,0.12,0.14,0.20,0.18,0.20,0.29,0.33,0.39
4,PE Ratio,-,-6.43,-,-,-,-,-,-,-,-,-
5,PS Ratio,1.03,0.57,0.34,0.42,0.42,0.49,0.44,0.52,0.89,0.93,0.89
6,PB Ratio,2.47,1.36,1.11,1.18,1.09,1.21,0.99,0.95,1.24,1.30,1.37
7,P/TBV Ratio,1.37,1.37,1.13,1.20,1.11,1.22,1.00,0.96,1.26,1.32,1.39
8,P/FCF Ratio,-,-,2.73,-1.07,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,2.31,-1.17,-,208.15,-,-,-,-,16.80
10,EV/Sales Ratio,1.16,0.70,0.50,0.62,0.54,0.61,0.52,0.63,0.80,0.85,0.83
11,EV/EBITDA Ratio,-,-,-,-,-,-21.90,-,-,-,-,-
12,EV/FCF Ratio,-11.70,-,4.03,-1.60,-,-,-,-,-,-,-
13,Debt / Equity Ratio,2.33,2.33,2.08,1.75,1.45,0.50,0.60,0.63,0.61,0.21,0.18
14,Debt / FCF Ratio,-,-,5.10,-1.58,-,-,-,-,-,-,-
15,Earnings Yield,-8.55%,-15.54%,-45.85%,-69.34%,-51.81%,-25.24%,-36.61%,-35.39%,-25.33%,-28.54%,-16.21%
16,FCF Yield,-9.64%,-17.53%,36.58%,-93.71%,-102.45%,-3.99%,-3.52%,-9.31%,-8.07%,-4.78%,-9.78%
