,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+8 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+8 Quarters
0,Market Capitalization,6001360,6302936,6325554,7041797,6061675,5669266,6166791,5949640,5460628,4808613,-,-,-,-,-,-,-,-,-,-,-,Upgrade
1,Market Cap Growth,11.18%,11.18%,2.57%,18.36%,11.01%,17.90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Enterprise Value,4525690,5395093,5333835,5710725,5091049,4888179,5385704,5499068,5010057,4358042,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Last Close Price,39800.00,41800.00,41147.13,45806.22,38792.07,36283.13,38751.82,37386.94,34314.04,30216.84,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,PE Ratio,11.09,15.00,12.86,15.43,13.91,14.64,16.23,16.84,13.81,9.58,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,Forward PE,-,10.80,9.14,9.61,7.82,9.78,11.00,10.99,10.46,9.21,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,PS Ratio,1.53,1.58,1.62,1.84,1.60,1.51,1.54,1.28,1.18,0.98,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,PB Ratio,1.43,1.51,1.50,1.73,1.42,1.36,-,-,1.40,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,P/TBV Ratio,1.52,1.52,1.51,1.74,1.43,1.36,-,-,1.40,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/FCF Ratio,14.17,10.98,36.94,30.47,-,-,22.23,36.77,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,P/OCF Ratio,9.96,9.96,28.49,22.64,-,-,18.04,30.95,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,PEG Ratio,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/Sales Ratio,1.16,1.36,1.36,1.49,1.35,1.30,1.35,1.18,1.08,0.89,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,EV/EBITDA Ratio,7.28,9.84,8.56,8.92,9.10,9.46,9.90,8.14,7.10,5.30,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,EV/EBIT Ratio,8.57,12.06,10.14,10.55,11.11,11.84,12.30,9.97,8.61,6.24,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,EV/FCF Ratio,10.68,9.40,31.14,24.71,-,-,19.41,33.98,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Debt / Equity Ratio,0.17,0.17,0.15,0.19,0.22,0.17,-,-,0.21,-,0.21,0.20,0.15,0.15,0.15,0.17,0.09,0.09,0.09,0.10,0.10,Upgrade
17,Debt / EBITDA Ratio,1.33,1.76,1.10,0.91,2.72,0.99,-,-,4.54,-,0.69,1.14,0.88,1.14,1.14,1.09,0.56,0.40,0.40,0.84,0.84,Upgrade
18,Debt / FCF Ratio,1.27,1.27,3.77,3.32,-,-,-,-,-,-,2.40,3.33,2.99,3.61,1.48,0.99,0.44,0.40,0.48,0.67,0.85,Upgrade
19,Asset Turnover,0.87,0.75,0.73,0.50,-,-,-,-,-,1.22,-,-,0.64,0.64,-,-,0.96,0.97,0.75,0.76,Upgrade,
20,Inventory Turnover,2.60,3.30,2.66,2.34,1.62,-,-,-,-,-,2.96,-,-,1.72,1.75,-,-,2.70,2.55,1.93,1.89,Upgrade
