,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+8 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+8 Quarters
0,Cash & Equivalents,155330,73699,141916,31238,66882,-,-,-,-,387856,72902,-,99170,99170,39909,-,53239,53239,29185,29185,Upgrade
1,Short-Term Investments,2048350,1480319,1617853,2252995,1610311,-,-,-,-,889614,1115200,-,1322937,1322937,1175542,-,1686240,1686240,1420897,1420897,Upgrade
2,Cash & Short-Term Investments,2203680,1554017,1759769,2284233,1677193,-,-,1277470,-,1277470,1188101,1422107,1422107,1422107,1215451,1739479,1739479,1739479,1450082,1450082,Upgrade
3,Cash Growth,31.39%,-,-,78.81%,-,-,-,-10.17%,-,-10.17%,-2.25%,-18.25%,-18.25%,-18.25%,-16.18%,19.96%,67.63%,67.63%,41.45%,41.45%,Upgrade
4,Accounts Receivable,464732,696574,673557,497540,666677,-,-,-,-,622504,511569,-,530818,530818,592285,-,596418,596418,534348,534348,Upgrade
5,Other Receivables,180992,310906,192238,177522,159800,-,-,-,-,44726,63219,-,34401,34401,69414,-,62433,62433,99652,99652,Upgrade
6,Receivables,903622,1122901,981217,790562,942029,-,-,-,-,669280,585389,-,565219,565219,677154,-,658850,658850,634000,634000,Upgrade
7,Inventory,967637,1037944,1128424,1256209,1134504,-,-,-,-,1466857,1527921,-,1380301,1380301,1319333,-,1132965,1132965,1267642,1267642,Upgrade
8,Prepaid Expenses,14377,19107,21285,22848,14936,-,-,-,-,44988,26839,-,22008,22008,27090,-,23747,23747,19819,19819,Upgrade
9,Other Current Assets,30646,365575,399270,30966,363636,-,-,-,-,380856,282357,-,261166,261166,266859,-,33359,33359,32847,32847,Upgrade
10,Total Current Assets,4119961,4099545,4289965,4384819,4132298,-,-,-,-,3839451,3610606,-,3650801,3650801,3505887,-,3588400,3588400,3404390,3404390,Upgrade
11,"Property, Plant & Equipment",350375,367585,380940,392548,414704,-,-,-,-,430452,466583,-,519585,519585,566402,-,617764,617764,659238,659238,Upgrade
12,Long-Term Investments,780329,673230,525230,525080,601080,-,-,-,-,615831,512831,-,275218,275218,275218,-,-,-,-,-,Upgrade
13,Other Intangible Assets,26951,28454,28147,27670,11815,-,-,-,-,13262,14655,-,16602,16602,18579,-,20035,20035,21117,21117,Upgrade
14,Long-Term Accounts Receivable,-,4853,9885,6398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,40398,8458,8112,8691,10997,-,-,-,-,9317,7692,-,8297,8297,7120,-,8963,8963,7377,7377,Upgrade
