,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q1 2019,Q4 2018,Q1 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Mar '18 Mar 31, 2018"
0,Cash & Equivalents,686.7,686.7,6950,-,230.87,294.72,180.11,1500,145.12,-,3678,4614,10212,10212,-,-,1871,2084,1740,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,3000,3000,3000,-,-,-,-,-,-
2,Cash & Short-Term Investments,686.7,686.7,6950,188.56,230.87,294.72,180.11,1500,145.12,-,3678,7614,13212,13212,-,-,1871,2084,1740,-
3,Cash Growth,197.45%,133.00%,3759.00%,-87.43%,59.08%,-,-95.10%,-80.30%,-98.90%,-,-,-,606.05%,533.86%,-,-,-,-,-,-
4,Accounts Receivable,9101,9101,26968,-,6920,30018,38011,32756,15711,-,3326,11233,7113,7113,-,-,6977,30738,19750,-
5,Other Receivables,60800,60800,60750,-,-,-,1.4,-,21.6,-,43.9,162.92,126.92,126.92,-,-,31,11.39,11.39,-
6,Receivables,69901,69901,87718,-,6920,30018,38013,32756,15733,-,3370,11396,7240,7240,-,-,7008,30750,19762,-
7,Inventory,208885,208885,163660,-,210298,272898,279820,284685,301990,-,303423,316395,305222,305222,-,-,95814,51777,60516,-
8,Prepaid Expenses,302.82,302.82,426.96,-,28.12,35.44,45.86,68.09,125.69,-,60.47,86.06,100.87,100.87,-,-,306.6,175.47,296.56,-
9,Other Current Assets,14586,14586,496.68,-,12394,173.61,1805,352.82,852.81,-,1486,6974,2774,2774,-,-,5177,8598,3468,-
10,Total Current Assets,294362,294362,259252,-,229871,303420,319864,319361,318846,-,312018,342465,328549,328549,-,-,110177,93385,85782,-
11,"Property, Plant & Equipment",32660,32660,34818,-,38144,39802,41518,43102,44765,-,48121,49831,51541,51541,-,-,48369,52259,53505,-
12,Long-Term Investments,-,-,127500,-,127500,39050,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,166760,166760,16778,-,16800,16811,16824,16837,16850,-,16877,16890,16904,16904,-,-,17011,17004,16797,-
14,Long-Term Deferred Charges,328.08,328.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,-,-,241.42,-,214.37,251.05,302.39,301.35,156.43,-,213.17,248.04,244.82,244.82,-,-,1079,1604,1748,-
16,Total Assets,494111,494111,438589,-,412530,399335,378508,379602,380618,-,377230,409435,397239,397239,-,-,176635,164251,157832,-
17,Accounts Payable,2225,2225,14873,-,2630,25751,615.51,1664,4080,-,4752,966.22,1346,1346,-,-,2065,1117,1304,-
18,Accrued Expenses,935.66,935.66,489.57,-,788.37,390.54,464.94,395.29,815.09,-,373.33,268.92,542.18,542.18,-,-,757.96,-,408.75,-
19,Short-Term Debt,131121,131121,87006,-,65294,35317,40121,39845,37877,-,40694,64409,65373,65373,-,-,51004,47111,41892,-
20,Current Portion of Long-Term Debt,140.41,140.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,526.84,526.84,218.88,-,420.32,349.05,238.44,604.71,1254,-,194.4,123.23,553.18,553.18,-,-,2476,359.35,1302,-
22,Other Current Liabilities,142,142,473.37,-,6281,682.06,458.53,405.41,352.06,-,2082,14301,509.62,509.62,-,-,6107,7962,6618,-
23,Total Current Liabilities,135091,135091,103061,-,75414,62490,41898,42915,44378,-,48096,80069,68325,68325,-,-,62409,56549,51525,-
