,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q1 2019,Q4 2018,Q1 2018
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Mar '18 Mar 31, 2018"
0,Market Capitalization,106048,99420,109362,99420,102734,102734,115990,112676,92792,99420,158200,158200,297416,367024,129888,185328,118800,50160,231440,-,-
1,Market Cap Growth,-3.23%,-3.23%,-5.71%,-11.76%,10.71%,3.33%,-26.68%,-28.78%,-68.80%,-72.91%,21.80%,-14.64%,150.35%,631.71%,-43.88%,-,-,-,-,-,-
2,Enterprise Value,259735,180108,190050,167467,170823,140782,159200,154806,134309,145078,199487,219752,349948,419556,182420,237860,171332,99786,-,-,-
3,Last Close Price,3200.00,3000.00,3300.00,3000.00,3100.00,3100.00,3500.00,3400.00,2800.00,3000.00,5000.00,5000.00,9400.00,11600.00,8200.00,11700.00,7500.00,4750.00,21916.67,-,-
4,PE Ratio,57.14,55.37,66.88,62.42,64.44,62.86,77.73,69.98,65.06,69.46,63.59,56.53,109.58,154.25,100.37,104.92,38.72,14.52,68.98,-,-
5,PS Ratio,0.24,0.23,0.24,0.23,0.30,0.33,0.33,0.34,0.30,0.37,0.67,0.64,1.23,1.49,0.73,1.34,0.96,0.54,3.18,-,-
6,PB Ratio,0.32,0.28,0.31,0.30,0.31,0.31,0.35,0.34,0.28,0.30,-,0.49,0.92,1.13,0.40,-,-,0.45,2.25,-,-
7,P/TBV Ratio,0.59,0.59,0.65,0.31,0.32,0.32,0.37,0.36,0.29,0.32,-,0.51,0.97,1.19,0.42,-,-,0.53,2.69,-,-
8,P/FCF Ratio,1.65,-,-,0.63,1.00,-,2.73,-8.33,-,-,-,-1.11,-,-,-,-20.39,-,-,-,-,-
9,P/OCF Ratio,1.52,-,-,0.62,1.00,-,2.72,-8.36,-,-,-,-1.12,-,-,-,-21.49,-,-,-,-,-
10,EV/Sales Ratio,0.60,0.41,0.42,0.40,0.50,0.45,0.46,0.46,0.43,0.55,0.85,0.89,1.45,1.70,1.02,1.72,1.38,1.07,-,-,-
11,EV/EBITDA Ratio,16.71,11.61,12.82,11.97,12.39,10.30,12.09,11.48,10.20,10.98,13.35,14.31,22.53,27.65,13.91,18.28,17.68,13.25,-,-,-
12,EV/EBIT Ratio,29.43,20.49,23.57,23.31,24.66,20.85,25.41,23.49,21.40,22.97,24.61,25.59,39.61,49.01,26.59,33.41,20.70,13.12,-,-,-
13,EV/FCF Ratio,4.03,-,-,1.05,1.67,-,3.74,-11.45,-,-,-,-1.54,-,-,-,-26.16,-,-,-,-,-
14,Debt / Equity Ratio,0.37,0.37,0.37,0.26,0.20,0.20,0.11,0.13,0.13,0.13,-,0.14,0.21,0.22,0.22,-,-,0.49,0.50,0.46,-
15,Debt / EBITDA Ratio,8.48,8.11,7.81,5.96,4.80,5.06,2.83,3.13,3.18,3.61,-,3.57,4.99,3.80,4.25,-,-,5.31,3.22,-,-
16,Debt / FCF Ratio,2.05,-,-,0.55,0.67,-,0.90,-3.21,-,-,-,-0.31,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.50,0.92,-,-,0.83,0.77,0.80,0.84,-,-,0.50,-,0.89,-,-,-,-,-,-,-,
18,Inventory Turnover,2.00,1.11,2.22,-,-,1.33,1.04,1.03,1.05,-,-,0.60,-,0.86,-,-,-,-,-,-,-
19,Quick Ratio,0.52,0.52,0.52,0.92,-,0.09,0.49,0.91,0.80,0.36,-,0.15,0.24,0.30,0.30,-,-,0.14,0.58,0.42,-
20,Current Ratio,2.18,2.18,2.18,2.52,-,3.05,4.86,7.63,7.44,7.18,-,6.49,4.28,4.81,4.81,-,-,1.77,1.65,1.66,-
21,Return on Equity (ROE),0.54%,0.63%,0.52%,0.49%,0.32%,0.57%,0.53%,0.54%,-,-,0.31%,-,1.46%,-,-,-,-,-,-,-,
22,Return on Assets (ROA),1.20%,1.36%,-,-,1.02%,1.06%,1.15%,1.12%,-,-,0.91%,-,1.86%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),1.21%,1.39%,1.21%,1.17%,1.06%,1.11%,1.16%,1.13%,-,-,0.94%,-,1.87%,-,-,-,-,-,-,-,
24,Return on Capital Employed (ROCE),2.46%,2.45%,2.25%,2.14%,-,2.00%,1.86%,1.96%,1.86%,1.88%,-,2.61%,2.68%,2.60%,2.09%,-,-,6.66%,5.89%,3.42%,-
25,Earnings Yield,1.75%,1.81%,1.50%,1.60%,1.55%,1.59%,1.29%,1.43%,1.54%,1.44%,1.57%,1.77%,0.91%,0.65%,1.00%,0.95%,2.58%,6.89%,1.45%,-,-
26,FCF Yield,60.73%,64.77%,81.96%,160.00%,99.80%,-,36.66%,-12.00%,6.10%,-,-47.73%,-90.26%,-52.39%,-44.26%,-64.16%,-4.91%,-13.57%,-,-7.80%,-,-
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,1257.35%,-,-,-,-,-,-,-,-,-,-
28,Buyback Yield / Dilution,0.21%,-,3.08%,-,-,-,-3.18%,-2.12%,1.09%,29.59%,29.90%,-101.30%,-92.67%,-,-,-,-,-,-,-,-
29,Total Shareholder Return,0.21%,-,3.08%,-,-,-,-3.18%,-2.12%,1.09%,29.59%,29.90%,-101.30%,-92.67%,-,-,-,-,-,-,-,-
