,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q1 2019,Q4 2018,Q1 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Mar '18 Mar 31, 2018"
0,Revenue,62338,107840,154492,110210,83935,75270,75459,79751,118369,61331,49446,36179,88088,72470,44238,41465,20377,32069,29805,10828
1,Revenue Growth (YoY),-25.73%,43.27%,104.74%,38.19%,-29.09%,22.73%,52.61%,120.44%,34.38%,-15.37%,11.77%,-12.75%,332.30%,125.98%,48.42%,282.95%,-,-,-,-
2,Cost of Revenue,58136,103447,150704,106717,80550,71876,72361,76974,115709,58470,46618,33306,65777,59509,39860,38459,15843,26816,24081,9122
3,Gross Profit,4201,4394,3787,3494,3385,3394,3098,2778,2660,2861,2828,2873,22311,12961,4378,3006,4533,5253,5724,1706
4,"Selling, General & Admin",1823,1860,1787,1615,1736,1738,1355,1074,1497,882.43,1397,1128,19357,10503,2699,1535,3279,2538,2888,907.93
5,Operating Expenses,1823,1860,1787,1615,1736,1738,1355,1074,1497,882.43,1397,1128,19357,10503,2699,1535,3279,2538,2888,907.93
6,Operating Income,2378,2534,2000,1878,1650,1656,1743,1704,1163,1979,1430,1744,2953,2458,1678,1471,1254,2715,2836,797.8
7,Interest Expense,-2067,-2005,-1456,-1460,-1368,-1161,-1175,-1111,-1020,-989.72,-,-1222,-,-1310,-1454,-1214,-1175,-990.33,-1030,-169.35
8,Interest & Investment Income,24.67,-,48.66,101.11,90.22,132.07,10.91,0.24,16.36,8.79,6.22,42.68,41.01,39.63,30.8,0.19,53.8,0.13,247.96,1.21
9,Currency Exchange Gain (Loss),-,43.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Non Operating Income (Expenses),205.55,-65.14,-17.51,-10.18,-29.34,-36.59,-27.82,-27.12,-1.9,-188.37,-1111,-0.19,-1493,-42.84,-35.17,-88.27,-7.22,-0.12,-201.67,-0.02
11,EBT Excluding Unusual Items,541.64,507.54,575.6,509.59,342.81,590.83,551.14,565.82,157.19,809.61,325.41,564.85,1502,1145,220.14,168.65,125.83,1725,1852,629.65
12,Gain (Loss) on Sale of Assets,-,150.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Pretax Income,541.64,658,575.6,509.59,342.81,590.83,551.14,565.82,157.19,809.61,325.41,564.85,1502,1145,220.14,168.65,125.83,1725,1852,629.65
14,Income Tax Expense,60.53,112.07,139.44,102.73,71.76,112.14,113.38,118.87,28.32,213.12,71.4,112.97,316.55,237.1,50.72,51.38,25.87,344.95,380.54,125.93
15,Earnings From Continuing Operations,481.11,545.93,436.17,406.86,271.06,478.68,437.76,446.95,128.87,596.49,254.01,451.88,1185,907.4,169.41,117.27,99.97,1380,1471,503.72
16,Minority Interest in Earnings,-49.72,-24.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Net Income,431.38,521.07,436.17,406.86,271.06,478.68,437.76,446.95,128.87,596.49,254.01,451.88,1185,907.4,169.41,117.27,99.97,1380,1471,503.72
18,Net Income to Common,431.38,521.07,436.17,406.86,271.06,478.68,437.76,446.95,128.87,596.49,254.01,451.88,1185,907.4,169.41,117.27,99.97,1380,1471,503.72
19,Net Income Growth,59.15%,8.85%,-0.36%,-8.97%,110.33%,-19.75%,72.34%,-1.09%,-89.13%,-34.26%,49.94%,285.34%,1085.78%,-34.24%,-88.49%,-76.72%,-,-,-,-
20,Shares Outstanding (Basic),33,33,-,-,-,34,33,32,33,33,32,32,47,47,16,17,-,-,-,-
21,Shares Outstanding (Diluted),33,33,-,-,-,34,33,32,33,33,32,32,47,47,16,17,-,-,-,-
22,Shares Change (YoY),-,-3.08%,-,-,-,3.18%,2.12%,-1.09%,-29.59%,-29.90%,101.30%,92.67%,-,-,-,-,-,-,-,-
23,EPS (Basic),13.02,15.72,-,-,-,14.00,13.36,14.00,3.87,18.00,7.92,14.00,25.07,19.19,10.63,7.00,-,-,-,-
24,EPS (Diluted),13.02,15.72,-,-,-,14.00,13.36,14.00,3.87,18.00,7.92,14.00,25.07,19.19,10.63,7.00,-,-,-,-
25,EPS Growth,-,12.31%,-,-,-,-22.22%,68.76%,0%,-84.56%,-6.22%,-25.52%,100.00%,-,-,-,-,-,-,-,-
26,Free Cash Flow,-25230,-25230,57429,57429,-,44213,888.84,-2582,-,-11829,20076,-4634,-79114,-79114,7035,-11252,-,-4874,-,-13190
27,Free Cash Flow Per Share,-761.31,-761.31,-,-,-,1293.09,27.13,-80.89,-,-356.97,625.68,-143.57,-1673.50,-1673.51,441.33,-671.67,-,-,-,-
28,Gross Margin,6.74%,4.07%,2.45%,3.17%,4.03%,4.51%,4.11%,3.48%,2.25%,4.67%,5.72%,7.94%,25.33%,17.88%,9.90%,7.25%,22.25%,16.38%,19.20%,15.75%
29,Operating Margin,3.81%,2.35%,1.29%,1.70%,1.97%,2.20%,2.31%,2.14%,0.98%,3.23%,2.89%,4.82%,3.35%,3.39%,3.79%,3.55%,6.16%,8.47%,9.51%,7.37%
30,Profit Margin,0.69%,0.48%,0.28%,0.37%,0.32%,0.64%,0.58%,0.56%,0.11%,0.97%,0.51%,1.25%,1.35%,1.25%,0.38%,0.28%,0.49%,4.30%,4.94%,4.65%
31,Free Cash Flow Margin,-40.47%,-23.40%,37.17%,52.11%,-,58.74%,1.18%,-3.24%,-,-19.29%,40.60%,-12.81%,-89.81%,-109.17%,15.90%,-27.14%,-,-15.20%,-,-121.82%
32,EBITDA,4064,4220,3675,3553,3378,3384,3471,3431,2887,3702,3153,3467,4618,4123,3321,3112,2562,4015,-,951.69
