,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Market Capitalization,595626,562702,568688,691405,733309,784191,847047,625557,652495,894936,1122411,2167002,2801539,1227170,1020646,724330,466923,419034,460937,416041,571682,Upgrade
1,Market Cap Growth,-28.24%,-28.24%,-32.86%,10.53%,12.39%,-12.37%,-24.53%,-71.13%,-76.71%,-27.07%,9.97%,199.17%,500.00%,192.86%,121.43%,74.10%,-18.32%,-8.50%,-2.53%,-20.57%,25.66%,Upgrade
2,Enterprise Value,3192068,3165530,3225072,3433423,3564275,3694180,3806599,3533194,3660999,3994447,4281695,5350397,6295048,5240737,5132547,4885502,4449709,4084164,4127185,4124528,4380196,Upgrade
3,Last Close Price,1990.00,1880.00,1900.00,2310.00,2450.00,2620.00,2830.00,2090.00,2180.00,2990.00,3750.00,7240.00,9360.00,4100.00,3410.00,2420.00,1560.00,1400.00,1540.00,1390.00,1910.00,Upgrade
4,PE Ratio,-,-1.06,-0.99,-1.21,-,-1.00,-1.03,-0.54,-,-,-,-,-,-3.51,-1.72,-0.89,-,-,-,-,-,Upgrade
5,PS Ratio,0.52,0.50,0.47,0.59,0.65,0.71,0.75,0.51,0.48,0.69,0.82,1.47,1.81,0.60,0.48,0.34,0.23,0.20,0.21,0.16,0.20,Upgrade
6,PB Ratio,1.23,0.87,0.98,1.22,1.39,0.68,0.75,0.56,0.59,0.46,0.56,0.93,1.21,0.50,0.41,0.29,0.19,0.15,0.15,0.12,0.17,Upgrade
7,P/TBV Ratio,1.46,1.46,1.96,2.57,3.20,0.93,1.03,0.80,0.85,0.57,0.69,1.12,1.47,0.65,0.55,0.39,0.26,0.19,0.18,0.15,0.20,Upgrade
8,P/FCF Ratio,3.64,3.44,2.88,3.28,3.72,5.49,4.60,2.63,-,2.47,5.19,-,11.97,-,2.58,2.38,1.88,-,-,-,-,Upgrade
