,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,220309,328310,266424,321591,289138,288787,222819,298186,326358,375391,347937,246949,394624,480436,422433,741970,477669,488547,326305,755232,Upgrade
1,Revenue Growth (YoY),-23.80%,13.69%,19.57%,7.85%,-11.40%,-23.07%,-35.96%,20.75%,-17.30%,-21.86%,-17.63%,-66.72%,-17.39%,-1.66%,29.46%,-1.76%,-27.40%,-38.13%,-51.33%,-5.71%,Upgrade
2,Cost of Revenue,135527,243853,197182,299622,200257,256457,143148,226894,231484,301562,260658,196871,319657,420152,318962,633629,363001,411328,262221,595490,Upgrade
3,Gross Profit,84782,84457,69242,21969,88881,32330,79671,71292,94874,73829,87279,50078,74967,60284,103470,108341,114668,77219,64085,159741,Upgrade
4,"Selling, General & Admin",126709,7036,11064,627220,39975,-39796,38415,818249,84586,302273,95322,60068,62573,-28776,44398,1365,264773,214455,61749,152902,Upgrade
5,Operating Expenses,126709,7036,11064,627220,39975,-39796,38415,818249,84586,302273,95322,60068,62573,-28776,44398,1365,264773,214455,61749,152902,Upgrade
6,Operating Income,-41927,77421,58179,-605251,48906,72126,41256,-746957,10289,-228443,-8043,-9991,12394,89061,59073,106976,-150105,-137236,2336,6839,Upgrade
7,Interest Expense,-73906,-75746,-76440,-85387,-88245,-97616,-65028,-44399,-87272,-100684,-79737,-46310,-87008,-123586,-86738,-114641,-111401,-107637,-104187,-173170,Upgrade
8,Interest & Investment Income,50855,186558,51756,61157,60062,65028,97616,55949,61795,71708,46093,6420,54604,59403,50840,55948,32249,44784,39476,-,Upgrade
9,Earnings From Equity Investments,94,-253.11,90.86,109.69,52.49,-198.05,83.42,166.17,55.83,-195.89,82.52,-112.79,-2.4,-296.75,82.77,270.52,-2.45,-262.58,100.55,198.86,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-26.14,-,-5574,5574,-34260,-,-49995,24998,-47314,-33.1,-3011,3011,-5702,16.93,-3620,1837,-4354,Upgrade
11,Other Non Operating Income (Expenses),-2407,-7581,-2123,4172,-1977,-3107,-66467,-4362,-1690,49300,-52072,-7258,-41.51,-5817,-9691,-4094,-1130,-3110,-11184,-15557,Upgrade
12,EBT Excluding Unusual Items,-67292,180399,31462,-625226,18799,30660,13034,-773863,-16822,-258311,-68679,-104566,-20087,15754,16577,38757,-230373,-207082,-71623,-186044,Upgrade
13,Gain (Loss) on Sale of Investments,-522.8,-8389,8912,5467,49.72,5693,-5693,-31590,-193.83,-44271,19562,-,-,-,-,-193008,-,70.44,-35.22,21918,Upgrade
14,Gain (Loss) on Sale of Assets,129823,-129823,-,-4601,-,-,-,1310,-,-,-,90293,6340,-,-,-197480,-,-,-,78037,Upgrade
15,Asset Writedown,-,-,-,-,-,-,-,-10872,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,400,-,-,-,-,-62.34,-,-,2.38,Upgrade
17,Pretax Income,62009,42187,40374,-624359,18848,36353,7341,-815014,-17016,-302582,-49117,-13873,-13747,15754,16577,-351731,-230435,-207011,-71658,-86087,Upgrade
18,Income Tax Expense,-2548,16650,4869,4553,3140,7805,1424,1668,2175,6641,2964,-851.91,-15157,4834,4094,27483,23296,6302,10677,17651,Upgrade
19,Earnings From Continuing Operations,64556,25537,35505,-628912,15709,28547,5917,-816682,-19192,-309223,-52081,-13021,1410,10919,12484,-379214,-253731,-213314,-82335,-103738,Upgrade
20,Minority Interest in Earnings,-12076,-5978,-7828,-2281,-6708,-4551,-2322,-5723,-7089,-3015,-6410,327.41,3264,2369,-1079,-6.98,13459,3084,6511,7872,Upgrade
21,Net Income,52480,19559,27678,-631193,9001,23996,3595,-822405,-26281,-312237,-58490,-12693,4674,13288,11405,-379221,-240272,-210230,-75824,-95866,Upgrade
22,Net Income to Common,52480,19559,27678,-631193,9001,23996,3595,-822405,-26281,-312237,-58490,-12693,4674,13288,11405,-379221,-240272,-210230,-75824,-95866,Upgrade
23,Net Income Growth,483.06%,-18.49%,669.91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Shares Outstanding (Basic),299,300,299,299,299,299,301,299,299,299,299,298,299,299,303,299,299,299,299,299,Upgrade
25,Shares Outstanding (Diluted),299,300,299,299,299,299,301,299,299,299,299,298,299,299,303,299,299,299,299,299,Upgrade
26,Shares Change (YoY),-,0.14%,-0.40%,-,-,-0.06%,0.46%,0.37%,-,0.06%,-1.26%,-0.37%,-,-0.06%,1.28%,-,-0.18%,0.06%,0.37%,-,Upgrade
27,EPS (Basic),175.34,65.26,92.47,-2108.83,30.07,80.17,11.96,-2747.67,-87.81,-1042.53,-195.54,-42.57,15.62,44.40,37.65,-1266.99,-802.75,-701.96,-253.48,-320.29,Upgrade
28,EPS (Diluted),175.00,65.26,92.00,-2109.25,30.00,80.17,11.14,-2747.67,-87.81,-1042.73,-195.73,-42.57,15.62,44.00,37.65,-1266.99,-802.75,-701.96,-253.86,-320.29,Upgrade
29,EPS Growth,483.33%,-18.61%,725.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,Free Cash Flow,16703,56220,50306,40280,50555,69525,36792,-14155,91911,123000,-37663,184565,-53495,68833,34217,441140,-149199,-22089,-21224,-40948,Upgrade
31,Free Cash Flow Per Share,55.80,187.57,168.07,134.58,168.90,232.28,122.43,-47.29,307.08,410.69,-125.91,618.92,-178.73,229.97,112.95,1473.86,-498.48,-73.75,-70.95,-136.81,Upgrade
32,Gross Margin,38.48%,25.72%,25.99%,6.83%,30.74%,11.20%,35.76%,23.91%,29.07%,19.67%,25.08%,20.28%,19.00%,12.55%,24.49%,14.60%,24.01%,15.81%,19.64%,21.15%,Upgrade
33,Operating Margin,-19.03%,23.58%,21.84%,-188.21%,16.91%,24.98%,18.52%,-250.50%,3.15%,-60.85%,-2.31%,-4.05%,3.14%,18.54%,13.98%,14.42%,-31.42%,-28.09%,0.72%,0.91%,Upgrade
34,Profit Margin,23.82%,5.96%,10.39%,-196.27%,3.11%,8.31%,1.61%,-275.80%,-8.05%,-83.18%,-16.81%,-5.14%,1.18%,2.77%,2.70%,-51.11%,-50.30%,-43.03%,-23.24%,-12.69%,Upgrade
35,Free Cash Flow Margin,7.58%,17.12%,18.88%,12.53%,17.48%,24.07%,16.51%,-4.75%,28.16%,32.77%,-10.82%,74.74%,-13.56%,14.33%,8.10%,59.46%,-31.23%,-4.52%,-6.50%,-5.42%,Upgrade
36,EBITDA,50479,143259,123284,-542609,113886,135809,105783,-685184,63308,-167638,44553,37685,59283,162117,102514,196126,-123500,-108438,69747,52920,Upgrade
37,EBITDA Margin,22.91%,43.64%,46.27%,-168.73%,39.39%,47.03%,47.47%,-229.78%,19.40%,-44.66%,12.80%,15.26%,15.02%,33.74%,24.27%,26.43%,-25.85%,-22.20%,21.37%,7.01%,Upgrade
38,D&A For EBITDA,92406,65838,65106,62642,64980,63682,64527,61773,53019,60805,52596,47676,46889,73056,43442,89150,26605,28798,67412,46081,Upgrade
39,EBIT,-41927,77421,58179,-605251,48906,72126,41256,-746957,10289,-228443,-8043,-9991,12394,89061,59073,106976,-150105,-137236,2336,6839,Upgrade
40,EBIT Margin,-19.03%,23.58%,21.84%,-188.21%,16.91%,24.98%,18.52%,-250.50%,3.15%,-60.85%,-2.31%,-4.05%,3.14%,18.54%,13.98%,14.42%,-31.42%,-28.09%,0.72%,0.91%,Upgrade
41,Effective Tax Rate,-,39.47%,12.06%,-,16.66%,21.47%,19.40%,-,-,-,-,-,-,30.69%,24.70%,-,-,-,-,-,Upgrade
42,Revenue as Reported,220309,328310,266424,321591,289138,288787,222819,298186,326358,375391,347937,246949,394624,480436,422433,741970,477669,488547,326305,755232,Upgrade
