,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,90,98,194,320,480,384,496,504,576,592,664
1,Market Cap Growth,-69.25%,-69.25%,-59.67%,-16.67%,-3.23%,-23.81%,-13.89%,-14.86%,-13.25%,-30.19%,-35.16%
2,Enterprise Value,1402,1655,1316,1142,1142,1313,979,654,583,470,561
3,Last Close Price,0.11,0.12,0.24,0.40,0.60,0.48,0.62,0.63,0.72,0.74,0.83
4,PE Ratio,-,-,-,-,-,237.92,-,43.38,42.38,49.84,54.93
5,PS Ratio,0.05,0.06,0.09,0.13,0.17,0.11,0.16,0.26,0.39,0.71,1.29
6,PB Ratio,0.36,0.24,0.40,0.55,0.77,0.61,0.77,0.81,1.04,1.11,1.28
7,P/TBV Ratio,0.49,0.49,0.74,0.80,1.07,0.83,1.04,1.08,1.13,1.19,1.28
8,P/FCF Ratio,-,-0.26,-,-,1.80,-2.42,-,-,-,-,5.22
9,P/OCF Ratio,-,-0.29,-,-,1.54,-4.40,-,-,-,-,4.57
10,EV/Sales Ratio,0.80,0.94,0.62,0.47,0.40,0.37,0.31,0.33,0.40,0.56,1.09
11,EV/EBITDA Ratio,-,-,-,22.48,12.43,11.83,9.90,9.38,9.77,9.63,13.68
12,EV/EBIT Ratio,-,-,-,-,18.10,16.27,14.03,13.31,14.70,16.21,24.21
13,EV/FCF Ratio,-3.46,-4.29,-,-,4.28,-8.29,-,-,-,-,4.41
14,Debt / Equity Ratio,4.29,4.29,3.69,2.56,2.07,2.13,2.11,1.34,0.81,0.47,0.46
15,Debt / FCF Ratio,-,-4.55,-,-,4.84,-8.45,-,-,-,-,1.88
16,Return on Capital Employed (ROCE),-,-,-,-,6.46%,6.55%,5.67%,4.70%,5.62%,5.28%,4.40%
17,Earnings Yield,-215.55%,-196.28%,-97.57%,-20.43%,-2.54%,0.42%,0.52%,2.31%,2.36%,2.01%,1.82%
18,FCF Yield,-451.78%,-391.86%,-477.10%,-121.47%,55.55%,-41.28%,-143.65%,-85.40%,-39.63%,-13.78%,19.15%
