,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,4976.0,2929,5182.0,2339,4251,3654,8199,6655,10158.0,6071,Upgrade
1,Short-Term Investments,2931.0,2528,2857.0,3617,7305,9179,3753,4545,3755.0,4078,Upgrade
2,Accounts Receivable,11367.0,15459,11852.0,14281,10504,16238,8521,15333,10868.0,13279,Upgrade
3,Other Receivables,812.0,552,38.0,1041,311,1380,4903,937,277.0,851,Upgrade
4,Inventory,3513.0,3978,3327.0,3558,3696,3641,2941,2676,2872.0,2729,Upgrade
5,Restricted Cash,21.0,-,16.0,-,33,-,-,-,536.0,-,Upgrade
6,Loans Receivable Current,61.0,61,60.0,-,-,-,-,136,135.0,127,Upgrade
7,Other Current Assets,3158.0,4675,3598.0,8119,8361,29275,5571,4330,4792.0,4333,Upgrade
8,Total Current Assets,26839.0,30182,26930.0,32955,34461,63367,33888,34612,33393.0,31468,Upgrade
9,"Property, Plant & Equipment",168715.0,164806,160779.0,155663,154849,150774,161188,156286,155515.0,150406,Upgrade
10,Goodwill,7829.0,8010,8070.0,13734,13888,14060,14491,14757,14946.0,13920,Upgrade
11,Other Intangible Assets,4616.0,4579,4784.0,4561,4563,4809,5219,5370,5613.0,5593,Upgrade
12,Long-Term Investments,19155.0,19010,20784.0,18702,19949,17559,19158,18434,20040.0,17540,Upgrade
13,Long-Term Loans Receivable,2018.0,2052,2047.0,2082,1867,1691,1128,750,722.0,524,Upgrade
14,Long-Term Deferred Tax Assets,1625.0,1621,2041.0,2046,2132,1588,376,507,571.0,722,Upgrade
15,Long-Term Deferred Charges,274.0,-,265.0,-,220,-,180,-,154.0,-,Upgrade
16,Other Long-Term Assets,2642.0,4083,3351.0,5191,4097,6674,4181,4267,3279.0,3870,Upgrade
17,Total Assets,233713.0,234343,229051.0,234934,236026,260522,239809,234983,234233.0,224043,Upgrade
18,Accounts Payable,6854.0,7163,6529.0,6050,6513,9741,6120,6633,6078.0,4913,Upgrade
19,Short-Term Debt,311.0,545,589.0,869,860,979,832,1094,1021.0,1379,Upgrade
20,Current Portion of Long-Term Debt,15849.0,13322,12572.0,12848,11314,13727,10512,9965,8747.0,9078,Upgrade
21,Current Unearned Revenue,1984.0,2191,2290.0,2410,2798,3168,3144,3110,3104.0,3114,Upgrade
22,Current Portion of Leases,148.0,156,200.0,225,229,222,217,219,219.0,184,Upgrade
23,Current Income Taxes Payable,775.0,1094,1063.0,812,1577,943,1349,992,1699.0,915,Upgrade
24,Other Current Liabilities,18883.0,18750,19236.0,20523,21170,35566,15624,13887,15139.0,13755,Upgrade
