,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,978.02,667.16,641.03,341.54,151.9,148.66,440.53,538.98,517.43,462.81
1,Short-Term Investments,18.35,-,17.91,-,19.89,14.99,94.73,95.07,-,121.36
2,Cash & Short-Term Investments,996.37,667.16,658.94,341.54,171.79,163.65,535.26,634.04,517.43,584.18
3,Cash Growth,51.21%,95.34%,283.58%,108.70%,-67.91%,-74.19%,3.45%,8.54%,2.89%,-10.77%
4,Accounts Receivable,798.24,761.84,783.77,793.66,720.59,612.47,616.76,646,442.45,603.9
5,Other Receivables,24.47,1.89,0.95,55.96,-,4.88,-,-,-,-
6,Receivables,822.71,763.72,784.72,849.62,720.59,617.35,616.76,646,442.45,603.9
7,Inventory,636.61,598.25,574.99,598.04,590.61,566.15,599.45,432.92,457.55,443.25
8,Other Current Assets,242.6,262.2,250.38,189.78,172.52,188.3,163.72,46.96,142.65,36.26
9,Total Current Assets,2698,2291,2269,1979,1656,1535,1915,1760,1560,1668
10,"Property, Plant & Equipment",1773,1852,1866,1755,1672,1645,1440,1330,1322,1352
11,Long-Term Investments,12.03,11.68,13.39,16.2,14.97,17.99,22.9,19.87,27.19,3.01
12,Goodwill,-,-,-,-,3.7,3.77,4.16,4.16,9.44,9.44
13,Other Intangible Assets,-,-,-,-,0.34,0.67,1.68,1.34,1.68,2.01
14,Long-Term Deferred Tax Assets,6.68,4.5,6.74,4.73,1.25,9.29,1.86,2.68,1.31,2.32
15,Other Long-Term Assets,233.9,272.45,224.21,208.73,236.46,186.77,90.81,112.8,103.05,150.18
16,Total Assets,4724,4432,4379,3964,3585,3399,3477,3231,3025,3186
17,Accounts Payable,402.19,397.65,403.5,389.53,382.78,359.02,336.01,268.5,213.18,266.77
18,Accrued Expenses,-,207.81,-,191.1,-,142.31,-,194.81,-,198.37
19,Short-Term Debt,-,-,70.35,75.62,81.29,130.39,145.87,48.97,-,-
20,Current Portion of Long-Term Debt,62.28,-,-,-,0.25,0.51,0.67,0.7,1.53,1.49
21,Current Portion of Leases,29.99,29.46,30.85,31.53,41.68,31.1,17.43,32.26,32.15,30.29
22,Current Income Taxes Payable,154.83,123.83,120.52,115.58,115.27,105.79,119.4,126.95,129.33,213.97
23,Current Unearned Revenue,-,3.67,-,2.04,-,2.72,-,5.42,-,5.68
24,Other Current Liabilities,495.33,57.01,365.76,71.23,202.06,39.79,211.65,41.39,199.14,37.81
25,Total Current Liabilities,1145,819.42,990.98,876.62,823.32,811.62,831.02,718.99,575.32,754.38
26,Long-Term Debt,-,70.53,74.18,70.25,-,-,0.14,0.56,0.92,1.66
27,Long-Term Leases,53.04,67.07,83.84,98.28,90.97,111.97,52.2,63.09,76.28,71.03
28,Long-Term Deferred Tax Liabilities,0.03,0.04,0.27,0.18,0.47,0.5,0.71,0.6,0.77,0.9
29,Total Liabilities,1198,957.06,1149,1045,914.76,924.09,884.07,783.25,653.28,827.97
30,Common Stock,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49,87.49
31,Retained Earnings,2750,2659,2399,2265,2076,1904,1995,1842,1699,1636
32,Comprehensive Income & Other,694.35,733.27,746.41,567.67,510.29,486.72,512.03,519.37,586.01,634.57
33,Total Common Equity,3532,3480,3233,2921,2674,2478,2594,2449,2372,2358
34,Minority Interest,-5.52,-4.5,-3.15,-1.82,-4.1,-2.85,-1.79,-0.84,-0.38,0.31
35,Shareholders' Equity,3526,3475,3230,2919,2670,2475,2593,2448,2372,2358
36,Total Liabilities & Equity,4724,4432,4379,3964,3585,3399,3477,3231,3025,3186
37,Total Debt,145.3,167.06,259.23,275.67,214.19,273.97,216.3,145.58,110.88,104.46
38,Net Cash (Debt),851.07,500.1,399.71,65.87,-42.4,-110.32,318.96,488.47,406.56,479.71
39,Net Cash Growth,112.92%,659.27%,-,-,-,-,-21.55%,1.82%,0.55%,-26.01%
40,Net Cash Per Share,0.85,0.50,0.40,0.07,-0.04,-0.11,0.32,0.49,0.41,0.48
41,Filing Date Shares Outstanding,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003
42,Total Common Shares Outstanding,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003
43,Working Capital,1554,1472,1278,1102,832.19,723.84,1084,1041,984.76,913.21
44,Book Value Per Share,3.52,3.47,3.22,2.91,2.67,2.47,2.59,2.44,2.37,2.35
45,Tangible Book Value,3532,3480,3233,2921,2670,2474,2589,2443,2361,2347
46,Tangible Book Value Per Share,3.52,3.47,3.22,2.91,2.66,2.47,2.58,2.44,2.35,2.34
47,Land,-,30.65,-,28.81,-,27.05,-,28.76,-,30.76
48,Buildings,-,632,-,492.8,-,464.56,-,472.56,-,325.71
49,Machinery,-,1638,-,1315,-,1064,-,1001,-,899.5
50,Construction In Progress,-,257.92,-,459.2,-,485.96,-,167.68,-,326.28
51,Leasehold Improvements,-,154.42,-,136.22,-,132.84,-,138.23,-,128.06
52,Order Backlog,10500,-,-,-,-,-,-,-,-,-
