,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+18 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+18 Quarters
0,Revenue,73487,40935,59063,46971,47021,46444,40295,62204,103261,103261,281823,294258,194606,103713,135927,241174,154721,88090,118751,128474,Upgrade
1,Revenue Growth (YoY),56.28%,-11.86%,46.58%,-24.49%,-54.46%,-55.02%,-85.70%,-78.86%,-46.94%,-0.44%,107.33%,22.01%,25.78%,17.74%,14.46%,87.72%,-47.67%,116.09%,191.30%,89.10%,Upgrade
2,Cost of Revenue,39134,27219,34877,31449,40239,34690,28806,35527,83074,83074,203003,204292,150740,75524,88173,191272,110897,53014,78897,89448,Upgrade
3,Gross Profit,34352,13716,24186,15521,6782,11754,11489,26678,20187,20187,78821,89966,43866,28189,47754,49901,43824,35076,39853,39025,Upgrade
4,"Selling, General & Admin",14756,11651,19675,15928,16042,19092,16458,13286,22645,22645,35889,30310,29303,15344,22037,30083,32628,21492,21418,23285,Upgrade
5,Operating Expenses,14756,11651,19675,15928,16042,19092,16458,13286,22645,22645,35889,30310,29303,15344,22037,30083,32628,21492,21418,23285,Upgrade
6,Operating Income,19596,2065,4511,-406.53,-9260,-7338,-4969,13391,-2458,-2458,42932,59655,14563,12845,25717,19818,11197,13584,18435,15740,Upgrade
7,Interest Expense,-11871,-12271,-12400,-13790,-11886,-16227,-15954,-14381,-16730,-16730,-17685,-5461,-7108,-,-6348,-7438,-6348,-994.71,-2613,-1751,Upgrade
8,Interest & Investment Income,6231,4999,4912,6701,20595,9181,10399,10321,52168,52168,6019,4006,177714,123783,86.62,7486,15351,2737,10538,3481,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-73.6,-73.6,-,-,-,-,-,-,-1035,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-821.28,-120.12,-1564,-404.56,-14814,-2887,1778,-970.63,-3550,-3550,-14525,3822,-7750,-11723,2984,3070,1974,4190,970.04,1054,Upgrade
11,EBT Excluding Unusual Items,13134,-5327,-4541,-7901,-15365,-17270,-8746,8360,29357,29357,16741,62023,177419,124906,22440,22936,21139,19517,27330,18524,Upgrade
12,Pretax Income,13134,-5327,-4541,-7901,-15365,-17270,-8746,8360,29357,29357,16741,62023,177419,124906,22440,22936,21139,19517,27330,18524,Upgrade
13,Income Tax Expense,1650,1307,2471,1473,4083,250.52,-347.1,3935,-5875,-5875,14079,13866,1479,-2003,10634,5901,6656,5085,7734,6773,Upgrade
14,Earnings From Continuing Operations,11484,-6635,-7012,-9374,-19448,-17520,-8399,4425,35232,35232,2662,48157,175940,126909,11806,17036,14483,14432,19596,11751,Upgrade
15,Minority Interest in Earnings,-38.7,-23.05,-18.22,-28.47,-1972,-24.52,-23.82,-3.55,-59.83,-59.83,-25.26,-5.74,-,8.55,-17.04,-0.07,0.78,-8.14,-3.26,-,Upgrade
16,Net Income,11446,-6658,-7031,-9403,-21420,-17545,-8423,4422,35172,35172,2636,48151,175940,126917,11789,17036,14484,14423,19592,11751,Upgrade
17,Net Income to Common,11446,-6658,-7031,-9403,-21420,-17545,-8423,4422,35172,35172,2636,48151,175940,126917,11789,17036,14484,14423,19592,11751,Upgrade
18,Net Income Growth,-,-,-,-,-,-,-,-90.82%,-80.01%,-72.29%,-77.64%,182.65%,1114.72%,779.94%,-39.83%,44.97%,-67.03%,-,-,1322.95%,Upgrade
19,Shares Outstanding (Basic),84,84,84,84,84,84,84,83,84,84,84,78,84,84,78,78,78,78,78,-,Upgrade
20,Shares Outstanding (Diluted),84,84,84,84,84,84,84,83,84,84,84,78,84,84,78,78,78,78,78,-,Upgrade
21,Shares Change (YoY),0.19%,0.39%,-0.46%,0.62%,-0.06%,-0.12%,0.03%,6.72%,-0.04%,-0.04%,7.93%,0.34%,7.93%,7.85%,-0.07%,-,0.05%,0.00%,-0.05%,-,Upgrade
22,EPS (Basic),136.00,-79.00,-84.00,-112.00,-255.00,-209.00,-100.17,53.00,418.47,418.47,31.36,615.91,2092.43,1509.41,151.36,218.64,185.91,185.00,251.36,-,Upgrade
23,EPS (Diluted),136.00,-79.00,-84.00,-112.00,-255.00,-209.00,-100.17,53.00,418.47,418.47,31.36,615.91,2092.43,1509.41,151.36,218.64,185.91,185.00,251.36,-,Upgrade
24,EPS Growth,-,-,-,-,-,-,-,-91.39%,-80.00%,-72.28%,-79.28%,181.70%,1025.51%,715.90%,-39.78%,-,-67.04%,-,-,-,Upgrade
25,Free Cash Flow,45187,-17431,-9309,-9309,-,-30422,117470,-127004,-29102,-29102,-95816,37034,-72760,-72760,-23421,7209,-31804,-64671,63211,-172473,Upgrade
26,Free Cash Flow Per Share,536.92,-206.84,-111.22,-110.88,-,-362.39,1397.05,-1522.24,-346.26,-346.26,-1139.86,473.71,-865.33,-865.33,-300.71,92.53,-408.22,-829.49,810.98,-,Upgrade
27,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,136.364,-,-,-,-,-,-,-,Upgrade
28,Gross Margin,46.75%,33.51%,40.95%,33.04%,14.42%,25.31%,28.51%,42.89%,19.55%,19.55%,27.97%,30.57%,22.54%,27.18%,35.13%,20.69%,28.32%,39.82%,33.56%,30.38%,Upgrade
