,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+18 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+18 Quarters
0,Cash & Equivalents,114367,43806,21692,-,59619,-,118167,17295,68024,68024,29004,-,45816,45816,158655,117179,161527,130859,139072,135613,Upgrade
1,Short-Term Investments,230796,230753,228697,-,257580,-,248113,245501,247841,247841,251710,-,25211,25211,181545,176702,228249,228837,201517,186453,Upgrade
2,Trading Asset Securities,1710,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,346872,274559,250389,317200,317200,-,366280,262796,315865,315865,280713,-,71027,71027,340200,293881,389776,359696,340589,322066,Upgrade
4,Cash Growth,9.35%,-,-31.64%,20.70%,0.42%,-,30.48%,-,344.71%,344.71%,-17.49%,-,-81.78%,-80.25%,-0.11%,-8.75%,-1.32%,-16.30%,-,-,Upgrade
5,Accounts Receivable,120072,122329,121492,-,108194,-,78977,136823,136617,136617,161062,-,42372,42372,201967,191254,134022,127735,147858,139154,Upgrade
6,Other Receivables,209752,307311,306474,-,333282,-,328811,434132,495414,495414,225298,-,60910,60910,112345,184919,288793,362287,431748,463614,Upgrade
7,Receivables,329823,429640,427966,-,441476,-,407788,570956,632030,632030,386360,-,103282,103282,314312,376173,422815,490022,579606,602768,Upgrade
8,Inventory,835450,833842,846610,-,877474,-,1036877,1054813,1080994,1080994,1216548,-,1284791,1284791,1689051,1622082,1693668,1524974,1386196,1213878,Upgrade
9,Prepaid Expenses,16909,16911,17545,-,17545,-,17555,17586,16672,16672,15341,-,101.95,101.95,37958,35728,35762,474.49,35577,36611,Upgrade
10,Other Current Assets,141198,40584,39986,-,44973,-,49668,49895,56775,56775,83498,-,75926,75926,105712,110980,99667,89715,97155,177342,Upgrade
11,Total Current Assets,1670253,1595535,1582496,-,1698669,-,1878168,1956046,2102336,2102336,1982460,-,1535128,1535128,2487233,2438844,2641688,2464881,2439124,2352665,Upgrade
12,"Property, Plant & Equipment",83738,84267,255654,-,258737,-,255695,257178,255846,255846,216201,-,157636,157636,131708,133165,134660,136480,138319,138493,Upgrade
