,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7272,7221,7344,6058,7093,8023,7960,8521,11166,9740,8912,10850,9836,14249,13312,18288,-,-,-,-,-
1,Market Cap Growth,-10.00%,-10.00%,-7.73%,-28.90%,-36.47%,-17.62%,-10.69%,-21.46%,13.52%,-31.65%,-33.05%,-40.67%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6251,5945,5783,4592,5694,6638,6290,6797,9508,8195,7178,9129,8173,12569,11653,18192,-,-,-,-,-
3,Last Close Price,17.14,17.02,17.31,14.22,16.53,18.69,18.54,19.47,25.51,22.24,20.38,24.45,22.16,32.11,30.03,41.25,-,-,-,-,-
4,PE Ratio,35.71,35.86,28.52,22.65,26.26,34.53,52.05,66.45,76.21,60.66,39.18,36.32,30.38,38.68,33.92,45.63,-,-,-,-,-
5,Forward PE,-,21.05,21.05,21.05,21.05,21.05,21.47,22.89,29.99,22.09,21.27,22.73,22.55,26.52,-,-,-,-,-,-,-
6,PS Ratio,2.28,2.29,2.37,1.96,2.28,2.60,2.59,2.84,3.79,3.40,3.08,3.69,3.41,4.96,4.81,6.77,-,-,-,-,-
7,PB Ratio,1.94,2.09,2.16,1.77,2.07,2.40,2.44,2.64,3.39,2.99,2.78,3.39,3.01,4.45,4.29,5.84,-,-,-,-,-
8,P/TBV Ratio,2.13,2.13,2.20,1.80,2.11,-,2.50,2.69,3.45,3.05,2.83,3.45,3.07,4.54,4.38,5.95,-,-,-,-,-
9,P/FCF Ratio,315.00,-,-,33.87,27.71,33.38,28.02,39.29,109.31,110.02,-,109.78,64.98,137.99,51.37,44.58,-,-,-,-,-
10,P/OCF Ratio,31.19,31.19,-,16.05,16.20,19.08,17.68,22.98,47.44,48.56,-,54.21,37.05,66.93,37.39,36.50,-,-,-,-,-
11,EV/Sales Ratio,1.98,1.88,1.87,1.49,1.83,2.15,2.05,2.27,3.23,2.86,2.48,3.11,2.83,4.37,4.21,6.73,-,-,-,-,-
12,EV/EBITDA Ratio,19.52,19.83,16.46,12.84,15.37,20.28,27.63,32.61,42.22,33.49,21.24,21.80,17.63,24.18,21.23,42.25,-,-,-,-,-
13,EV/EBIT Ratio,31.30,29.77,22.87,17.68,20.78,28.73,47.43,60.68,75.56,56.91,30.43,28.72,22.53,29.92,25.88,38.74,-,-,-,-,-
14,EV/FCF Ratio,270.76,-,-,25.67,22.25,27.62,22.15,31.34,93.08,92.58,-,92.37,54.00,121.71,44.96,44.35,-,-,-,-,-
15,Debt / Equity Ratio,0.09,0.09,0.09,0.07,0.09,0.09,0.12,0.12,0.13,0.13,0.12,0.12,0.10,0.12,0.18,0.16,0.24,0.24,-,-,-
16,Debt / EBITDA Ratio,0.97,0.89,1.55,0.78,0.71,0.55,1.72,1.05,1.62,2.77,2.61,1.01,1.00,0.73,1.17,0.86,0.84,0.80,-,-,-
17,Debt / FCF Ratio,13.42,-,-,1.34,1.19,1.26,1.37,1.72,4.10,4.80,-,4.03,2.23,3.61,2.13,1.20,1.32,1.34,-,-,-
18,Asset Turnover,0.80,0.70,0.75,0.75,0.77,0.71,0.79,0.72,0.76,0.63,0.73,0.64,0.79,0.67,-,-,-,-,-,-,
19,Inventory Turnover,4.16,4.36,4.39,4.89,4.72,4.73,4.61,5.19,4.47,4.32,3.28,3.58,3.31,5.06,4.20,-,-,-,-,-,-
20,Quick Ratio,1.93,1.93,2.35,2.56,2.99,2.77,2.56,2.53,3.08,2.75,2.82,2.33,2.87,2.70,2.47,2.72,-,1.39,-,-,-
21,Current Ratio,2.92,2.92,3.18,3.24,3.72,3.53,3.22,3.10,3.76,3.47,3.73,3.02,3.69,3.40,2.97,3.29,-,1.81,-,-,-
22,Return on Equity (ROE),5.96%,2.56%,6.06%,9.06%,12.99%,3.93%,6.69%,4.76%,3.44%,0.89%,8.98%,6.57%,12.03%,10.08%,15.42%,20.10%,-,-,-,-,
23,Return on Assets (ROA),2.70%,1.55%,2.58%,5.11%,6.06%,2.00%,3.47%,2.48%,0.05%,0.75%,4.25%,3.60%,5.59%,5.75%,-,-,-,-,-,-,
24,Return on Capital (ROIC),3.08%,1.78%,2.93%,5.70%,6.80%,2.28%,3.94%,2.79%,0.05%,0.87%,4.96%,4.14%,6.41%,6.49%,9.62%,12.08%,-,-,-,-,
25,Return on Capital Employed (ROCE),5.68%,5.68%,7.30%,7.44%,7.86%,6.77%,3.99%,3.40%,3.74%,4.33%,7.18%,9.68%,10.84%,12.79%,14.15%,14.62%,-,19.75%,-,-,-
26,Earnings Yield,2.77%,2.79%,3.51%,4.42%,3.81%,2.90%,1.92%,1.50%,1.31%,1.65%,2.55%,2.75%,3.29%,2.59%,2.95%,2.19%,-,-,-,-,-
27,FCF Yield,0.32%,0.32%,0.99%,2.95%,3.61%,3.00%,3.57%,2.54%,0.91%,0.91%,0.29%,0.91%,1.54%,0.72%,1.95%,2.24%,-,-,-,-,-
28,Dividend Yield,0.64%,-,-,-,-,-,-,-,-,1.35%,-,-,-,1.84%,-,0.63%,-,-,-,-,-
29,Payout Ratio,26.75%,2.70%,6.52%,95.83%,1.85%,0.32%,350.60%,39.82%,7.53%,10.01%,2002.77%,2.84%,4.36%,120.53%,16.25%,-,4.49%,101.08%,4.11%,-,-
30,Buyback Yield / Dilution,0.70%,1.28%,3.22%,-3.51%,1.63%,2.38%,-3.74%,-0.59%,2.05%,5.25%,-1.85%,-6.23%,-22.17%,-21.01%,-15.10%,-7.67%,-0.88%,-,-,-,-
31,Total Shareholder Return,1.34%,1.28%,3.22%,-3.51%,1.63%,2.38%,-3.74%,-0.59%,2.05%,6.59%,-1.85%,-6.23%,-22.17%,-19.17%,-15.10%,-7.04%,-0.88%,-,-,-,-
