,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1331,1590,1764,1774,1704,1777,2045,2145,2085,1938,2136,2061,2038,2176,2155,-,1079,-,-,-
1,Short-Term Investments,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,60.54,-,-,51.96,-,-,-
3,Cash & Short-Term Investments,1331,1590,1804,1774,1704,1777,2045,2145,2085,1938,2136,2061,2038,2236,2155,1131,1131,-,-,-
4,Cash Growth,-21.88%,-10.54%,-11.78%,-17.26%,-18.26%,-8.28%,-4.23%,4.05%,2.30%,-13.34%,-0.90%,82.31%,80.25%,-,-,-,-,-,-,-
5,Accounts Receivable,194.49,189.26,164.9,164.92,181.43,181.15,165.6,178.69,200.04,145.79,182.9,141.04,218.7,180.25,148.2,-,160.59,-,-,-
6,Other Receivables,2.32,2.8,4.33,2.81,2.87,2.86,7.31,4.6,4.39,2.43,3.25,2.52,2.94,3.03,3.5,-,6.07,-,-,-
7,Receivables,196.81,192.06,169.23,167.74,184.3,184.01,172.91,183.29,204.43,148.23,186.15,143.57,221.63,183.28,151.7,-,166.66,-,-,-
8,Inventory,653.18,549.45,510.52,460.46,497.45,476.37,481.65,487.31,574.47,638.11,670.06,610.46,565.71,454.14,464.48,-,358.96,-,-,-
9,Prepaid Expenses,-,-,3.81,-,-,-,12.1,-,3.75,-,6.39,-,3.74,-,5.96,-,2.48,-,-,-
10,Other Current Assets,127.73,87.2,11.8,13.13,20.72,24.06,9.25,26.48,19.83,32.55,12.82,20.61,11.93,28.51,12.09,-,28.34,-,-,-
11,Total Current Assets,2309,2419,2500,2416,2407,2462,2721,2842,2887,2757,3011,2836,2841,2902,2789,-,1687,-,-,-
12,"Property, Plant & Equipment",1279,1250,1225,1204,1192,1172,1169,1162,1153,1136,1149,1158,1157,1129,1147,-,1103,-,-,-
13,Long-Term Investments,-,-,411,-,-,-,161,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,63.72,64.54,65.52,66.12,67.11,66.76,57.27,58.22,58.34,58.77,58.45,59.36,59.88,58.08,58.53,-,53.09,-,-,-
15,Long-Term Deferred Tax Assets,18.36,13.61,11.93,12.4,13.65,10.47,10.53,8.59,9.54,13.35,17.91,15.3,16.19,12.72,18.25,-,14.7,-,-,-
16,Long-Term Deferred Charges,19.62,16.38,17.72,19.09,20.46,21.94,23.45,24.88,26.36,27.42,22.64,23.64,24.46,24.59,25.52,-,21.22,-,-,-
