,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,854.5,743.25,786.84,774.76,792.73,730.45,817.9,741.42,781.71,656.15,763.27,660.27,812.15,695.92,711.82,647.73,705.23,631.91,547.46,432.71
1,Other Revenue,-,-4.25,4.25,-,-,-2.51,2.51,-,-,-2.43,2.43,-,5.37,-2.62,2.62,-,5.09,-2.46,2.46,-
2,Revenue,854.5,739,791.09,774.76,792.73,727.95,820.41,741.42,781.71,653.73,765.69,660.27,817.52,693.3,714.44,647.73,710.32,629.45,549.93,432.71
3,Revenue Growth (YoY),7.79%,1.52%,-3.57%,4.50%,1.41%,11.35%,7.15%,12.29%,-4.38%,-5.71%,7.17%,1.94%,15.09%,10.14%,29.92%,49.69%,-,-,-,-
4,Cost of Revenue,655.31,581.84,593.49,565.56,575.82,551.58,629.06,593.64,654.43,536.73,573.34,487.28,645.51,482.21,440.64,417.04,425.58,384.06,622.26,-
5,Gross Profit,199.19,157.17,197.6,209.2,216.9,176.37,191.36,147.78,127.28,117,192.36,172.98,172.01,211.09,273.8,230.69,284.74,245.38,-72.33,432.71
6,"Selling, General & Admin",122.68,110.64,114.78,104.24,95.3,109.1,108.12,97.22,94.07,93.4,92.59,93.51,31.4,109.43,137.46,86.08,111.96,106.59,178.08,-
7,Research & Development,28.62,27.36,27.83,19.3,27.3,28.27,16.7,13.41,14.26,18.8,21.28,16.08,30.47,12,14.25,22.78,37.19,25.33,23.94,-
8,Other Operating Expenses,2.14,-6.96,11.79,2.1,-5.02,6.26,6.98,-2.51,17.44,-7.04,6.96,4.4,16.06,-4.96,5.99,5.16,12.37,-1.98,-366.84,375.06
9,Operating Expenses,153.1,130.94,154.27,125.13,117.68,143.29,133.74,106.61,126.52,104.52,120.92,113.64,79.37,116.61,157.53,113.99,161.96,131.56,-164.99,375.06
10,Operating Income,46.09,26.23,43.33,84.07,99.22,33.07,57.61,41.17,0.76,12.48,71.43,59.34,92.64,94.47,116.27,116.7,122.78,113.83,92.66,57.65
11,Interest Expense,-37.89,-2.24,-3.05,-2.36,-39.79,-3.07,-3.33,-3.56,-3.94,-3.77,-3.18,-3.3,-4.19,-5.03,-4.86,-4.93,-4.01,-4.1,-8.49,-
12,Interest & Investment Income,7.65,12.04,12.81,13.03,9.96,13.25,13.3,13.24,12.78,12.73,13.09,12.35,13.02,12.27,9.5,6.49,5.69,5.15,7.7,-
13,Currency Exchange Gain (Loss),-,0.47,-0.47,-,-,-0.29,0.29,-,-0.86,-0.56,0.56,-,0.4,-0.41,0.41,-,2.49,0.75,-0.75,-
14,Other Non Operating Income (Expenses),45.07,-1.15,0.16,0.18,40.05,-1.6,-0.4,0.11,2.59,-2.37,-0.32,0.15,-5.61,4.92,-5.16,5.02,-1.27,1.07,-0.24,0.25
