,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,5074,2032,7763,6577,-,-
1,Market Cap Growth,-69.10%,-69.10%,-,-,-,-
2,Enterprise Value,4437,1236,6832,6244,-,-
3,Last Close Price,13.58,5.21,19.90,16.86,-,-
4,PS Ratio,2879.01,2879.01,14992.67,14955.36,-,-
5,PB Ratio,6.65,2.80,8.76,6.33,-,-
6,P/TBV Ratio,3.42,3.42,10.37,7.29,-,-
7,EV/Sales Ratio,1751.43,1751.43,13194.10,14197.63,-,-
8,Debt / Equity Ratio,0.09,0.09,0.07,0.05,-0.01,-
9,Earnings Yield,-6.26%,-15.62%,-5.23%,-11.45%,-,-
10,FCF Yield,-6.02%,-15.03%,-4.21%,-5.24%,-,-
11,Buyback Yield / Dilution,-340.06%,-331.55%,-348.90%,-11.50%,-,-
12,Total Shareholder Return,-340.06%,-331.55%,-348.90%,-11.50%,-,-
